SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,24,47240423,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,24,47242617,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,47243048,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,24,47253048,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.44g
0,2019,09,24,47253873,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,47255048,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,24,47260449,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,47269449,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,47327944,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,47390450,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.28g
0,2019,09,24,48051929,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,48178289,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,48200039,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,48336289,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,48358919,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,48617030,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,49343215,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,49343389,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,24,49343389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
