SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,30,26687444,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,30,26691072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,30,26711067,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,30,26728159,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,30,26737029,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,30,26738029,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,30,26740159,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,30,27943624,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,30,27948870,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,30,28651479,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,30,28656350,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,30,28672780,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,30,28673109,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,30,28673109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,30,28713541,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,30,28714219,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,30,28714980,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,30,28715229,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,30,28750200,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,30,28754720,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,30,28758240,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,30,28758719,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
