SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,11,05,47991435,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,11,05,48000059,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,11,05,48008190,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,05,48009070,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,11,05,48009071,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,05,48010069,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,11,05,48013070,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,05,48014189,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,11,05,48016070,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,05,48018070,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,11,05,48021064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,05,49072789,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,49082549,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,49087409,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,49103289,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,49117040,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,49139909,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,49144789,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,49392021,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,49397779,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,49405779,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,50141759,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
