Time,BreathingWaveform
24/10/2019 10:08:59.446,5988233
24/10/2019 10:08:59.486,5989473
24/10/2019 10:08:59.526,5989473
24/10/2019 10:08:59.566,5989743
24/10/2019 10:08:59.606,5989743
24/10/2019 10:08:59.646,5989797
24/10/2019 10:08:59.686,5990659
24/10/2019 10:08:59.726,5990174
24/10/2019 10:08:59.766,5990389
24/10/2019 10:08:59.806,5989958
24/10/2019 10:08:59.846,5989258
24/10/2019 10:08:59.886,5989365
24/10/2019 10:08:59.926,5987532
24/10/2019 10:08:59.966,5986993
24/10/2019 10:09:00.006,5987424
24/10/2019 10:09:00.046,5986238
24/10/2019 10:09:00.086,5987370
24/10/2019 10:09:00.126,5985322
24/10/2019 10:09:00.166,5985645
24/10/2019 10:09:00.206,5988449
24/10/2019 10:09:00.246,5984297
24/10/2019 10:09:00.286,5984675
24/10/2019 10:09:00.326,5977720
24/10/2019 10:09:00.366,5971951
24/10/2019 10:09:00.406,5976857
24/10/2019 10:09:00.446,5972220
24/10/2019 10:09:00.486,5974054
24/10/2019 10:09:00.526,5974647
24/10/2019 10:09:00.566,5970873
24/10/2019 10:09:00.606,5971951
24/10/2019 10:09:00.646,5969686
24/10/2019 10:09:00.686,5969579
24/10/2019 10:09:00.726,5972544
24/10/2019 10:09:00.766,5970603
24/10/2019 10:09:00.806,5970280
24/10/2019 10:09:00.846,5971304
24/10/2019 10:09:00.886,5978421
24/10/2019 10:09:00.926,5990228
24/10/2019 10:09:00.966,5995242
24/10/2019 10:09:01.006,5991899
24/10/2019 10:09:01.046,5979607
24/10/2019 10:09:01.086,5974162
24/10/2019 10:09:01.126,5970819
24/10/2019 10:09:01.166,5966775
24/10/2019 10:09:01.206,5964403
24/10/2019 10:09:01.246,5972059
24/10/2019 10:09:01.286,5973029
24/10/2019 10:09:01.326,5969363
24/10/2019 10:09:01.366,5968123
24/10/2019 10:09:01.406,5966290
24/10/2019 10:09:01.446,5964295
24/10/2019 10:09:01.486,5965373
24/10/2019 10:09:01.526,5966452
24/10/2019 10:09:01.566,5963918
24/10/2019 10:09:01.606,5964619
24/10/2019 10:09:01.646,5961491
24/10/2019 10:09:01.686,5961869
24/10/2019 10:09:01.726,5961384
24/10/2019 10:09:01.766,5963001
24/10/2019 10:09:01.806,5966074
24/10/2019 10:09:01.846,5967260
24/10/2019 10:09:01.886,5969795
24/10/2019 10:09:01.926,5975509
24/10/2019 10:09:01.966,5962947
24/10/2019 10:09:02.006,5957610
24/10/2019 10:09:02.046,5955022
24/10/2019 10:09:02.086,5954536
24/10/2019 10:09:02.126,5957610
24/10/2019 10:09:02.166,5959820
24/10/2019 10:09:02.206,5962300
24/10/2019 10:09:02.246,5939494
24/10/2019 10:09:02.286,5926986
24/10/2019 10:09:02.326,5927580
24/10/2019 10:09:02.366,5926609
24/10/2019 10:09:02.406,5923913
24/10/2019 10:09:02.446,5922458
24/10/2019 10:09:02.486,5924129
24/10/2019 10:09:02.526,5927256
24/10/2019 10:09:02.566,5929143
24/10/2019 10:09:02.606,5929197
24/10/2019 10:09:02.646,5935936
24/10/2019 10:09:02.686,5942460
24/10/2019 10:09:02.726,5950547
24/10/2019 10:09:02.766,5958257
24/10/2019 10:09:02.806,5969795
24/10/2019 10:09:02.846,5972598
24/10/2019 10:09:02.886,5950709
24/10/2019 10:09:02.926,5924722
