SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,01,49566450,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,01,49804580,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,49807051,64,System,Button,0,
0,2019,10,01,49808060,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50155220,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50156419,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,10,01,50157560,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50157611,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50157720,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50158300,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,10,01,50168010,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50168213,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50168669,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50169303,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50169807,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50170168,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50170672,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50171271,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50171931,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50172196,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,50172988,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,50173179,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
