Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
01/10/2019 13:46:06.450,65,6553.5,-3276.8,-69,0.12,0.49,4.185,97,0.000,65535.000,0,0.000000,0.001680,0,65535,0,65535,0,0,-0.39,-0.25,0.74,1.19,0.24,0.50,29.2,699,255,-128,-128,6553.5,415,423,508
01/10/2019 13:46:07.450,65,6553.5,-3276.8,-70,0.07,0.10,4.185,97,0.000,65535.000,0,0.000000,0.000720,0,65535,0,65535,0,0,-0.34,-0.25,0.79,0.87,0.34,0.43,29.2,699,255,-128,-128,6553.5,414,423,509
01/10/2019 13:46:08.450,65,6553.5,-3276.8,-72,0.05,0.14,4.185,97,0.000,65535.000,0,0.000000,0.000320,0,65535,0,65535,0,0,-0.30,-0.21,0.79,0.90,0.18,0.40,29.2,699,255,-128,-128,6553.5,421,426,512
01/10/2019 13:46:09.450,65,6553.5,-3276.8,-73,0.04,0.07,4.185,97,0.000,65535.000,0,0.000000,0.000140,0,65535,0,65535,0,0,-0.28,-0.21,0.80,0.89,0.32,0.43,29.2,699,255,-128,-128,6553.5,415,422,509
01/10/2019 13:46:10.450,65,6553.5,-3276.8,-75,0.03,0.08,4.185,97,0.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,0,0,-0.24,-0.20,0.81,0.91,0.36,0.42,29.2,699,255,-128,-128,6553.5,414,422,509
01/10/2019 13:46:11.450,65,6553.5,-3276.8,-76,0.03,0.06,4.185,97,65535.000,65535.000,0,0.000000,0.000080,0,65535,0,65535,0,0,-0.21,-0.18,0.83,0.91,0.36,0.42,29.2,699,255,-128,-128,6553.5,415,422,508
01/10/2019 13:46:12.450,65,6553.5,-3276.8,-76,0.02,0.04,4.185,97,65535.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,0,0,-0.22,-0.18,0.83,0.91,0.34,0.40,29.2,699,255,-128,-128,6553.5,414,423,509
01/10/2019 13:46:13.450,65,6553.5,-3276.8,-78,0.01,0.03,4.185,97,64617.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,0,0,-0.20,-0.19,0.83,0.92,0.33,0.42,29.2,699,255,-128,-128,6553.5,415,422,509
01/10/2019 13:46:14.450,65,6553.5,-3276.8,-78,0.01,0.04,4.185,97,55389.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,0,0,-0.21,-0.18,0.83,0.92,0.34,0.40,29.2,699,255,-128,-128,6553.5,418,422,505
01/10/2019 13:46:15.450,65,6553.5,-3276.8,-78,0.01,0.03,4.185,97,43908.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,0,0,-0.22,-0.19,0.81,0.91,0.34,0.42,29.2,699,255,-128,-128,6553.5,415,422,509
01/10/2019 13:46:16.450,0,6553.5,-3276.8,-78,0.01,0.04,4.185,97,33693.000,65535.000,0,0.000800,0.000020,0,65535,0,65535,0,0,-0.21,-0.18,0.83,0.91,0.33,0.42,29.2,699,255,-128,-128,6553.5,415,422,509
01/10/2019 13:46:17.450,0,6553.5,-3276.8,-78,0.01,0.03,4.185,97,25451.000,65535.000,0,0.000800,0.000020,0,65535,0,65535,0,0,-0.21,-0.18,0.83,0.91,0.33,0.40,29.2,699,255,-128,-128,6553.5,415,423,509
01/10/2019 13:46:18.450,0,6553.5,-3276.8,-78,0.02,0.06,4.185,97,19085.000,65535.000,0,0.000800,0.000040,0,65535,0,65535,0,0,-0.22,-0.18,0.83,0.93,0.32,0.42,29.2,699,255,-128,-128,6553.5,415,422,509
