Time,Vertical,Lateral,Sagittal
01/10/2019 14:23:07.451,2031,2123,2074
01/10/2019 14:23:07.461,2029,2128,2075
01/10/2019 14:23:07.471,2030,2128,2071
01/10/2019 14:23:07.481,2029,2129,2073
01/10/2019 14:23:07.491,2030,2128,2072
01/10/2019 14:23:07.501,2032,2128,2071
01/10/2019 14:23:07.511,2031,2129,2069
01/10/2019 14:23:07.521,2034,2129,2069
01/10/2019 14:23:07.531,2033,2126,2067
01/10/2019 14:23:07.541,2034,2128,2066
01/10/2019 14:23:07.551,2032,2129,2068
01/10/2019 14:23:07.561,2034,2129,2069
01/10/2019 14:23:07.571,2032,2129,2070
01/10/2019 14:23:07.581,2032,2129,2070
01/10/2019 14:23:07.591,2032,2129,2070
01/10/2019 14:23:07.601,2034,2129,2070
01/10/2019 14:23:07.611,2034,2129,2070
01/10/2019 14:23:07.621,2033,2129,2069
01/10/2019 14:23:07.631,2037,2130,2069
01/10/2019 14:23:07.641,2038,2130,2070
01/10/2019 14:23:07.651,2038,2130,2069
01/10/2019 14:23:07.661,2039,2130,2070
01/10/2019 14:23:07.671,2036,2131,2068
01/10/2019 14:23:07.681,2037,2132,2071
01/10/2019 14:23:07.691,2041,2133,2073
01/10/2019 14:23:07.701,2041,2133,2075
01/10/2019 14:23:07.711,2044,2135,2075
01/10/2019 14:23:07.721,2043,2133,2074
01/10/2019 14:23:07.731,2045,2135,2074
01/10/2019 14:23:07.741,2045,2134,2074
01/10/2019 14:23:07.751,2045,2135,2076
01/10/2019 14:23:07.761,2046,2133,2075
01/10/2019 14:23:07.771,2046,2133,2073
01/10/2019 14:23:07.781,2046,2137,2073
01/10/2019 14:23:07.791,2046,2137,2076
01/10/2019 14:23:07.801,2046,2139,2078
01/10/2019 14:23:07.811,2045,2139,2082
01/10/2019 14:23:07.821,2046,2135,2082
01/10/2019 14:23:07.831,2046,2132,2080
01/10/2019 14:23:07.841,2045,2130,2079
01/10/2019 14:23:07.851,2045,2130,2079
01/10/2019 14:23:07.861,2046,2130,2078
01/10/2019 14:23:07.871,2046,2130,2079
01/10/2019 14:23:07.881,2046,2130,2080
01/10/2019 14:23:07.891,2047,2130,2080
01/10/2019 14:23:07.901,2047,2130,2079
01/10/2019 14:23:07.911,2048,2130,2079
01/10/2019 14:23:07.921,2047,2129,2080
01/10/2019 14:23:07.931,2046,2130,2081
01/10/2019 14:23:07.941,2045,2131,2082
01/10/2019 14:23:07.951,2045,2131,2080
01/10/2019 14:23:07.961,2046,2131,2078
01/10/2019 14:23:07.971,2046,2131,2076
01/10/2019 14:23:07.981,2047,2130,2075
01/10/2019 14:23:07.991,2048,2130,2073
01/10/2019 14:23:08.001,2051,2130,2069
01/10/2019 14:23:08.011,2052,2130,2070
01/10/2019 14:23:08.021,2054,2130,2071
01/10/2019 14:23:08.031,2056,2134,2074
