Time,BreathingWaveform
01/10/2019 14:23:07.451,7899764
01/10/2019 14:23:07.491,7900894
01/10/2019 14:23:07.531,7900894
01/10/2019 14:23:07.571,7901407
01/10/2019 14:23:07.611,7901407
01/10/2019 14:23:07.651,7900483
01/10/2019 14:23:07.691,7900072
01/10/2019 14:23:07.731,7899764
01/10/2019 14:23:07.771,7900483
01/10/2019 14:23:07.811,7899353
01/10/2019 14:23:07.851,7900380
01/10/2019 14:23:07.891,7899353
01/10/2019 14:23:07.931,7898942
01/10/2019 14:23:07.971,7898480
01/10/2019 14:23:08.011,7899147
01/10/2019 14:23:08.051,7900380
01/10/2019 14:23:08.091,7899610
01/10/2019 14:23:08.131,7900277
01/10/2019 14:23:08.171,7898788
01/10/2019 14:23:08.211,7898018
01/10/2019 14:23:08.251,7896682
01/10/2019 14:23:08.291,7894371
01/10/2019 14:23:08.331,7895039
01/10/2019 14:23:08.371,7894422
01/10/2019 14:23:08.411,7893035
01/10/2019 14:23:08.451,7890930
01/10/2019 14:23:08.491,7889851
01/10/2019 14:23:08.531,7887335
01/10/2019 14:23:08.571,7885229
01/10/2019 14:23:08.611,7884613
01/10/2019 14:23:08.651,7883585
01/10/2019 14:23:08.691,7881685
01/10/2019 14:23:08.731,7880196
01/10/2019 14:23:08.771,7879528
01/10/2019 14:23:08.811,7879014
01/10/2019 14:23:08.851,7876754
01/10/2019 14:23:08.891,7873776
01/10/2019 14:23:08.931,7873262
01/10/2019 14:23:08.971,7871773
01/10/2019 14:23:09.011,7871105
01/10/2019 14:23:09.051,7866739
01/10/2019 14:23:09.091,7853797
01/10/2019 14:23:09.131,7845990
01/10/2019 14:23:09.171,7833664
01/10/2019 14:23:09.211,7827552
01/10/2019 14:23:09.251,7823700
01/10/2019 14:23:09.291,7816766
01/10/2019 14:23:09.331,7808395
01/10/2019 14:23:09.371,7800998
01/10/2019 14:23:09.411,7797557
01/10/2019 14:23:09.451,7794476
01/10/2019 14:23:09.491,7791446
01/10/2019 14:23:09.531,7786721
01/10/2019 14:23:09.571,7782920
01/10/2019 14:23:09.611,7775370
01/10/2019 14:23:09.651,7760578
01/10/2019 14:23:09.691,7748201
01/10/2019 14:23:09.731,7739315
01/10/2019 14:23:09.771,7758729
01/10/2019 14:23:09.811,7783331
01/10/2019 14:23:09.851,7792524
01/10/2019 14:23:09.891,7793911
01/10/2019 14:23:09.931,7797763
01/10/2019 14:23:09.971,7802077
01/10/2019 14:23:10.011,7803618
01/10/2019 14:23:10.051,7804285
01/10/2019 14:23:10.091,7803772
01/10/2019 14:23:10.131,7803926
01/10/2019 14:23:10.171,7804080
01/10/2019 14:23:10.211,7804029
01/10/2019 14:23:10.251,7804799
01/10/2019 14:23:10.291,7804285
01/10/2019 14:23:10.331,7803926
01/10/2019 14:23:10.371,7804234
01/10/2019 14:23:10.411,7803875
01/10/2019 14:23:10.451,7803310
01/10/2019 14:23:10.491,7803772
01/10/2019 14:23:10.531,7803669
01/10/2019 14:23:10.571,7803361
01/10/2019 14:23:10.611,7803413
01/10/2019 14:23:10.651,7804183
01/10/2019 14:23:10.691,7803823
01/10/2019 14:23:10.731,7804440
01/10/2019 14:23:10.771,7804080
01/10/2019 14:23:10.811,7803823
01/10/2019 14:23:10.851,7804491
01/10/2019 14:23:10.891,7803567
01/10/2019 14:23:10.931,7803310
01/10/2019 14:23:10.971,7803104
01/10/2019 14:23:11.011,7803207
01/10/2019 14:23:11.051,7803772
01/10/2019 14:23:11.091,7803310
01/10/2019 14:23:11.131,7803669
01/10/2019 14:23:11.171,7802950
01/10/2019 14:23:11.211,7802488
01/10/2019 14:23:11.251,7803053
01/10/2019 14:23:11.291,7802796
01/10/2019 14:23:11.331,7802642
01/10/2019 14:23:11.371,7801975
01/10/2019 14:23:11.411,7802848
01/10/2019 14:23:11.451,7802796
01/10/2019 14:23:11.491,7803464
01/10/2019 14:23:11.531,7803002
01/10/2019 14:23:11.571,7802437
01/10/2019 14:23:11.611,7802796
01/10/2019 14:23:11.651,7801872
01/10/2019 14:23:11.691,7802694
01/10/2019 14:23:11.731,7802437
01/10/2019 14:23:11.771,7802385
01/10/2019 14:23:11.811,7801820
01/10/2019 14:23:11.851,7802385
01/10/2019 14:23:11.891,7802180
01/10/2019 14:23:11.931,7802334
01/10/2019 14:23:11.971,7801820
01/10/2019 14:23:12.011,7802077
01/10/2019 14:23:12.051,7801718
01/10/2019 14:23:12.091,7802129
01/10/2019 14:23:12.131,7800844
01/10/2019 14:23:12.171,7801204
01/10/2019 14:23:12.211,7801461
01/10/2019 14:23:12.251,7801718
01/10/2019 14:23:12.291,7801975
01/10/2019 14:23:12.331,7800690
01/10/2019 14:23:12.371,7801512
01/10/2019 14:23:12.411,7801255
01/10/2019 14:23:12.451,7801204
01/10/2019 14:23:12.491,7801975
01/10/2019 14:23:12.531,7801923
01/10/2019 14:23:12.571,7801461
01/10/2019 14:23:12.611,7799715
01/10/2019 14:23:12.651,7799817
01/10/2019 14:23:12.691,7800947
01/10/2019 14:23:12.731,7802077
01/10/2019 14:23:12.771,7800074
01/10/2019 14:23:12.811,7800177
01/10/2019 14:23:12.851,7800793
01/10/2019 14:23:12.891,7800844
01/10/2019 14:23:12.931,7800588
01/10/2019 14:23:12.971,7800280
01/10/2019 14:23:13.011,7799509
01/10/2019 14:23:13.051,7800588
01/10/2019 14:23:13.091,7801153
