SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,01,51787451,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,01,51791080,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,01,51792422,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,51793079,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,10,01,51800076,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,51804080,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,10,01,51830929,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,01,51831800,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,01,51832799,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,01,51833799,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,01,51834799,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,01,52051799,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
