Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
01/10/2019 14:23:07.451,65,10.0,-3276.8,-84,0.22,0.32,4.173,95,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,2,-0.22,0.19,0.80,1.09,0.21,0.40,27.4,688,255,-128,-128,6553.5,414,422,510
01/10/2019 14:23:08.451,65,10.0,-3276.8,-106,0.56,0.84,4.173,95,0.000,65535.000,0,0.000000,0.002260,0,65535,0,65535,3,3,0.18,0.93,0.36,0.87,-0.46,0.38,27.4,688,255,-128,-128,6553.5,412,417,504
01/10/2019 14:23:09.451,65,10.0,-3276.8,-108,0.30,0.57,4.172,95,0.000,65535.000,0,0.015440,0.002320,0,65535,0,65535,3,4,0.09,0.98,0.36,1.14,-0.04,0.72,27.4,688,255,-128,-128,6553.5,415,422,509
01/10/2019 14:23:10.451,65,10.0,-3276.8,-104,0.13,0.19,4.172,95,0.000,65535.000,0,0.015440,0.001080,0,65535,0,65535,1,0,0.15,0.19,0.92,0.98,0.14,0.19,27.4,688,255,-128,-128,6553.5,414,423,509
01/10/2019 14:23:11.451,65,10.0,-3276.8,-101,0.07,0.15,4.172,95,0.000,65535.000,0,0.000380,0.000600,0,65535,0,65535,1,1,0.14,0.19,0.93,0.98,-0.01,0.19,27.4,691,255,-128,-128,6553.5,414,422,509
01/10/2019 14:23:12.451,57,10.0,-3276.8,-101,0.03,0.06,4.172,95,6928.000,65535.000,11,0.000380,0.000340,0,65535,0,65535,0,0,0.15,0.19,0.91,0.97,0.15,0.18,27.4,691,255,-128,-128,6553.5,415,422,509
01/10/2019 14:23:13.451,53,10.0,-3276.8,-100,0.02,0.03,4.172,95,18407.000,65535.000,11,0.000280,0.000200,0,65535,0,65535,0,0,0.13,0.19,0.92,0.97,0.14,0.18,27.4,691,255,-128,-128,6553.5,415,424,508
01/10/2019 14:23:14.451,51,10.0,-3276.8,-100,0.01,0.02,4.168,94,18715.000,65535.000,11,0.000280,0.000200,0,65535,0,65535,0,0,0.14,0.18,0.92,0.97,0.14,0.18,27.4,691,255,-128,-128,6553.5,415,423,509
01/10/2019 14:23:15.451,51,10.0,-3276.8,-100,0.01,0.10,4.168,94,16045.000,65535.000,11,0.000280,0.000160,0,65535,0,65535,0,0,0.15,0.19,0.78,0.98,0.14,0.20,27.4,691,255,-128,-128,6553.5,421,431,516
01/10/2019 14:23:16.451,50,10.0,-3276.8,-100,0.01,0.02,4.168,94,12914.000,65535.000,11,0.000280,0.000120,0,65535,0,65535,0,0,0.15,0.18,0.92,0.97,0.14,0.18,27.4,691,255,-128,-128,6553.5,415,423,509
