Time,BreathingWaveform
17/10/2019 08:21:23.436,6495567
17/10/2019 08:21:23.476,6491416
17/10/2019 08:21:23.516,6490229
17/10/2019 08:21:23.556,6490229
17/10/2019 08:21:23.596,6490229
17/10/2019 08:21:23.636,6488019
17/10/2019 08:21:23.676,6487264
17/10/2019 08:21:23.716,6486294
17/10/2019 08:21:23.756,6485377
17/10/2019 08:21:23.796,6486132
17/10/2019 08:21:23.836,6487049
17/10/2019 08:21:23.876,6488127
17/10/2019 08:21:23.916,6489043
17/10/2019 08:21:23.956,6490337
17/10/2019 08:21:23.996,6491793
17/10/2019 08:21:24.036,6493141
17/10/2019 08:21:24.076,6492548
17/10/2019 08:21:24.116,6490984
17/10/2019 08:21:24.156,6491146
17/10/2019 08:21:24.196,6490984
17/10/2019 08:21:24.236,6491739
17/10/2019 08:21:24.276,6490607
17/10/2019 08:21:24.316,6481927
17/10/2019 08:21:24.356,6477883
17/10/2019 08:21:24.396,6469580
17/10/2019 08:21:24.436,6483868
17/10/2019 08:21:24.476,6541017
17/10/2019 08:21:24.516,6608248
17/10/2019 08:21:24.556,6647983
17/10/2019 08:21:24.596,6665236
17/10/2019 08:21:24.636,6668039
17/10/2019 08:21:24.676,6660114
17/10/2019 08:21:24.716,6644371
17/10/2019 08:21:24.756,6628897
17/10/2019 08:21:24.796,6618923
17/10/2019 08:21:24.836,6609111
17/10/2019 08:21:24.876,6597950
17/10/2019 08:21:24.916,6593368
17/10/2019 08:21:24.956,6594931
17/10/2019 08:21:24.996,6600862
17/10/2019 08:21:25.036,6601293
17/10/2019 08:21:25.076,6594662
17/10/2019 08:21:25.116,6588839
17/10/2019 08:21:25.156,6586629
17/10/2019 08:21:25.196,6584526
17/10/2019 08:21:25.236,6577355
17/10/2019 08:21:25.276,6564901
17/10/2019 08:21:25.316,6563769
17/10/2019 08:21:25.356,6561720
17/10/2019 08:21:25.396,6558485
17/10/2019 08:21:25.436,6559024
17/10/2019 08:21:25.476,6552555
17/10/2019 08:21:25.516,6536865
17/10/2019 08:21:25.556,6523818
17/10/2019 08:21:25.596,6514707
17/10/2019 08:21:25.636,6523279
17/10/2019 08:21:25.676,6528886
17/10/2019 08:21:25.716,6527700
17/10/2019 08:21:25.756,6529425
17/10/2019 08:21:25.796,6529048
17/10/2019 08:21:25.836,6527161
17/10/2019 08:21:25.876,6528347
17/10/2019 08:21:25.916,6529425
17/10/2019 08:21:25.956,6531905
17/10/2019 08:21:25.996,6533954
17/10/2019 08:21:26.036,6533415
17/10/2019 08:21:26.076,6542527
17/10/2019 08:21:26.116,6542419
17/10/2019 08:21:26.156,6533146
17/10/2019 08:21:26.196,6517133
17/10/2019 08:21:26.236,6520260
17/10/2019 08:21:26.276,6527323
17/10/2019 08:21:26.316,6523009
17/10/2019 08:21:26.356,6527053
17/10/2019 08:21:26.396,6527592
17/10/2019 08:21:26.436,6528940
17/10/2019 08:21:26.476,6539507
17/10/2019 08:21:26.516,6552609
17/10/2019 08:21:26.556,6544899
17/10/2019 08:21:26.596,6525112
17/10/2019 08:21:26.636,6514168
17/10/2019 08:21:26.676,6487210
17/10/2019 08:21:26.716,6462733
17/10/2019 08:21:26.756,6459552
17/10/2019 08:21:26.796,6462140
17/10/2019 08:21:26.836,6439928
17/10/2019 08:21:26.876,6438688
17/10/2019 08:21:26.916,6435884
17/10/2019 08:21:26.956,6431679
17/10/2019 08:21:26.996,6431894
17/10/2019 08:21:27.036,6430708
17/10/2019 08:21:27.076,6429899
17/10/2019 08:21:27.116,6427905
17/10/2019 08:21:27.156,6426072
17/10/2019 08:21:27.196,6425317
17/10/2019 08:21:27.236,6427042
17/10/2019 08:21:27.276,6428444
17/10/2019 08:21:27.316,6429037
17/10/2019 08:21:27.356,6428713
17/10/2019 08:21:27.396,6425748
17/10/2019 08:21:27.436,6422190
17/10/2019 08:21:27.476,6423322
17/10/2019 08:21:27.516,6421974
17/10/2019 08:21:27.556,6418362
17/10/2019 08:21:27.596,6421812
17/10/2019 08:21:27.636,6427905
17/10/2019 08:21:27.676,6434644
17/10/2019 08:21:27.716,6445535
17/10/2019 08:21:27.756,6455724
17/10/2019 08:21:27.796,6447961
17/10/2019 08:21:27.836,6429037
17/10/2019 08:21:27.876,6423592
17/10/2019 08:21:27.916,6422298
17/10/2019 08:21:27.956,6424939
17/10/2019 08:21:27.996,6437717
17/10/2019 08:21:28.036,6448608
17/10/2019 08:21:28.076,6451681
17/10/2019 08:21:28.116,6448500
17/10/2019 08:21:28.156,6443324
17/10/2019 08:21:28.196,6435776
17/10/2019 08:21:28.236,6427743
17/10/2019 08:21:28.276,6423052
17/10/2019 08:21:28.316,6418523
17/10/2019 08:21:28.356,6414803
17/10/2019 08:21:28.396,6413617
17/10/2019 08:21:28.436,6414426
17/10/2019 08:21:28.476,6432272
17/10/2019 08:21:28.516,6480849
17/10/2019 08:21:28.556,6485809
17/10/2019 08:21:28.596,6449093
17/10/2019 08:21:28.636,6438418
17/10/2019 08:21:28.676,6433889
17/10/2019 08:21:28.716,6430061
17/10/2019 08:21:28.756,6427851
17/10/2019 08:21:28.796,6430439
17/10/2019 08:21:28.836,6426287
17/10/2019 08:21:28.876,6432110
17/10/2019 08:21:28.916,6430169
17/10/2019 08:21:28.956,6430115
17/10/2019 08:21:28.996,6432056
17/10/2019 08:21:29.036,6431355
17/10/2019 08:21:29.076,6435992
17/10/2019 08:21:29.116,6434806
17/10/2019 08:21:29.156,6434105
17/10/2019 08:21:29.196,6429953
17/10/2019 08:21:29.236,6423861
17/10/2019 08:21:29.276,6421920
17/10/2019 08:21:29.316,6420464
17/10/2019 08:21:29.356,6417445
17/10/2019 08:21:29.396,6413186
17/10/2019 08:21:29.436,6409682
17/10/2019 08:21:29.476,6409358
17/10/2019 08:21:29.516,6406878
17/10/2019 08:21:29.556,6413348
17/10/2019 08:21:29.596,6433458
17/10/2019 08:21:29.636,6447044
17/10/2019 08:21:29.676,6420896
17/10/2019 08:21:29.716,6414103
17/10/2019 08:21:29.756,6411784
17/10/2019 08:21:29.796,6406824
17/10/2019 08:21:29.836,6406123
17/10/2019 08:21:29.876,6403535
17/10/2019 08:21:29.916,6402726
17/10/2019 08:21:29.956,6401163
17/10/2019 08:21:29.996,6399599
17/10/2019 08:21:30.036,6397874
17/10/2019 08:21:30.076,6400947
17/10/2019 08:21:30.116,6404560
17/10/2019 08:21:30.156,6400193
17/10/2019 08:21:30.196,6402080
17/10/2019 08:21:30.236,6403320
17/10/2019 08:21:30.276,6405584
17/10/2019 08:21:30.316,6403535
17/10/2019 08:21:30.356,6403913
17/10/2019 08:21:30.396,6403589
17/10/2019 08:21:30.436,6403481
17/10/2019 08:21:30.476,6402942
17/10/2019 08:21:30.516,6401325
17/10/2019 08:21:30.556,6403158
17/10/2019 08:21:30.596,6409088
17/10/2019 08:21:30.636,6415774
17/10/2019 08:21:30.676,6416475
17/10/2019 08:21:30.716,6409574
17/10/2019 08:21:30.756,6408226
17/10/2019 08:21:30.796,6402403
17/10/2019 08:21:30.836,6409250
17/10/2019 08:21:30.876,6433242
17/10/2019 08:21:30.916,6469311
17/10/2019 08:21:30.956,6468340
17/10/2019 08:21:30.996,6467046
17/10/2019 08:21:31.036,6508507
17/10/2019 08:21:31.076,6539669
17/10/2019 08:21:31.116,6575145
17/10/2019 08:21:31.156,6604636
17/10/2019 08:21:31.196,6619570
17/10/2019 08:21:31.236,6617252
17/10/2019 08:21:31.276,6609973
17/10/2019 08:21:31.316,6576061
17/10/2019 08:21:31.356,6534547
17/10/2019 08:21:31.396,6494489
17/10/2019 08:21:31.436,6471468
17/10/2019 08:21:31.476,6497562
17/10/2019 08:21:31.516,6512334
17/10/2019 08:21:31.556,6502522
17/10/2019 08:21:31.596,6474810
17/10/2019 08:21:31.636,6442839
17/10/2019 08:21:31.676,6425371
17/10/2019 08:21:31.716,6410868
17/10/2019 08:21:31.756,6406716
17/10/2019 08:21:31.796,6410059
17/10/2019 08:21:31.836,6423322
17/10/2019 08:21:31.876,6447368
17/10/2019 08:21:31.916,6484461
17/10/2019 08:21:31.956,6472708
17/10/2019 08:21:31.996,6450387
17/10/2019 08:21:32.036,6446829
17/10/2019 08:21:32.076,6437663
17/10/2019 08:21:32.116,6430493
17/10/2019 08:21:32.156,6457773
17/10/2019 08:21:32.196,6471791
17/10/2019 08:21:32.236,6496106
17/10/2019 08:21:32.276,6512496
17/10/2019 08:21:32.316,6510933
17/10/2019 08:21:32.356,6497077
17/10/2019 08:21:32.396,6487642
17/10/2019 08:21:32.436,6489960
17/10/2019 08:21:32.476,6492224
17/10/2019 08:21:32.516,6491038
17/10/2019 08:21:32.556,6490715
17/10/2019 08:21:32.596,6494111
17/10/2019 08:21:32.636,6493680
17/10/2019 08:21:32.676,6497562
17/10/2019 08:21:32.716,6470227
17/10/2019 08:21:32.756,6431085
17/10/2019 08:21:32.796,6416583
17/10/2019 08:21:32.836,6406501
17/10/2019 08:21:32.876,6404560
17/10/2019 08:21:32.916,6398413
17/10/2019 08:21:32.956,6394154
17/10/2019 08:21:32.996,6394424
17/10/2019 08:21:33.036,6398144
17/10/2019 08:21:33.076,6395125
17/10/2019 08:21:33.116,6396796
17/10/2019 08:21:33.156,6396365
17/10/2019 08:21:33.196,6395825
17/10/2019 08:21:33.236,6393885
17/10/2019 08:21:33.276,6393076
17/10/2019 08:21:33.316,6394640
17/10/2019 08:21:33.356,6393885
17/10/2019 08:21:33.396,6395017
17/10/2019 08:21:33.436,6395772
17/10/2019 08:21:33.476,6395556
17/10/2019 08:21:33.516,6394478
17/10/2019 08:21:33.556,6394586
17/10/2019 08:21:33.596,6396041
17/10/2019 08:21:33.636,6397173
17/10/2019 08:21:33.676,6396095
17/10/2019 08:21:33.716,6396419
17/10/2019 08:21:33.756,6397119
17/10/2019 08:21:33.796,6397335
17/10/2019 08:21:33.836,6397551
17/10/2019 08:21:33.876,6398683
17/10/2019 08:21:33.916,6398845
17/10/2019 08:21:33.956,6399007
17/10/2019 08:21:33.996,6400462
17/10/2019 08:21:34.036,6400786
17/10/2019 08:21:34.076,6404074
17/10/2019 08:21:34.116,6403266
17/10/2019 08:21:34.156,6398899
17/10/2019 08:21:34.196,6398953
17/10/2019 08:21:34.236,6399977
17/10/2019 08:21:34.276,6397605
17/10/2019 08:21:34.316,6396850
17/10/2019 08:21:34.356,6397551
17/10/2019 08:21:34.396,6396688
17/10/2019 08:21:34.436,6397767
17/10/2019 08:21:34.476,6398090
17/10/2019 08:21:34.516,6396095
17/10/2019 08:21:34.556,6396149
17/10/2019 08:21:34.596,6399384
17/10/2019 08:21:34.636,6400732
17/10/2019 08:21:34.676,6403427
17/10/2019 08:21:34.716,6403481
17/10/2019 08:21:34.756,6403643
17/10/2019 08:21:34.796,6402888
17/10/2019 08:21:34.836,6401756
17/10/2019 08:21:34.876,6404182
17/10/2019 08:21:34.916,6405422
17/10/2019 08:21:34.956,6408711
17/10/2019 08:21:34.996,6408172
17/10/2019 08:21:35.036,6406339
17/10/2019 08:21:35.076,6405368
17/10/2019 08:21:35.116,6404829
17/10/2019 08:21:35.156,6405045
17/10/2019 08:21:35.196,6405314
17/10/2019 08:21:35.236,6406986
17/10/2019 08:21:35.276,6397281
17/10/2019 08:21:35.316,6401109
17/10/2019 08:21:35.356,6403320
17/10/2019 08:21:35.396,6404074
17/10/2019 08:21:35.436,6406231
17/10/2019 08:21:35.476,6405584
17/10/2019 08:21:35.516,6402726
17/10/2019 08:21:35.556,6402996
17/10/2019 08:21:35.596,6404074
17/10/2019 08:21:35.636,6401163
17/10/2019 08:21:35.676,6400462
17/10/2019 08:21:35.716,6404182
17/10/2019 08:21:35.756,6402942
17/10/2019 08:21:35.796,6402457
17/10/2019 08:21:35.836,6402134
17/10/2019 08:21:35.876,6403427
17/10/2019 08:21:35.916,6403158
17/10/2019 08:21:35.956,6402781
17/10/2019 08:21:35.996,6403374
17/10/2019 08:21:36.036,6403266
17/10/2019 08:21:36.076,6404560
17/10/2019 08:21:36.116,6404290
17/10/2019 08:21:36.156,6404129
17/10/2019 08:21:36.196,6403966
17/10/2019 08:21:36.236,6402942
17/10/2019 08:21:36.276,6403320
17/10/2019 08:21:36.316,6403212
17/10/2019 08:21:36.356,6403966
17/10/2019 08:21:36.396,6403643
17/10/2019 08:21:36.436,6403212
17/10/2019 08:21:36.476,6402888
17/10/2019 08:21:36.516,6402134
17/10/2019 08:21:36.556,6402619
17/10/2019 08:21:36.596,6404020
17/10/2019 08:21:36.636,6404452
17/10/2019 08:21:36.676,6405314
17/10/2019 08:21:36.716,6405854
17/10/2019 08:21:36.756,6406015
17/10/2019 08:21:36.796,6405854
17/10/2019 08:21:36.836,6407525
17/10/2019 08:21:36.876,6406932
17/10/2019 08:21:36.916,6406932
17/10/2019 08:21:36.956,6407525
17/10/2019 08:21:36.996,6407579
17/10/2019 08:21:37.036,6407471
17/10/2019 08:21:37.076,6406015
17/10/2019 08:21:37.116,6405638
