Time,RtoR
17/10/2019 08:21:23.436,4175
,5875
,191
,1649
,2623
,676
,156
,523
,566
,1390
,1228
,1045
,250
,661
,511
,867
,948
,309
,1357
,590
,121
,646
,701
,337
,1960
,585
,88
,431
,66
,2100
,272
,484
,153
,4617
,698
,727
,710
,730
,724
,723
,703
,693
,687
,714
,693
,679
,660
,639
,631
,628
,651
,688
,685
,723
,744
,758
,744
,720
,722
,778
,714
,715
,733
,709
,703
,696
,736
,759
,720
,751
,835
,755
,750
,754
,732
,719
,732
,733
,703
,749
,776
,737
,820
,788
,752
,787
,807
,758
,808
,769
,798
,889
,779
,805
,801
,742
,774
,748
,721
,759
,772
,773
,852
,847
,853
,802
,838
,893
,853
,763
,760
,745
,725
,747
,738
,714
,715
,747
,723
,770
,945
,856
,870
,875
,808
,857
,925
,826
,933
,893
,825
,986
,983
,1021
,890
,849
,1029
,916
,860
,1010
,927
,926
,1065
,1001
,933
,952
,862
,899
,974
,947
,930
,822
,838
,868
,741
,705
,770
,986
,1023
,978
,1000
,976
,911
,853
,857
,855
,812
,798
,892
,764
,768
,850
,872
,749
,787
,880
,995
,814
,804
,823
,858
,921
,799
,813
,882
,773
,807
,869
,842
,825
,1111
,1091
,1038
,1016
,871
,967
,986
,929
,1153
,1003
,929
,1099
,1070
,1029
,1037
,927
,960
,849
,859
,1096
,1023
,877
,983
,1099
,983
,1004
,954
,991
,1014
,990
,883
,879
,881
,883
,893
,893
,886
,847
,860
,808
,841
,804
,743
,766
,755
,743
,790
,920
,791
,878
,995
,971
,1057
,928
,974
,1054
,932
,1043
,983
,949
,940
,1016
,1113
,891
,920
,909
,809
,879
,914
,808
,870
,949
,942
,879
,1003
,975
,909
,968
,892
,772
,790
,923
,1026
,950
,1004
,1004
,965
,986
,896
,909
,965
,829
,747
,700
,692
,781
,891
,980
,952
,916
,851
,786
,774
,831
,742
,709
,722
,781
,924
,986
,1002
,985
,955
,945
,920
,843
,753
,719
,703
,705
,963
,1133
,1144
,1096
,1088
,1056
,981
,935
,911
,850
,745
,706
,720
,804
,1167
,1141
,1084
,1056
,1013
,962
,912
,766
,721
,730
,822
,1120
,1111
,1057
,976
,805
,743
,754
,800
,1125
,1092
,1040
,1009
,968
,891
,763
,730
,749
,920
,1077
,1012
,945
,921
,868
,845
,796
,763
,748
,744
,719
,698
,688
,679
,703
,741
,840
,814
,753
,755
,735
,702
,692
,685
,777
,992
,1007
,903
,796
,865
,972
,1038
,972
,800
,806
,978
,1107
,1072
,1041
,1026
,998
,949
,943
,843
,893
,954
,1013
,834
,863
,981
,1002
,947
,782
,779
,899
,1038
,996
,925
,863
,922
,956
,973
,956
,904
,846
,739
,755
,778
,829
,825
,781
,822
,775
,820
,892
,976
,940
,923
,860
,824
,768
,732
,709
,691
,680
,672
,713
,850
,1086
,887
,830
,934
,1006
,968
,912
,922
,975
,957
,962
,892
,783
,817
,926
,998
,856
,860
,974
,1002
,943
,949
,974
,944
,969
,888
,865
,907
,833
,777
,828
,919
,871
,815
,868
,955
,934
,927
,892
,845
,851
,881
,803
,826
,856
,914
,794
,856
,965
,957
,871
,937
,970
,892
,927
,932
,905
,902
,788
,822
,872
,899
,793
,876
,945
,926
,770
,791
,845
,958
,920
,964
,936
,784
,727
,743
,807
,1099
,1029
,965
,937
,922
,780
,738
,764
,969
,1034
,996
,906
,900
,896
,924
,943
,948
,803
,844
,941
,870
,818
,878
,935
,788
,837
,956
,1073
,991
,988
,884
,923
,835
,800
,880
,971
,810
,833
,910
,988
,950
,988
,904
,888
,923
,830
,775
,805
,838
,792
,859
,906
,873
,839
,823
,789
,800
,769
,733
,719
,699
,685
,672
,656
,646
,657
,651
,627
,645
,622
,613
,610
,602
,600
,605
,601
,607
,617
,682
,884
,726
,767
,772
,724
,718
,786
,807
,750
,796
,843
,726
,748
,791
,776
,743
,767
,801
,721
,740
,817
,796
,726
,733
,766
,777
,721
,734
,761
,798
,739
,757
,758
,764
,713
,730
,775
,811
,774
,885
,841
,845
,814
,816
,848
,935
,844
,784
,770
,771
,761
,775
,797
,788
,746
,760
,758
,720
,720
,736
,725
,704
,716
,750
,739
,715
,745
,770
,721
,740
,776
,766
,706
,722
,736
,732
,688
,664
,652
,629
,635
,689
,851
,931
,912
,894
,831
,820
,793
,734
,712
,717
,734
,753
,706
,710
,732
,757
,701
,709
,734
,804
,761
,738
,763
,810
,737
,735
,745
,765
,738
,732
,742
,770
,764
,722
,728
,771
,736
,709
,736
,746
,724
,728
,752
,768
,704
,725
,792
,781
,707
,704
,748
,756
,707
,727
,778
,795
,721
,756
,789
,780
,718
,719
,744
,737
,697
,726
,798
,767
,739
,768
,780
,724
,730
,756
,766
,707
,716
,726
,752
,718
,733
,756
,736
,690
,708
,735
,711
,731
,730
,717
,715
,705
,683
,681
,677
,650
,654
,641
,619
,626
,610
,594
,604
,602
,585
,592
,599
,588
,600
,600
,597
,596
,602
,588
,579
,569
,561
,561
,560
,561
,569
,562
,566
,576
,579
,575
,586
,597
,583
,590
,590
,580
,581
,579
,575
,570
,573
,570
,557
,561
,564
,564
,555
,550
,546
,549
,561
,568
,578
,597
,584
,588
,597
,599
,588
,589
,583
,565
,555
,554
,535
,522
,527
,548
,564
,563
,575
,589
,582
,566
,562
,567
,566
,537
,528
,532
,529
,529
,546
,542
,525
,532
,528
,533
,528
,513
,525
,520
,528
,526
,514
,522
,526
,536
,523
,515
,524
,527
,523
,512
,515
,515
,520
,511
,502
,508
,515
,514
,498
,506
,508
,513
,499
,500
,499
,508
,511
,502
,504
,507
,514
,500
,497
,505
,503
,507
,488
,484
,491
,491
,487
,496
,479
,477
,476
,475
,474
,481
,483
,478
,486
,487
,475
,475
,480
,485
,488
,477
,475
,481
,476
,474
,478
,465
,463
,472
,468
,475
,457
,457
,462
,465
,469
,468
,470
,463
,455
,462
,463
,469
,458
,455
,455
,457
,467
,473
,467
,469
,464
,460
,456
,461
,460
,465
,460
,453
,451
,455
,455
,455
,454
,444
,445
,449
,452
,458
,455
,448
,444
,451
,456
,456
,454
,453
,447
,452
,451
,451
,452
,446
,441
,442
,438
,441
,455
,472
,459
,457
,455
,458
,455
,453
,441
,437
,448
,445
,438
,431
,432
,435
,433
,437
,437
,430
,426
,429
,432
,441
,441
,436
,435
,442
,449
,453
,444
,446
,451
,452
,455
,460
,452
,448
,454
,455
,455
,442
,443
,447
,445
,447
,440
,433
,438
,444
,443
,437
,431
,435
,442
,440
,439
,431
,429
,441
,440
,447
,438
,433
,443
,448
,450
,450
,440
,444
,446
,450
,449
,444
,439
,443
,444
,448
,434
,438
,440
,444
,443
,432
,439
,445
,444
,440
,435
,444
,445
,449
,441
,436
,439
,443
,442
,438
,431
,434
,439
,440
,437
,433
,427
,436
,434
,438
,437
,431
,429
,440
,441
,441
,434
,431
,433
,438
,438
,437
,434
,429
,435
,441
,441
,437
,434
,431
,437
,440
,440
,433
,428
,433
,437
,439
,434
,430
,435
,438
,439
,443
,432
,435
,440
,443
,447
,444
,438
,445
,446
,454
,446
,441
,446
,443
,447
,446
,441
,438
,440
,446
,443
,443
,436
,436
,441
,441
,443
,445
,439
,434
,438
,443
,445
,448
,438
,439
,442
,447
,446
,443
,437
,437
,439
,447
,448
,451
,441
,443
,447
,453
,454
,451
,447
,446
,450
,452
,453
,454
,449
,444
,443
,446
,449
,450
,439
,438
,436
,435
,441
,456
,465
,463
,456
,457
,450
,439
,435
,441
,443
,444
,442
,435
,432
,442
,443
,441
,440
,431
,433
,438
,439
,439
,442
,432
,433
,439
,440
,443
,444
,439
,434
,442
,444
,445
,437
,433
,444
,440
,440
,441
,432
,431
,439
,444
,440
,436
,432
,433
,438
,437
,439
,443
,433
,431
,439
,439
,438
,432
,433
,438
,438
,443
,441
,436
,431
,437
,438
,444
,443
,438
,436
,439
,441
,444
,436
,435
,439
,444
,444
,437
,434
,442
,444
,450
,447
,438
,439
,440
,444
,445
,443
,443
,434
,440
,440
,443
,443
,441
,433
,438
,440
,441
,436
,432
,435
,436
,437
,440
,431
,432
,437
,439
,439
,436
,432
,430
,430
,435
,438
,438
,430
,430
,435
,438
,439
,436
