Time,BreathingWaveform
17/10/2019 09:10:34.428,6310866
17/10/2019 09:10:34.468,6309636
17/10/2019 09:10:34.508,6311775
17/10/2019 09:10:34.548,6311775
17/10/2019 09:10:34.588,6310545
17/10/2019 09:10:34.628,6310545
17/10/2019 09:10:34.668,6304609
17/10/2019 09:10:34.708,6305304
17/10/2019 09:10:34.748,6303112
17/10/2019 09:10:34.788,6297657
17/10/2019 09:10:34.828,6299421
17/10/2019 09:10:34.868,6295143
17/10/2019 09:10:34.908,6294394
17/10/2019 09:10:34.948,6289956
17/10/2019 09:10:34.988,6288030
17/10/2019 09:10:35.028,6287603
17/10/2019 09:10:35.068,6287656
17/10/2019 09:10:35.108,6288405
17/10/2019 09:10:35.148,6289047
17/10/2019 09:10:35.188,6289742
17/10/2019 09:10:35.228,6290972
17/10/2019 09:10:35.268,6291239
17/10/2019 09:10:35.308,6289795
17/10/2019 09:10:35.348,6288672
17/10/2019 09:10:35.388,6287335
17/10/2019 09:10:35.428,6287870
17/10/2019 09:10:35.468,6287442
17/10/2019 09:10:35.508,6287817
17/10/2019 09:10:35.548,6288779
17/10/2019 09:10:35.588,6288993
17/10/2019 09:10:35.628,6288458
17/10/2019 09:10:35.668,6288565
17/10/2019 09:10:35.708,6288619
17/10/2019 09:10:35.748,6287549
17/10/2019 09:10:35.788,6287495
17/10/2019 09:10:35.828,6289688
17/10/2019 09:10:35.868,6287389
17/10/2019 09:10:35.908,6285517
17/10/2019 09:10:35.948,6285142
17/10/2019 09:10:35.988,6284822
17/10/2019 09:10:36.028,6284929
17/10/2019 09:10:36.068,6283538
17/10/2019 09:10:36.108,6282736
17/10/2019 09:10:36.148,6281238
17/10/2019 09:10:36.188,6278885
17/10/2019 09:10:36.228,6279313
17/10/2019 09:10:36.268,6280383
17/10/2019 09:10:36.308,6276051
17/10/2019 09:10:36.348,6274339
17/10/2019 09:10:36.388,6272308
17/10/2019 09:10:36.428,6272735
17/10/2019 09:10:36.468,6275623
17/10/2019 09:10:36.508,6276586
17/10/2019 09:10:36.548,6275891
17/10/2019 09:10:36.588,6274661
17/10/2019 09:10:36.628,6273377
17/10/2019 09:10:36.668,6273858
17/10/2019 09:10:36.708,6272896
17/10/2019 09:10:36.748,6274500
17/10/2019 09:10:36.788,6277388
17/10/2019 09:10:36.828,6273377
