Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
17/10/2019 09:10:34.428,65,8.1,-3276.8,88,0.51,0.92,3.858,43,5274.000,65535.000,255,0.000000,0.000080,0,65535,0,65535,1,2,-0.12,0.49,0.57,1.24,-0.79,0.04,25.8,528,255,-128,-128,6553.5,411,415,494
17/10/2019 09:10:35.428,65,8.1,-3276.8,82,0.50,1.71,3.825,37,4722.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,1,3,-1.84,0.43,0.15,1.13,-0.48,0.66,25.8,528,255,-128,-128,6553.5,411,414,494
17/10/2019 09:10:36.428,65,7.3,-3276.8,-40,0.89,1.77,3.804,34,4162.000,65535.000,255,0.004300,0.000920,0,65535,0,65535,1,4,-1.86,-0.42,-0.34,0.81,-0.49,0.90,25.8,528,255,-128,-128,6553.5,412,415,494
17/10/2019 09:10:37.428,57,7.3,-3276.8,19,0.49,1.04,3.790,31,3601.000,65535.000,255,0.004300,0.002020,0,65535,0,65535,1,5,-1.19,-0.69,-0.83,0.24,-0.49,0.00,25.8,528,255,-128,-128,6553.5,406,428,498
17/10/2019 09:10:38.428,70,6.6,-3276.8,15,0.29,0.54,3.780,30,3165.000,65535.000,255,0.004300,0.002460,0,65535,0,65535,1,6,-1.21,-0.46,-0.37,0.34,-0.45,-0.03,25.8,528,255,-128,-128,6553.5,411,415,493
17/10/2019 09:10:39.428,75,6.6,-3276.8,15,0.12,0.44,3.781,30,2730.000,65535.000,255,0.004300,0.001980,0,65535,0,65535,1,7,-1.09,-0.72,-0.15,0.28,-0.74,-0.10,25.8,528,255,-128,-128,6553.5,411,413,494
17/10/2019 09:10:40.428,70,6.9,-3276.8,12,0.18,0.50,3.791,31,2389.000,65535.000,255,0.004300,0.002000,0,65535,0,65535,1,8,-1.33,-0.62,-0.36,0.26,-0.46,-0.02,25.8,528,255,-128,-128,6553.5,395,401,490
17/10/2019 09:10:41.428,68,6.9,-3276.8,13,0.05,0.13,3.805,34,2060.000,65535.000,255,0.004300,0.002100,0,65535,0,65535,1,9,-0.98,-0.87,-0.03,0.14,-0.32,-0.13,25.8,528,255,-128,-128,6553.5,411,415,492
17/10/2019 09:10:42.428,67,7.2,-3276.8,12,0.05,0.21,3.815,35,1789.000,65535.000,255,0.004300,0.001900,0,65535,0,65535,1,10,-1.18,-0.84,-0.19,0.31,-0.36,-0.02,25.8,528,255,-128,-128,6553.5,409,414,492
17/10/2019 09:10:43.428,67,7.2,-3276.8,12,0.09,1.31,3.825,37,1540.000,65535.000,255,0.004300,0.002020,0,65535,0,65535,1,11,-1.32,-0.46,-1.84,0.37,-0.67,-0.07,25.8,528,255,-128,-128,6553.5,412,415,494
17/10/2019 09:10:44.428,68,7.6,-3276.8,12,0.16,0.44,3.820,36,1348.000,65535.000,255,0.004300,0.002260,8,65535,0,65535,1,12,-1.37,-0.71,-0.37,0.67,-0.44,0.13,25.8,528,255,-128,-128,6553.5,411,415,493
17/10/2019 09:10:45.428,68,7.6,-3276.8,12,0.08,0.26,3.789,31,1164.000,65535.000,255,0.004300,0.002660,7,65535,0,65535,1,13,-1.00,-0.83,-0.06,0.22,-0.50,0.03,25.8,528,255,-128,-128,6553.5,411,414,494
17/10/2019 09:10:46.428,69,8.1,-3276.8,12,0.05,0.13,3.758,26,1024.000,65535.000,255,0.004300,0.002520,6,65535,0,65535,1,14,-0.98,-0.89,-0.08,0.12,-0.31,-0.15,25.8,528,255,-128,-128,6553.5,422,424,500
17/10/2019 09:10:47.428,69,8.1,-3276.8,11,0.06,0.24,3.741,23,880.000,65535.000,255,0.004300,0.002760,5,65535,0,65535,1,15,-1.02,-0.84,-0.15,0.06,-0.38,0.06,25.8,528,255,-128,-128,6553.5,411,415,493
17/10/2019 09:10:48.428,69,8.7,-3276.8,10,0.07,0.12,3.739,23,784.000,65535.000,255,0.004300,0.002060,10,65535,0,65535,1,16,-1.00,-0.93,-0.09,0.00,-0.22,-0.04,25.8,528,255,-128,-128,6553.5,411,415,493
17/10/2019 09:10:49.428,71,8.7,-3276.8,10,0.03,0.15,3.744,24,678.000,65535.000,255,0.004300,0.002580,18,65535,0,65535,1,17,-1.00,-0.92,-0.09,0.01,-0.44,-0.01,25.8,528,255,-128,-128,6553.5,415,418,496
17/10/2019 09:10:50.428,72,9.3,-3276.8,9,0.06,0.15,3.763,27,596.000,65535.000,255,0.004300,0.003340,16,65535,0,65535,1,18,-1.02,-0.89,-0.12,0.09,-0.22,0.03,25.8,528,255,-128,-128,6553.5,412,415,494
17/10/2019 09:10:51.428,74,9.3,-3276.8,9,0.04,0.10,3.782,30,517.000,65535.000,255,0.004300,0.003120,14,65535,0,65535,1,19,-1.00,-0.90,-0.13,-0.02,-0.30,-0.03,25.8,528,255,-128,-128,6553.5,411,415,494
17/10/2019 09:10:52.428,74,9.9,-3276.8,10,0.04,0.08,3.799,33,456.000,65535.000,255,0.004300,0.001660,12,65535,0,65535,1,20,-1.00,-0.89,-0.15,-0.03,-0.20,-0.13,25.8,528,255,-128,-128,6553.5,411,415,494
17/10/2019 09:10:53.428,75,9.9,-3276.8,11,0.02,0.07,3.809,34,393.000,65535.000,255,0.004300,0.000940,11,65535,0,65535,1,21,-1.00,-0.91,-0.12,0.00,-0.20,-0.09,25.8,528,255,-128,-128,6553.5,412,416,503
17/10/2019 09:10:54.428,75,10.4,-3276.8,10,0.06,0.27,3.815,35,344.000,65535.000,255,0.001580,0.000600,10,65535,0,65535,1,22,-1.16,-0.71,-0.08,0.14,-0.24,0.00,25.8,528,255,-128,-128,6553.5,411,415,493
17/10/2019 09:10:55.428,75,10.4,-3276.8,11,0.12,0.77,3.805,34,297.000,65535.000,255,0.001580,0.000440,8,65535,0,65535,1,23,-1.72,-0.79,-0.38,0.16,-0.84,-0.12,25.8,528,255,-128,-128,6553.5,412,414,494
17/10/2019 09:10:56.428,75,11.0,-3276.8,11,0.12,0.40,3.795,32,265.000,65535.000,255,0.001580,0.000920,7,65535,0,65535,1,24,-1.22,-0.67,-0.19,0.38,-0.45,0.20,25.8,528,255,-128,-128,6553.5,404,416,473
17/10/2019 09:10:57.428,75,11.0,-3276.8,9,0.18,0.33,3.771,28,262.000,65535.000,255,0.001580,0.000800,7,65535,0,65535,1,25,-1.26,-0.59,0.01,0.40,-0.22,0.16,25.8,528,255,-128,-128,6553.5,412,415,494
17/10/2019 09:10:58.428,75,11.4,-3276.8,10,0.08,0.26,3.741,23,256.000,65535.000,255,0.001580,0.000620,6,65535,0,65535,1,26,-1.16,-0.56,-0.16,0.25,-0.20,0.02,25.8,528,255,-128,-128,6553.5,411,415,494
17/10/2019 09:10:59.428,75,11.4,-3276.8,10,0.12,0.37,3.719,19,234.000,65535.000,255,0.001580,0.000600,11,65535,0,65535,1,27,-1.10,-0.67,-0.08,0.49,-0.20,0.31,25.8,528,255,-128,-128,6553.5,398,404,478
17/10/2019 09:11:00.428,75,11.9,-3276.8,8,0.08,0.32,3.731,21,220.000,65535.000,255,0.001580,0.000520,13,65535,0,65535,1,28,-1.20,-0.72,-0.31,0.19,-0.12,0.02,25.8,528,255,-128,-128,6553.5,402,406,491
17/10/2019 09:11:01.428,77,11.9,-3276.8,6,0.06,0.19,3.751,25,194.000,65535.000,255,0.001580,0.002200,20,65535,100,65535,1,29,-1.01,-0.95,-0.09,0.09,-0.18,0.07,25.8,512,255,-128,-128,6553.5,411,414,494
