Time,BtoB
08/11/2019 11:59:04.441,6000
,1670
,1380
,1450
,1370
,2170
,3230
,5030
,3010
,6770
,1600
,6050
,2190
,2420
,4690
,2490
,4980
,3500
,3980
,6820
,1990
,1190
,2070
,1380
,3390
,4920
,2160
,7790
,1610
,3040
,4600
,1690
,2890
,3700
,3890
,1240
,3720
,2890
,4830
,3640
,2220
,1690
,2190
,2660
,3250
,4550
,1600
,2080
,1460
,1980
,1300
,3210
,5100
,1690
,3110
,1290
,2300
,4460
,6300
,1810
,2960
,3720
,3050
,3350
,3110
,7000
,2990
,2910
,3090
,3320
,5440
,1710
,2800
,3310
,6710
,2720
,3530
,3050
,2880
,3740
,3280
,3130
,1430
,2790
,3000
,3410
,3160
,4280
,1210
,1980
,2890
,2440
,8690
,1840
,1650
,5260
,1540
,7330
,3380
,4930
,3180
,2470
,6140
,4180
,2740
,6590
,4160
,3870
,2790
,2740
,2270
,1350
,7450
,3440
,1680
,4600
,1490
,2350
,3020
,2120
,1990
,6500
,1560
,2380
,3450
,2980
,2970
,4860
,3550
,2460
,2900
,3870
,2590
,2200
,2750
,1670
,5350
,3800
,2080
,5330
,4130
,4900
,7790
,2690
,4090
,4100
,3740
,3470
,2830
,3990
,4100
,3690
,3360
,1240
,4010
,6960
,4950
,9200
,4050
,2460
,9520
,1180
,1490
,3240
,2730
,3110
,7770
,3400
,4630
,2530
,2760
,3880
,10370
,4440
,3440
,2400
,1210
,2380
,2030
,1380
,1550
,2000
,1470
,1980
,1490
,1630
,1530
,1890
,1560
,3500
,3450
,1890
,1450
,2160
,2950
,2160
,1680
,1390
,3590
,1160
,2020
,1410
,1430
,1850
,2400
,1380
,1890
,3860
,1640
,2070
,1070
,3440
,1170
,1840
,1530
,1890
,1680
,1930
,1380
,2330
,1300
,2200
,1710
,2160
,2210
,3430
,2280
,1470
,2150
,2700
,1520
,1270
,1260
,2580
,2320
,1540
,1860
,3110
,2790
,4490
,2860
,2930
,2940
,1460
,2620
,2660
,4080
,4850
,3180
,3060
,3670
,3170
,1600
,2870
,3990
,3050
,2580
,3760
,4270
,2470
,3460
,1600
,5550
,5360
,3360
,2570
,2510
,2830
,790
,2230
,2510
,2870
,2730
,2730
,3210
,3330
,2550
,2400
,2290
,2280
,3510
,1230
,1770
,1550
,3160
,2920
,3430
,3470
,3650
,3420
,2400
,2480
,2650
,2200
,2620
,2410
,2520
,2590
,2640
,3150
,2410
,1840
,2480
,3230
,2810
,3280
,3130
,2590
,2690
,2800
,2650
,2830
,1790
,2390
,2610
,2180
,2450
,2470
,2370
,2050
,1660
,2250
,2360
,2080
,2750
,2960
,3150
,2600
,2270
,3220
,3260
,3490
,2630
,2580
,2440
,2530
,2100
,2390
,2340
,2080
,2480
,2220
,2340
,2770
,1880
,1650
,3920
,1580
,2750
,2000
,2390
,2390
,2720
,2330
,1980
,2070
,1990
,2050
,2080
,1920
,2510
,1980
,2030
,2150
,2190
,1970
,2320
,2240
,2120
,3610
,1650
,2880
,1890
,4150
,2520
,3260
,2750
,3230
,3370
,2280
,2590
,2810
,3860
,2620
,2320
,2840
,3000
,2500
,2760
,2700
,2800
,3520
,2470
,2600
,3070
,2450
,3630
,2410
,2210
,3780
,3000
,2660
,3750
,2410
,2440
,2610
,2860
,2160
,2430
,2770
,3510
,2160
,1760
,2270
,2030
,2020
,2120
,1910
,2100
,2280
,2010
,1980
,2180
,4170
,2340
,2680
,2350
,2390
,3090
,2630
,2670
,2750
,2430
,2680
,4160
,2160
,1970
,1980
,2060
,2060
,1840
,2370
,2160
,2370
,2330
,1940
,2050
,2730
,2560
,1970
,2000
,2140
,1840
,2130
,1400
,2070
,2660
,2520
,2340
,2200
,1850
,2610
,2510
,2460
,1990
,2400
,2310
,1890
,1860
,1940
,2300
,4840
,1890
,2360
,2370
,1990
,2420
,2670
,2060
,2270
,2990
,2440
,1490
,2140
,2350
,2060
,1860
,1650
,2190
,1900
,2570
,2020
,2490
,2280
,2350
,2220
,2100
,2080
,2960
,1650
,2860
,2530
,1900
,2650
,2230
,2400
,3300
,5210
,2360
,3370
,2280
,3290
,3810
,1050
,1760
,2670
,3620
,2710
,2660
,4660
,5450
,3670
,1150
,1260
,3000
,3650
,5280
,1690
,3730
,2310
,3120
,2460
,2420
,2560
,2700
,2680
,1810
,2870
,4370
,3460
,3130
,3820
,2340
,1650
,3660
,4860
,2460
,3230
,3000
,2720
,3640
,3590
,2960
,3250
,1560
,3950
,7020
,5030
,2430
,3340
,2510
,2910
,2010
,2890
,2390
,3130
,3030
,2600
,1880
,1380
,3480
,2970
,2980
,2580
,2080
,2230
,1550
,4590
,3940
,2560
,1860
,2750
,3410
,1490
,4150
,2080
,1460
,1460
,3480
,1590
,1520
,4150
,6170
,3790
,4330
,2790
,4490
,2820
,6260
,2420
,2790
,2810
,3360
,5050
,3080
,2920
,1160
,4670
,2250
,3260
,3170
,2560
,4070
,3270
,5400
,3990
,2540
,6600
,3430
,3920
,6150
,4260
,730
,6010
,5650
,3260
,4440
,3720
,2120
,2250
,7910
,3490
,3420
,10510
,3030
,2330
,2380
,1310
,3660
,2210
,3560
,5860
,4380
,4940
,2340
,5900
,3590
,2120
,3760
,6670
,5840
,4400
,3070
,1660
,3630
,2300
,2000
,2780
,1870
,7790
,1040
,3830
,2920
,650
,2460
,940
,2010
,3870
,5940
,4660
,620
,3140
,1080
,2230
,3450
,4180
,1450
,12750
,4660
,2740
,3620
,7270
,2100
,890
,2470
,3430
,4450
,350
,3140
,2260
,3930
,1780
,1610
,2880
,3270
,4730
,3460
,3390
,4180
,1520
,9770
,4270
,1100
,2820
,3400
,4020
,3510
,4070
,8130
,7950
,2660
,2410
,7250
,3710
,10960
,4580
,1320
,5710
,3550
,3700
,3730
,2100
,2080
,1380
,2830
,2970
,590
,7620
,2980
,3270
,3870
,3850
,8080
,5690
,700
,4710
,3790
,10250
,2410
,7620
,710
,2480
,1610
,1950
,9160
,6410
,3730
,5190
,5470
,8120
,4710
,2720
,2820
,1530
,3230
