Time,BreathingWaveform
08/11/2019 11:59:04.441,3099782
08/11/2019 11:59:04.481,3099782
08/11/2019 11:59:04.521,3102188
08/11/2019 11:59:04.561,3102188
08/11/2019 11:59:04.601,3103793
08/11/2019 11:59:04.641,3103793
08/11/2019 11:59:04.681,3102670
08/11/2019 11:59:04.721,3101172
08/11/2019 11:59:04.761,3101333
08/11/2019 11:59:04.801,3100263
08/11/2019 11:59:04.841,3099408
08/11/2019 11:59:04.881,3097750
08/11/2019 11:59:04.921,3095717
08/11/2019 11:59:04.961,3097375
08/11/2019 11:59:05.001,3096520
08/11/2019 11:59:05.041,3101119
08/11/2019 11:59:05.081,3095397
08/11/2019 11:59:05.121,3098391
08/11/2019 11:59:05.161,3096092
08/11/2019 11:59:05.201,3097429
08/11/2019 11:59:05.241,3099354
08/11/2019 11:59:05.281,3102082
08/11/2019 11:59:05.321,3103472
08/11/2019 11:59:05.361,3102830
08/11/2019 11:59:05.401,3102937
08/11/2019 11:59:05.441,3104862
08/11/2019 11:59:05.481,3104221
08/11/2019 11:59:05.521,3102349
08/11/2019 11:59:05.561,3101868
08/11/2019 11:59:05.601,3101440
08/11/2019 11:59:05.641,3102616
08/11/2019 11:59:05.681,3101547
08/11/2019 11:59:05.721,3101493
08/11/2019 11:59:05.761,3101600
08/11/2019 11:59:05.801,3102296
08/11/2019 11:59:05.841,3101440
08/11/2019 11:59:05.881,3101119
08/11/2019 11:59:05.921,3103579
08/11/2019 11:59:05.961,3104595
08/11/2019 11:59:06.001,3105558
08/11/2019 11:59:06.041,3106413
08/11/2019 11:59:06.081,3107055
08/11/2019 11:59:06.121,3107002
08/11/2019 11:59:06.161,3106092
08/11/2019 11:59:06.201,3107590
08/11/2019 11:59:06.241,3106306
08/11/2019 11:59:06.281,3105772
08/11/2019 11:59:06.321,3105718
08/11/2019 11:59:06.361,3105986
08/11/2019 11:59:06.401,3105397
08/11/2019 11:59:06.441,3104221
08/11/2019 11:59:06.481,3103686
08/11/2019 11:59:06.521,3105290
08/11/2019 11:59:06.561,3106895
08/11/2019 11:59:06.601,3106841
08/11/2019 11:59:06.641,3105879
08/11/2019 11:59:06.681,3107109
08/11/2019 11:59:06.721,3107697
08/11/2019 11:59:06.761,3107162
08/11/2019 11:59:06.801,3106681
08/11/2019 11:59:06.841,3105772
08/11/2019 11:59:06.881,3107323
08/11/2019 11:59:06.921,3107643
08/11/2019 11:59:06.961,3107750
08/11/2019 11:59:07.001,3108767
08/11/2019 11:59:07.041,3109087
08/11/2019 11:59:07.081,3108927
08/11/2019 11:59:07.121,3109087
08/11/2019 11:59:07.161,3107483
08/11/2019 11:59:07.201,3106734
08/11/2019 11:59:07.241,3108018
08/11/2019 11:59:07.281,3107804
08/11/2019 11:59:07.321,3109408
08/11/2019 11:59:07.361,3109355
08/11/2019 11:59:07.401,3109676
08/11/2019 11:59:07.441,3110211
08/11/2019 11:59:07.481,3109676
08/11/2019 11:59:07.521,3108125
08/11/2019 11:59:07.561,3108499
08/11/2019 11:59:07.601,3108980
08/11/2019 11:59:07.641,3108339
08/11/2019 11:59:07.681,3109462
08/11/2019 11:59:07.721,3108499
08/11/2019 11:59:07.761,3107429
08/11/2019 11:59:07.801,3107109
08/11/2019 11:59:07.841,3106413
08/11/2019 11:59:07.881,3107109
08/11/2019 11:59:07.921,3105611
08/11/2019 11:59:07.961,3106253
08/11/2019 11:59:08.001,3104862
08/11/2019 11:59:08.041,3105397
08/11/2019 11:59:08.081,3105130
08/11/2019 11:59:08.121,3103686
08/11/2019 11:59:08.161,3103472
08/11/2019 11:59:08.201,3104970
08/11/2019 11:59:08.241,3106413
08/11/2019 11:59:08.281,3107643
08/11/2019 11:59:08.321,3107483
08/11/2019 11:59:08.361,3107162
08/11/2019 11:59:08.401,3106574
08/11/2019 11:59:08.441,3105879
08/11/2019 11:59:08.481,3105825
08/11/2019 11:59:08.521,3107055
08/11/2019 11:59:08.561,3106039
08/11/2019 11:59:08.601,3104970
08/11/2019 11:59:08.641,3105986
08/11/2019 11:59:08.681,3105504
08/11/2019 11:59:08.721,3106039
08/11/2019 11:59:08.761,3105718
08/11/2019 11:59:08.801,3105130
08/11/2019 11:59:08.841,3105451
08/11/2019 11:59:08.881,3104542
08/11/2019 11:59:08.921,3105130
08/11/2019 11:59:08.961,3104274
08/11/2019 11:59:09.001,3104060
08/11/2019 11:59:09.041,3104221
08/11/2019 11:59:09.081,3103900
08/11/2019 11:59:09.121,3105718
08/11/2019 11:59:09.161,3105718
08/11/2019 11:59:09.201,3105504
08/11/2019 11:59:09.241,3105825
08/11/2019 11:59:09.281,3105665
08/11/2019 11:59:09.321,3106574
08/11/2019 11:59:09.361,3107857
08/11/2019 11:59:09.401,3107964
08/11/2019 11:59:09.441,3107429
08/11/2019 11:59:09.481,3109141
08/11/2019 11:59:09.521,3108606
08/11/2019 11:59:09.561,3109301
08/11/2019 11:59:09.601,3108767
08/11/2019 11:59:09.641,3108232
08/11/2019 11:59:09.681,3107750
08/11/2019 11:59:09.721,3107964
08/11/2019 11:59:09.761,3106574
08/11/2019 11:59:09.801,3108178
08/11/2019 11:59:09.841,3106253
08/11/2019 11:59:09.881,3107002
08/11/2019 11:59:09.921,3107002
08/11/2019 11:59:09.961,3108232
08/11/2019 11:59:10.001,3108285
08/11/2019 11:59:10.041,3107750
08/11/2019 11:59:10.081,3108392
08/11/2019 11:59:10.121,3107162
08/11/2019 11:59:10.161,3107269
08/11/2019 11:59:10.201,3106467
08/11/2019 11:59:10.241,3104862
08/11/2019 11:59:10.281,3104221
08/11/2019 11:59:10.321,3102937
08/11/2019 11:59:10.361,3103044
08/11/2019 11:59:10.401,3104328
08/11/2019 11:59:10.441,3106788
08/11/2019 11:59:10.481,3107376
08/11/2019 11:59:10.521,3107055
08/11/2019 11:59:10.561,3105879
08/11/2019 11:59:10.601,3106092
08/11/2019 11:59:10.641,3105665
08/11/2019 11:59:10.681,3105718
08/11/2019 11:59:10.721,3105344
08/11/2019 11:59:10.761,3105772
08/11/2019 11:59:10.801,3106948
08/11/2019 11:59:10.841,3106841
08/11/2019 11:59:10.881,3106788
