Time,BreathingWaveform
05/11/2019 12:03:27.437,6847912
05/11/2019 12:03:27.477,6845293
05/11/2019 12:03:27.517,6845293
05/11/2019 12:03:27.557,6842262
05/11/2019 12:03:27.597,6842262
05/11/2019 12:03:27.637,6843238
05/11/2019 12:03:27.677,6844471
05/11/2019 12:03:27.717,6842262
05/11/2019 12:03:27.757,6845395
05/11/2019 12:03:27.797,6845447
05/11/2019 12:03:27.837,6845858
05/11/2019 12:03:27.877,6850069
05/11/2019 12:03:27.917,6846833
05/11/2019 12:03:27.957,6846987
05/11/2019 12:03:27.997,6846012
05/11/2019 12:03:28.037,6846936
05/11/2019 12:03:28.077,6832504
05/11/2019 12:03:28.117,6853921
05/11/2019 12:03:28.157,6818380
05/11/2019 12:03:28.197,6832864
05/11/2019 12:03:28.237,6832093
05/11/2019 12:03:28.277,6830963
05/11/2019 12:03:28.317,6832299
05/11/2019 12:03:28.357,6834764
05/11/2019 12:03:28.397,6836151
05/11/2019 12:03:28.437,6837434
05/11/2019 12:03:28.477,6839284
05/11/2019 12:03:28.517,6840413
05/11/2019 12:03:28.557,6851353
05/11/2019 12:03:28.597,6849401
05/11/2019 12:03:28.637,6852380
05/11/2019 12:03:28.677,6851507
05/11/2019 12:03:28.717,6852021
05/11/2019 12:03:28.757,6845652
05/11/2019 12:03:28.797,6845241
05/11/2019 12:03:28.837,6844830
05/11/2019 12:03:28.877,6841543
05/11/2019 12:03:28.917,6835175
05/11/2019 12:03:28.957,6833737
05/11/2019 12:03:28.997,6832042
05/11/2019 12:03:29.037,6837332
05/11/2019 12:03:29.077,6839284
05/11/2019 12:03:29.117,6822797
05/11/2019 12:03:29.157,6814066
05/11/2019 12:03:29.197,6814425
05/11/2019 12:03:29.237,6816685
05/11/2019 12:03:29.277,6808159
05/11/2019 12:03:29.317,6799479
05/11/2019 12:03:29.357,6801431
05/11/2019 12:03:29.397,6808827
05/11/2019 12:03:29.437,6805078
05/11/2019 12:03:29.477,6805797
05/11/2019 12:03:29.517,6811036
05/11/2019 12:03:29.557,6805797
05/11/2019 12:03:29.597,6801791
05/11/2019 12:03:29.637,6797682
05/11/2019 12:03:29.677,6796963
05/11/2019 12:03:29.717,6806670
05/11/2019 12:03:29.757,6809854
05/11/2019 12:03:29.797,6807235
05/11/2019 12:03:29.837,6807903
05/11/2019 12:03:29.877,6809289
05/11/2019 12:03:29.917,6806516
05/11/2019 12:03:29.957,6808519
05/11/2019 12:03:29.997,6808057
05/11/2019 12:03:30.037,6809906
05/11/2019 12:03:30.077,6809597
05/11/2019 12:03:30.117,6805797
05/11/2019 12:03:30.157,6805848
05/11/2019 12:03:30.197,6807030
05/11/2019 12:03:30.237,6808057
05/11/2019 12:03:30.277,6807903
05/11/2019 12:03:30.317,6811703
05/11/2019 12:03:30.357,6806464
05/11/2019 12:03:30.397,6801585
05/11/2019 12:03:30.437,6801380
05/11/2019 12:03:30.477,6801739
05/11/2019 12:03:30.517,6805180
05/11/2019 12:03:30.557,6807492
05/11/2019 12:03:30.597,6807903
05/11/2019 12:03:30.637,6805129
05/11/2019 12:03:30.677,6807030
05/11/2019 12:03:30.717,6806978
05/11/2019 12:03:30.757,6806413
05/11/2019 12:03:30.797,6800815
05/11/2019 12:03:30.837,6797425
05/11/2019 12:03:30.877,6800507
05/11/2019 12:03:30.917,6803229
05/11/2019 12:03:30.957,6802664
05/11/2019 12:03:30.997,6798144
05/11/2019 12:03:31.037,6808262
05/11/2019 12:03:31.077,6802766
05/11/2019 12:03:31.117,6797682
05/11/2019 12:03:31.157,6796244
05/11/2019 12:03:31.197,6794754
05/11/2019 12:03:31.237,6792495
05/11/2019 12:03:31.277,6794857
05/11/2019 12:03:31.317,6793316
05/11/2019 12:03:31.357,6796809
05/11/2019 12:03:31.397,6795987
05/11/2019 12:03:31.437,6797425
05/11/2019 12:03:31.477,6797939
05/11/2019 12:03:31.517,6800507
05/11/2019 12:03:31.557,6800044
05/11/2019 12:03:31.597,6802612
05/11/2019 12:03:31.637,6796346
05/11/2019 12:03:31.677,6795422
05/11/2019 12:03:31.717,6795987
05/11/2019 12:03:31.757,6798863
05/11/2019 12:03:31.797,6797528
05/11/2019 12:03:31.837,6799531
05/11/2019 12:03:31.877,6797939
05/11/2019 12:03:31.917,6801226
05/11/2019 12:03:31.957,6805848
05/11/2019 12:03:31.997,6805848
05/11/2019 12:03:32.037,6803486
05/11/2019 12:03:32.077,6804667
05/11/2019 12:03:32.117,6800764
05/11/2019 12:03:32.157,6799839
05/11/2019 12:03:32.197,6797990
05/11/2019 12:03:32.237,6800918
05/11/2019 12:03:32.277,6798452
05/11/2019 12:03:32.317,6795319
