SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,11,05,43407437,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,11,05,43411063,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,11,05,43419063,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,11,05,43424063,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,11,05,43435063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,05,43436063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,05,43437063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,05,43438063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,05,43442063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,05,43654960,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,05,43657079,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,05,44455559,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44460429,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44547180,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44569940,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44575044,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44579800,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44598559,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44603429,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44612429,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44617430,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44653929,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44681049,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44687049,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44691929,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44696929,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44756049,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,44762049,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,05,44766929,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,05,45496029,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
