Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
01/10/2019 13:04:32.425,65,8.1,-3276.8,61,0.19,0.33,3.982,63,5494.000,65535.000,255,0.000000,0.000020,0,65535,0,65535,1,2,-0.68,-0.25,0.50,1.03,-0.40,-0.15,25.2,528,255,-128,-128,6553.5,414,418,495
01/10/2019 13:04:33.425,65,8.1,-3276.8,54,0.20,0.38,3.960,60,4931.000,65535.000,255,0.000000,0.000340,0,65535,0,65535,1,3,-0.80,-0.22,0.48,0.89,-0.31,0.00,25.2,528,255,-128,-128,6553.5,411,416,493
01/10/2019 13:04:34.425,65,7.3,-3276.8,64,0.37,0.75,3.947,57,4354.000,65535.000,255,0.004060,0.000740,0,65535,0,65535,1,4,-0.61,-0.02,0.55,1.10,-0.24,0.49,25.2,531,255,-128,-128,6553.5,412,415,493
01/10/2019 13:04:35.425,65,7.3,-3276.8,73,0.33,0.73,3.937,56,3770.000,65535.000,255,0.004060,0.000980,0,65535,0,65535,0,0,-0.55,0.38,0.60,1.38,-0.21,0.16,25.2,531,255,-128,-128,6553.5,418,422,496
01/10/2019 13:04:36.425,65,6.6,-3276.8,76,0.16,0.30,3.930,55,3283.000,65535.000,255,0.004060,0.002700,0,65535,0,65535,0,0,-0.45,0.03,0.79,1.06,-0.31,-0.01,25.2,531,255,-128,-128,6553.5,412,416,494
01/10/2019 13:04:37.425,65,6.6,-3276.8,70,0.17,0.31,3.934,55,2819.000,65535.000,255,0.004060,0.003080,0,65535,0,65535,0,0,-0.63,-0.33,0.77,0.97,-0.26,0.09,25.2,531,255,-128,-128,6553.5,411,415,494
01/10/2019 13:04:38.425,65,6.9,-3276.8,71,0.25,0.53,3.950,58,2449.000,65535.000,255,0.004060,0.004960,0,65535,0,65535,0,0,-0.67,0.06,0.46,1.09,-0.46,0.16,25.2,528,255,-128,-128,6553.5,413,417,494
01/10/2019 13:04:39.425,0,6.9,-3276.8,55,0.54,0.84,3.968,61,2146.000,65535.000,255,0.000800,0.004740,0,65535,0,65535,1,0,-0.90,-0.50,0.07,0.92,-0.78,0.02,25.2,528,255,-128,-128,6553.5,411,414,493
01/10/2019 13:04:40.425,60,7.2,-3276.8,30,0.65,1.37,3.978,63,1911.000,65535.000,255,0.000800,0.004560,0,65535,0,65535,1,1,-1.77,-0.61,-0.51,0.53,-1.15,0.57,25.2,528,255,-128,-128,6553.5,411,415,493
01/10/2019 13:04:41.425,54,7.2,-3276.8,10,0.47,1.30,3.988,64,1689.000,65535.000,255,0.031780,0.004100,0,65535,0,65535,1,2,-1.20,-0.53,-1.01,0.09,-0.10,0.78,25.2,528,255,-128,-128,6553.5,412,417,495
01/10/2019 13:04:42.425,52,7.5,-3276.8,-5,0.17,0.21,3.985,64,1564.000,65535.000,255,0.031780,0.003020,0,65535,0,65535,1,3,-0.98,-0.95,-0.04,0.08,0.02,0.16,25.2,528,255,-128,-128,6553.5,411,414,492
01/10/2019 13:04:43.425,51,7.5,-3276.8,-3,0.11,0.19,3.955,59,1376.000,65535.000,255,0.011200,0.002960,0,65535,0,65535,1,4,-1.00,-0.93,-0.08,0.06,-0.04,0.21,25.2,528,255,-128,-128,6553.5,412,415,494
01/10/2019 13:04:44.425,50,7.8,-3276.8,-3,0.16,0.33,3.924,54,1202.000,65535.000,255,0.011200,0.001640,0,65535,0,65535,1,5,-1.08,-0.89,-0.24,0.02,-0.19,0.42,25.2,528,255,-128,-128,6553.5,412,415,493
01/10/2019 13:04:45.425,50,7.8,-3276.8,-2,0.05,0.13,3.907,51,1043.000,65535.000,255,0.004400,0.001120,0,65535,0,65535,1,6,-1.00,-0.91,-0.07,0.07,-0.12,0.16,25.2,528,255,-128,-128,6553.5,415,416,497
01/10/2019 13:04:46.425,50,8.1,-3276.8,-3,0.05,0.13,3.905,50,913.000,65535.000,255,0.004400,0.000800,0,65535,0,65535,1,7,-1.00,-0.83,-0.04,0.10,-0.03,0.15,25.2,528,255,-128,-128,6553.5,411,415,493
01/10/2019 13:04:47.425,50,8.1,-3276.8,-3,0.04,0.10,3.909,51,786.000,65535.000,255,0.001920,0.000460,0,65535,0,65535,1,8,-1.00,-0.95,-0.01,0.08,0.00,0.16,25.2,528,255,-128,-128,6553.5,412,414,493
01/10/2019 13:04:48.425,45,8.3,-3276.8,-2,0.04,0.15,3.927,54,683.000,65535.000,255,0.001920,0.000520,0,65535,0,65535,1,9,-1.19,-0.89,-0.09,0.09,-0.09,0.13,25.2,528,255,-128,-128,6553.5,414,416,502
01/10/2019 13:04:49.425,39,8.3,-3276.8,-1,0.12,0.54,3.947,57,587.000,65535.000,255,0.001920,0.002820,0,65535,0,65535,1,10,-1.25,-0.60,-0.34,0.21,-0.54,0.14,25.2,528,255,-128,-128,6553.5,412,416,493
01/10/2019 13:04:50.425,37,8.6,-3276.8,1,0.19,0.43,3.965,60,532.000,65535.000,255,0.001920,0.002180,0,65535,0,65535,3,0,-1.31,-0.61,-0.18,0.13,-0.34,0.24,25.2,528,255,-128,-128,6553.5,413,416,494
01/10/2019 13:04:51.425,36,8.6,-3276.8,1,0.09,0.21,3.975,62,468.000,65535.000,255,0.001920,0.001660,0,65535,0,65535,3,1,-1.16,-0.86,-0.02,0.19,-0.13,0.18,25.2,528,255,-128,-128,6553.5,411,414,493
01/10/2019 13:04:52.425,27,8.9,-3276.8,2,0.03,0.14,3.982,63,411.000,65535.000,255,0.001920,0.001080,0,65535,0,65535,3,2,-1.00,-0.96,-0.04,0.10,-0.08,0.12,25.2,528,255,-128,-128,6553.5,411,414,493
01/10/2019 13:04:53.425,23,8.9,-3276.8,-1,0.05,0.14,3.974,62,356.000,65535.000,255,0.001920,0.001160,0,65535,0,65535,3,3,-1.01,-0.95,-0.06,0.07,-0.12,0.13,25.2,528,255,-128,-128,6553.5,415,418,496
