Time,BreathingWaveform
15/11/2019 11:59:29.450,6906360
15/11/2019 11:59:29.490,6904973
15/11/2019 11:59:29.530,6904973
15/11/2019 11:59:29.570,6898553
15/11/2019 11:59:29.610,6898553
15/11/2019 11:59:29.650,6902816
15/11/2019 11:59:29.690,6903843
15/11/2019 11:59:29.730,6918481
15/11/2019 11:59:29.770,6914783
15/11/2019 11:59:29.810,6920740
15/11/2019 11:59:29.850,6926595
15/11/2019 11:59:29.890,6935891
15/11/2019 11:59:29.930,6943801
15/11/2019 11:59:29.970,6969840
15/11/2019 11:59:30.010,7004560
15/11/2019 11:59:30.050,7004714
15/11/2019 11:59:30.090,7009747
15/11/2019 11:59:30.130,7007179
15/11/2019 11:59:30.170,6994288
15/11/2019 11:59:30.210,6985557
15/11/2019 11:59:30.250,6990796
15/11/2019 11:59:30.290,6990796
15/11/2019 11:59:30.330,6988381
15/11/2019 11:59:30.370,6988638
15/11/2019 11:59:30.410,6972922
15/11/2019 11:59:30.450,6974206
15/11/2019 11:59:30.490,6949810
15/11/2019 11:59:30.530,6955665
15/11/2019 11:59:30.570,6960955
15/11/2019 11:59:30.610,6948783
15/11/2019 11:59:30.650,6963164
15/11/2019 11:59:30.690,6986327
15/11/2019 11:59:30.730,6992233
15/11/2019 11:59:30.770,6976979
15/11/2019 11:59:30.810,6938357
15/11/2019 11:59:30.850,6936765
15/11/2019 11:59:30.890,6953765
15/11/2019 11:59:30.930,6948886
15/11/2019 11:59:30.970,6934813
15/11/2019 11:59:31.010,6932656
15/11/2019 11:59:31.050,6943955
15/11/2019 11:59:31.090,6994031
15/11/2019 11:59:31.130,7022176
15/11/2019 11:59:31.170,7032243
15/11/2019 11:59:31.210,7023409
15/11/2019 11:59:31.250,7018941
15/11/2019 11:59:31.290,7009234
15/11/2019 11:59:31.330,6981499
15/11/2019 11:59:31.370,6942157
15/11/2019 11:59:31.410,6941746
15/11/2019 11:59:31.450,6943339
15/11/2019 11:59:31.490,6937278
15/11/2019 11:59:31.530,6928547
15/11/2019 11:59:31.570,6888127
15/11/2019 11:59:31.610,6859571
15/11/2019 11:59:31.650,6848528
15/11/2019 11:59:31.690,6847244
15/11/2019 11:59:31.730,6832761
15/11/2019 11:59:31.770,6769023
15/11/2019 11:59:31.810,6682790
15/11/2019 11:59:31.850,6601025
15/11/2019 11:59:31.890,6572366
15/11/2019 11:59:31.930,6572828
15/11/2019 11:59:31.970,6584589
15/11/2019 11:59:32.010,6595991
15/11/2019 11:59:32.050,6604517
15/11/2019 11:59:32.090,6607958
15/11/2019 11:59:32.130,6608575
15/11/2019 11:59:32.170,6612375
15/11/2019 11:59:32.210,6631481
15/11/2019 11:59:32.250,6647608
15/11/2019 11:59:32.290,6643910
15/11/2019 11:59:32.330,6642883
15/11/2019 11:59:32.370,6646478
15/11/2019 11:59:32.410,6647916
15/11/2019 11:59:32.450,6664762
15/11/2019 11:59:32.490,6700098
15/11/2019 11:59:32.530,6721567
15/11/2019 11:59:32.570,6738258
15/11/2019 11:59:32.610,6752177
15/11/2019 11:59:32.650,6764503
15/11/2019 11:59:32.690,6762860
15/11/2019 11:59:32.730,6766815
15/11/2019 11:59:32.770,6771642
15/11/2019 11:59:32.810,6771283
15/11/2019 11:59:32.850,6775495
15/11/2019 11:59:32.890,6775392
15/11/2019 11:59:32.930,6775443
15/11/2019 11:59:32.970,6777086
15/11/2019 11:59:33.010,6773286
15/11/2019 11:59:33.050,6772156
15/11/2019 11:59:33.090,6774518
15/11/2019 11:59:33.130,6776265
15/11/2019 11:59:33.170,6776470
15/11/2019 11:59:33.210,6778371
15/11/2019 11:59:33.250,6775546
15/11/2019 11:59:33.290,6777189
15/11/2019 11:59:33.330,6775597
15/11/2019 11:59:33.370,6774108
15/11/2019 11:59:33.410,6775238
15/11/2019 11:59:33.450,6774467
15/11/2019 11:59:33.490,6767585
15/11/2019 11:59:33.530,6767585
15/11/2019 11:59:33.570,6767174
15/11/2019 11:59:33.610,6766147
15/11/2019 11:59:33.650,6763168
15/11/2019 11:59:33.690,6758032
15/11/2019 11:59:33.730,6760857
15/11/2019 11:59:33.770,6761730
15/11/2019 11:59:33.810,6762038
15/11/2019 11:59:33.850,6760241
15/11/2019 11:59:33.890,6759573
15/11/2019 11:59:33.930,6757005
15/11/2019 11:59:33.970,6761781
15/11/2019 11:59:34.010,6762449
15/11/2019 11:59:34.050,6763630
15/11/2019 11:59:34.090,6760035
15/11/2019 11:59:34.130,6757467
15/11/2019 11:59:34.170,6756543
15/11/2019 11:59:34.210,6755464
15/11/2019 11:59:34.250,6749609
15/11/2019 11:59:34.290,6751561
15/11/2019 11:59:34.330,6749095
15/11/2019 11:59:34.370,6748325
15/11/2019 11:59:34.410,6748633
15/11/2019 11:59:34.450,6747195
15/11/2019 11:59:34.490,6748376
15/11/2019 11:59:34.530,6746836
15/11/2019 11:59:34.570,6743960
15/11/2019 11:59:34.610,6745295
15/11/2019 11:59:34.650,6747092
15/11/2019 11:59:34.690,6746836
15/11/2019 11:59:34.730,6748582
15/11/2019 11:59:34.770,6752074
15/11/2019 11:59:34.810,6750842
15/11/2019 11:59:34.850,6755207
15/11/2019 11:59:34.890,6754848
