SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,11,15,43169450,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,11,15,43173330,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43173779,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,11,15,43173854,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43174149,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43174266,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43174613,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43175054,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43175106,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43176080,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43176779,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,11,15,43176848,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43177789,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,11,15,43178015,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43178039,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43178590,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43179750,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43180218,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43180269,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43181691,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43181693,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43181851,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43181860,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,43182247,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,43185530,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,11,15,43195529,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,44150750,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44155759,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44160489,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44165380,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44211869,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44219740,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44227749,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44233489,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44238490,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44255239,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44260239,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44265110,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44269999,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44282869,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,44295739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,44490359,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,45196729,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,45200799,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,45201469,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
