Time,BreathingWaveform
22/10/2019 12:55:19.446,6363531
22/10/2019 12:55:19.486,6387415
22/10/2019 12:55:19.526,6387415
22/10/2019 12:55:19.566,6388008
22/10/2019 12:55:19.606,6388008
22/10/2019 12:55:19.646,6391243
22/10/2019 12:55:19.686,6386445
22/10/2019 12:55:19.726,6386336
22/10/2019 12:55:19.766,6388601
22/10/2019 12:55:19.806,6400301
22/10/2019 12:55:19.846,6407363
22/10/2019 12:55:19.886,6409574
22/10/2019 12:55:19.926,6406824
22/10/2019 12:55:19.966,6404020
22/10/2019 12:55:20.006,6404129
22/10/2019 12:55:20.046,6402511
22/10/2019 12:55:20.086,6402781
22/10/2019 12:55:20.126,6403589
22/10/2019 12:55:20.166,6406662
22/10/2019 12:55:20.206,6410167
22/10/2019 12:55:20.246,6410976
22/10/2019 12:55:20.286,6411676
22/10/2019 12:55:20.326,6412054
22/10/2019 12:55:20.366,6411622
22/10/2019 12:55:20.406,6411299
22/10/2019 12:55:20.446,6412431
22/10/2019 12:55:20.486,6412863
22/10/2019 12:55:20.526,6412161
22/10/2019 12:55:20.566,6411083
22/10/2019 12:55:20.606,6410544
22/10/2019 12:55:20.646,6411030
22/10/2019 12:55:20.686,6411299
22/10/2019 12:55:20.726,6411622
22/10/2019 12:55:20.766,6412054
22/10/2019 12:55:20.806,6412269
22/10/2019 12:55:20.846,6411137
22/10/2019 12:55:20.886,6411515
22/10/2019 12:55:20.926,6411784
22/10/2019 12:55:20.966,6412161
22/10/2019 12:55:21.006,6412269
22/10/2019 12:55:21.046,6412269
22/10/2019 12:55:21.086,6411676
22/10/2019 12:55:21.126,6413024
22/10/2019 12:55:21.166,6411784
22/10/2019 12:55:21.206,6410868
22/10/2019 12:55:21.246,6411622
22/10/2019 12:55:21.286,6410598
22/10/2019 12:55:21.326,6409951
22/10/2019 12:55:21.366,6410814
22/10/2019 12:55:21.406,6411030
22/10/2019 12:55:21.446,6410976
22/10/2019 12:55:21.486,6411569
22/10/2019 12:55:21.526,6410976
22/10/2019 12:55:21.566,6411353
22/10/2019 12:55:21.606,6411245
22/10/2019 12:55:21.646,6411245
22/10/2019 12:55:21.686,6410706
22/10/2019 12:55:21.726,6411030
22/10/2019 12:55:21.766,6410760
22/10/2019 12:55:21.806,6410814
22/10/2019 12:55:21.846,6410868
22/10/2019 12:55:21.886,6411191
22/10/2019 12:55:21.926,6411353
22/10/2019 12:55:21.966,6411245
22/10/2019 12:55:22.006,6412108
22/10/2019 12:55:22.046,6412000
22/10/2019 12:55:22.086,6411461
22/10/2019 12:55:22.126,6410652
22/10/2019 12:55:22.166,6410167
22/10/2019 12:55:22.206,6409520
22/10/2019 12:55:22.246,6410167
22/10/2019 12:55:22.286,6412324
22/10/2019 12:55:22.326,6412593
22/10/2019 12:55:22.366,6413186
22/10/2019 12:55:22.406,6413132
22/10/2019 12:55:22.446,6413509
22/10/2019 12:55:22.486,6413779
22/10/2019 12:55:22.526,6413671
22/10/2019 12:55:22.566,6412647
22/10/2019 12:55:22.606,6414372
22/10/2019 12:55:22.646,6417499
22/10/2019 12:55:22.686,6414911
22/10/2019 12:55:22.726,6406447
22/10/2019 12:55:22.766,6401541
22/10/2019 12:55:22.806,6405854
22/10/2019 12:55:22.846,6408657
22/10/2019 12:55:22.886,6409412
22/10/2019 12:55:22.926,6408280
22/10/2019 12:55:22.966,6405962
22/10/2019 12:55:23.006,6407794
22/10/2019 12:55:23.046,6409196
22/10/2019 12:55:23.086,6407848
22/10/2019 12:55:23.126,6407363
22/10/2019 12:55:23.166,6409682
22/10/2019 12:55:23.206,6408118
22/10/2019 12:55:23.246,6407417
22/10/2019 12:55:23.286,6406447
22/10/2019 12:55:23.326,6404883
22/10/2019 12:55:23.366,6403966
22/10/2019 12:55:23.406,6405530
22/10/2019 12:55:23.446,6407094
22/10/2019 12:55:23.486,6406015
22/10/2019 12:55:23.526,6404991
22/10/2019 12:55:23.566,6402565
22/10/2019 12:55:23.606,6398791
22/10/2019 12:55:23.646,6396041
22/10/2019 12:55:23.686,6391027
22/10/2019 12:55:23.726,6382131
22/10/2019 12:55:23.766,6366011
22/10/2019 12:55:23.806,6334848
22/10/2019 12:55:23.846,6282174
22/10/2019 12:55:23.886,6258775
22/10/2019 12:55:23.926,6238504
22/10/2019 12:55:23.966,6162592
22/10/2019 12:55:24.006,6155314
22/10/2019 12:55:24.046,6179953
22/10/2019 12:55:24.086,6204106
22/10/2019 12:55:24.126,6195210
22/10/2019 12:55:24.166,6169871
22/10/2019 12:55:24.206,6132184
22/10/2019 12:55:24.246,6107006
22/10/2019 12:55:24.286,6098973
22/10/2019 12:55:24.326,6092773
22/10/2019 12:55:24.366,6094067
22/10/2019 12:55:24.406,6100591
22/10/2019 12:55:24.446,6108947
22/10/2019 12:55:24.486,6110511
22/10/2019 12:55:24.526,6114986
22/10/2019 12:55:24.566,6112775
22/10/2019 12:55:24.606,6123127
22/10/2019 12:55:24.646,6124097
22/10/2019 12:55:24.686,6123504
22/10/2019 12:55:24.726,6129758
22/10/2019 12:55:24.766,6134880
22/10/2019 12:55:24.806,6141997
22/10/2019 12:55:24.846,6146040
22/10/2019 12:55:24.886,6152887
22/10/2019 12:55:24.926,6185452
22/10/2019 12:55:24.966,6222006
22/10/2019 12:55:25.006,6241469
22/10/2019 12:55:25.046,6251227
22/10/2019 12:55:25.086,6254193
22/10/2019 12:55:25.126,6261795
22/10/2019 12:55:25.166,6260447
22/10/2019 12:55:25.206,6257427
22/10/2019 12:55:25.246,6241145
22/10/2019 12:55:25.286,6212840
22/10/2019 12:55:25.326,6172189
22/10/2019 12:55:25.366,6137414
22/10/2019 12:55:25.406,6131969
22/10/2019 12:55:25.446,6157308
22/10/2019 12:55:25.486,6203190
22/10/2019 12:55:25.526,6221197
22/10/2019 12:55:25.566,6262441
22/10/2019 12:55:25.606,6302985
22/10/2019 12:55:25.646,6322340
22/10/2019 12:55:25.686,6311881
22/10/2019 12:55:25.726,6301637
22/10/2019 12:55:25.766,6277106
22/10/2019 12:55:25.806,6238450
22/10/2019 12:55:25.846,6253923
22/10/2019 12:55:25.886,6262010
22/10/2019 12:55:25.926,6265568
22/10/2019 12:55:25.966,6282983
22/10/2019 12:55:26.006,6341372
22/10/2019 12:55:26.046,6392267
22/10/2019 12:55:26.086,6420141
22/10/2019 12:55:26.126,6433350
22/10/2019 12:55:26.166,6430169
22/10/2019 12:55:26.206,6424400
22/10/2019 12:55:26.246,6412647
22/10/2019 12:55:26.286,6415127
22/10/2019 12:55:26.326,6419009
22/10/2019 12:55:26.366,6428336
22/10/2019 12:55:26.406,6438364
22/10/2019 12:55:26.446,6462140
22/10/2019 12:55:26.486,6498263
22/10/2019 12:55:26.526,6521338
22/10/2019 12:55:26.566,6534709
22/10/2019 12:55:26.606,6544683
22/10/2019 12:55:26.646,6545492
22/10/2019 12:55:26.686,6544521
22/10/2019 12:55:26.726,6540424
22/10/2019 12:55:26.766,6534439
22/10/2019 12:55:26.806,6525328
22/10/2019 12:55:26.846,6513467
22/10/2019 12:55:26.886,6506889
22/10/2019 12:55:26.926,6503169
22/10/2019 12:55:26.966,6502576
22/10/2019 12:55:27.006,6502684
22/10/2019 12:55:27.046,6505703
22/10/2019 12:55:27.086,6509369
22/10/2019 12:55:27.126,6513628
22/10/2019 12:55:27.166,6517025
22/10/2019 12:55:27.206,6518211
22/10/2019 12:55:27.246,6519559
22/10/2019 12:55:27.286,6520529
22/10/2019 12:55:27.326,6522255
22/10/2019 12:55:27.366,6527970
22/10/2019 12:55:27.406,6538321
22/10/2019 12:55:27.446,6550937
22/10/2019 12:55:27.486,6563661
22/10/2019 12:55:27.526,6578110
22/10/2019 12:55:27.566,6593044
22/10/2019 12:55:27.606,6606307
22/10/2019 12:55:27.646,6618815
22/10/2019 12:55:27.686,6627334
22/10/2019 12:55:27.726,6632456
22/10/2019 12:55:27.766,6634774
22/10/2019 12:55:27.806,6634235
22/10/2019 12:55:27.846,6633534
22/10/2019 12:55:27.886,6632132
22/10/2019 12:55:27.926,6630569
22/10/2019 12:55:27.966,6629652
22/10/2019 12:55:28.006,6627496
22/10/2019 12:55:28.046,6626256
22/10/2019 12:55:28.086,6624584
22/10/2019 12:55:28.126,6624261
22/10/2019 12:55:28.166,6623937
22/10/2019 12:55:28.206,6622535
22/10/2019 12:55:28.246,6622643
22/10/2019 12:55:28.286,6622266
22/10/2019 12:55:28.326,6621943
22/10/2019 12:55:28.366,6622266
22/10/2019 12:55:28.406,6621080
22/10/2019 12:55:28.446,6621403
22/10/2019 12:55:28.486,6620271
22/10/2019 12:55:28.526,6618761
22/10/2019 12:55:28.566,6620001
