SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,22,46519696,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,22,46528071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,22,46533072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,22,46545072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,22,47260759,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,22,47289389,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,22,47343759,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,22,47348759,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,22,47373250,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,22,47384129,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,22,47389129,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,22,47674749,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47679739,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47698379,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47712239,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47722109,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47747739,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47756730,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47761490,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47808999,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47813999,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47818869,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47825750,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47841490,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47856360,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47865350,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47875239,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47879999,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,10,22,47896869,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,10,22,47901740,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,22,48625716,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,22,48626719,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,10,22,48626719,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
