Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
29/08/2019 10:01:50.435,65,6553.5,-3276.8,18,0.53,1.09,3.946,57,0.000,65535.000,0,0.010900,0.000680,0,65535,0,65535,0,0,-1.13,-0.55,-1.02,0.20,-0.44,-0.01,31.9,699,255,-128,-128,6553.5,414,422,509
29/08/2019 10:01:51.435,65,6553.5,-3276.8,7,0.33,0.48,3.925,54,0.000,65535.000,0,0.010900,0.002240,0,65535,0,65535,0,0,-1.22,-0.65,-0.19,0.38,-0.26,0.27,31.9,699,255,-128,-128,6553.5,416,422,509
29/08/2019 10:01:52.435,65,6553.5,-3276.8,12,0.32,0.59,3.908,51,0.000,65535.000,0,0.016480,0.001020,0,65535,0,65535,0,0,-1.51,-0.63,-0.04,0.59,-0.40,0.07,31.9,699,255,-128,-128,6553.5,415,422,509
29/08/2019 10:01:53.435,65,6553.5,-3276.8,15,0.17,0.32,3.897,49,0.000,65535.000,0,0.016480,0.007760,0,65535,0,65535,0,0,-1.09,-0.62,0.16,0.46,-0.28,0.02,31.9,699,254,0,12,6553.5,416,422,508
29/08/2019 10:01:54.435,65,6553.5,-3276.8,17,0.21,0.40,3.887,47,0.000,65535.000,0,0.016480,0.003820,0,65535,0,65535,0,0,-1.04,-0.71,0.18,0.56,-0.02,0.21,31.9,699,254,-2,12,6553.5,416,422,508
29/08/2019 10:01:55.435,65,6553.5,-3276.8,-12,0.20,0.39,3.877,46,0.000,65535.000,0,0.016480,0.001640,0,65535,0,65535,0,0,-1.18,-0.78,-0.32,0.30,0.07,0.36,31.9,699,254,0,12,6553.5,407,411,493
29/08/2019 10:01:56.435,65,6553.5,-3276.8,-13,0.10,0.37,3.877,46,0.000,65535.000,0,0.003980,0.000880,0,65535,0,65535,0,0,-1.30,-0.66,-0.33,0.51,-0.10,0.25,31.9,699,254,0,12,6553.5,415,422,509
29/08/2019 10:01:57.435,65,6553.5,-3276.8,-14,0.05,0.22,3.871,45,0.000,65535.000,0,0.003980,0.000380,0,65535,0,65535,0,0,-1.27,-0.87,0.18,0.34,0.00,0.31,31.9,699,254,0,12,6553.5,416,414,506
29/08/2019 10:01:58.435,65,6553.5,-3276.8,-12,0.07,0.44,3.867,44,0.000,65535.000,0,0.000000,0.000160,0,65535,0,65535,0,0,-1.12,-0.91,0.09,0.77,-0.22,0.18,31.9,688,254,0,12,6553.5,415,422,509
29/08/2019 10:01:59.435,65,10.0,-3276.8,-10,0.09,0.31,3.867,44,0.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,3,0,-1.33,-0.73,0.00,0.26,-0.14,0.21,31.9,688,254,0,12,6553.5,416,422,509
29/08/2019 10:02:00.435,0,10.0,-3276.8,-11,0.06,0.25,3.867,44,0.000,65535.000,0,0.000800,0.000020,0,65535,0,65535,3,1,-1.12,-0.85,-0.07,0.25,0.02,0.18,31.9,688,254,0,12,6553.5,416,422,510
29/08/2019 10:02:01.435,0,10.0,-3276.8,-11,0.07,0.18,3.867,44,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,2,-1.06,-0.83,0.03,0.33,-0.02,0.34,31.9,688,254,0,12,6553.5,415,422,509
29/08/2019 10:02:02.435,0,10.0,-3276.8,-11,0.06,0.24,3.867,44,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,3,-1.19,-0.87,-0.06,0.34,-0.27,0.18,31.9,688,254,0,12,6553.5,406,411,503
29/08/2019 10:02:03.435,0,10.0,-3276.8,-10,0.07,0.21,3.867,44,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,4,-1.08,-0.92,-0.06,0.37,-0.12,0.18,31.9,688,254,0,12,6553.5,415,422,509
29/08/2019 10:02:04.435,0,10.0,-3276.8,-8,0.10,0.45,3.867,44,0.000,65535.000,0,0.000800,0.000260,0,65535,0,65535,3,5,-1.24,-0.73,-0.50,0.32,-0.27,0.22,31.9,688,254,0,12,6553.5,414,421,508
29/08/2019 10:02:05.435,62,10.0,-3276.8,-8,0.09,0.91,3.867,44,0.000,65535.000,0,0.000800,0.000320,0,65535,0,65535,3,6,-1.67,-0.87,-0.01,1.46,-0.21,0.42,31.9,688,254,0,12,6553.5,415,420,509
29/08/2019 10:02:06.435,64,10.0,-3276.8,-10,0.07,0.37,3.867,44,40644.000,65535.000,0,0.002600,0.000440,0,65535,0,65535,1,0,-1.36,-0.49,0.09,0.42,-0.09,0.27,31.9,688,254,0,12,6553.5,418,423,509
29/08/2019 10:02:07.435,64,10.0,-3276.8,-10,0.11,0.51,3.866,44,33055.000,65535.000,0,0.002600,0.000500,0,65535,0,65535,1,1,-1.16,-0.79,-0.60,0.34,0.00,0.16,31.9,688,254,-1,12,6553.5,415,422,508
29/08/2019 10:02:08.435,60,10.0,-3276.8,-11,0.07,0.27,3.865,44,26569.000,65535.000,11,0.002160,0.000600,0,65535,0,65535,1,2,-1.06,-0.85,0.14,0.34,-0.31,0.21,31.9,688,254,0,12,6553.5,416,423,520
29/08/2019 10:02:09.435,54,10.0,-3276.8,-11,0.05,0.14,3.865,44,21664.000,65535.000,11,0.002160,0.000440,0,65535,0,65535,1,3,-1.07,-0.84,0.15,0.26,-0.07,0.18,31.9,688,254,0,12,6553.5,415,422,508
