Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
29/08/2019 14:22:49.435,65,6553.5,-3276.8,-26,0.55,0.75,3.936,56,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-1.19,-0.84,-0.01,0.39,-0.14,0.37,26.3,699,254,0,12,6553.5,421,426,509
29/08/2019 14:22:50.435,65,6553.5,-3276.8,-14,0.34,0.51,3.913,52,0.000,65535.000,0,0.000000,0.002400,0,65535,0,65535,0,0,-1.30,-0.85,-0.02,0.34,-0.20,0.12,26.3,699,254,0,12,6553.5,412,421,508
29/08/2019 14:22:51.435,65,6553.5,-3276.8,-7,0.19,0.43,3.894,49,0.000,65535.000,0,0.010424,0.001100,0,65535,0,65535,0,0,-1.08,-0.93,-0.30,0.14,-0.25,0.09,26.3,688,254,0,12,6553.5,422,426,510
29/08/2019 14:22:52.435,65,10.0,-3276.8,-6,0.09,0.21,3.884,47,0.000,65535.000,0,0.010424,0.000460,0,65535,0,65535,3,0,-1.14,-0.90,0.00,0.22,-0.18,0.10,26.3,688,254,0,12,6553.5,416,422,509
29/08/2019 14:22:53.435,65,10.0,-3276.8,-8,0.06,0.08,3.874,45,0.000,65535.000,0,0.000000,0.000220,0,65535,0,65535,3,1,-1.03,-0.97,0.15,0.20,-0.01,0.08,26.3,688,254,0,12,6553.5,417,423,509
29/08/2019 14:22:54.435,65,10.0,-3276.8,-10,0.03,0.07,3.864,44,0.000,65535.000,0,0.000000,0.000080,0,65535,0,65535,3,2,-1.08,-0.95,0.16,0.21,-0.02,0.08,26.3,688,254,0,12,6553.5,409,402,503
29/08/2019 14:22:55.435,65,10.0,-3276.8,-10,0.03,0.09,3.861,43,0.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,3,3,-1.08,-0.89,0.09,0.22,-0.03,0.10,26.3,688,254,0,12,6553.5,417,423,508
29/08/2019 14:22:56.435,65,10.0,-3276.8,-10,0.04,0.14,3.855,42,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,4,-1.13,-0.84,0.01,0.33,-0.04,0.09,26.3,688,254,0,12,6553.5,414,423,509
29/08/2019 14:22:57.435,65,10.0,-3276.8,-10,0.05,0.10,3.851,41,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,0,-1.09,-0.87,0.10,0.28,-0.06,0.14,26.3,688,254,-12,12,6553.5,414,422,509
29/08/2019 14:22:58.435,65,10.0,-3276.8,-12,0.06,0.15,3.851,41,0.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,1,1,-1.07,-0.86,0.13,0.34,-0.02,0.09,26.3,688,254,-5,12,6553.5,416,423,509
29/08/2019 14:22:59.435,0,10.0,-3276.8,-15,0.07,0.15,3.851,41,3950.000,65535.000,0,0.000800,0.000280,0,65535,0,65535,1,2,-1.00,-0.81,0.21,0.38,-0.10,0.08,26.3,688,254,0,12,6553.5,416,423,509
29/08/2019 14:23:00.435,62,10.0,-3276.8,-13,0.06,0.15,3.851,41,4144.000,65535.000,0,0.000800,0.000280,0,65535,0,65535,1,3,-1.09,-0.90,0.06,0.31,-0.03,0.07,26.3,688,254,0,12,6553.5,423,425,509
29/08/2019 14:23:01.435,72,10.0,-3276.8,8,0.14,0.22,3.851,41,4097.000,65535.000,11,0.003740,0.000220,0,65535,0,65535,1,4,-1.14,-0.95,-0.04,0.20,-0.14,0.15,26.3,688,254,0,12,6553.5,415,422,509
29/08/2019 14:23:02.435,68,10.0,-3276.8,5,0.18,0.36,3.851,41,3939.000,65535.000,11,0.003740,0.000180,0,65535,0,65535,1,5,-1.09,-0.90,-0.16,0.20,-0.33,0.12,26.3,688,254,-6,12,6553.5,415,422,509
29/08/2019 14:23:03.435,66,10.0,-3276.8,10,0.25,0.31,3.851,41,3567.000,65535.000,11,0.003520,0.000160,5,65535,0,65535,1,6,-1.01,-0.87,-0.18,-0.06,-0.45,-0.24,26.3,688,254,0,12,6553.5,416,423,509
