SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,08,28,51343428,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,08,28,51348256,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,28,51349053,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,08,28,51354055,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,28,51369055,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51370055,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51373054,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51374053,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51375055,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51415920,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,28,51416409,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,28,51416409,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51418060,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,28,51418539,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,08,28,51423399,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,28,51437910,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51471590,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,28,51472029,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,28,51472029,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51481631,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,28,51482029,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,08,28,51484270,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,28,51484909,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,08,28,51499220,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,28,51501779,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,08,28,51506770,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,08,28,51520399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51521399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51523399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51523400,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51524399,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,28,51524399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,51566394,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,28,51568394,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,28,53595950,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,28,53596350,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,28,53596350,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
