Time,BreathingWaveform
02/09/2019 07:59:02.442,0
02/09/2019 07:59:02.482,0
02/09/2019 07:59:02.522,0
02/09/2019 07:59:02.562,0
02/09/2019 07:59:02.602,0
02/09/2019 07:59:02.642,0
02/09/2019 07:59:02.682,0
02/09/2019 07:59:02.722,0
02/09/2019 07:59:02.762,0
02/09/2019 07:59:02.802,0
02/09/2019 07:59:02.842,0
02/09/2019 07:59:02.882,0
02/09/2019 07:59:02.922,0
02/09/2019 07:59:02.962,0
02/09/2019 07:59:03.002,0
02/09/2019 07:59:03.042,0
02/09/2019 07:59:03.082,0
02/09/2019 07:59:03.122,0
02/09/2019 07:59:03.162,0
02/09/2019 07:59:03.202,0
02/09/2019 07:59:03.242,0
02/09/2019 07:59:03.282,0
02/09/2019 07:59:03.322,0
02/09/2019 07:59:03.362,0
02/09/2019 07:59:03.402,0
02/09/2019 07:59:03.442,5390339
02/09/2019 07:59:03.482,5412658
02/09/2019 07:59:03.522,5411312
02/09/2019 07:59:03.562,5403175
02/09/2019 07:59:03.602,5394682
02/09/2019 07:59:03.642,5388910
02/09/2019 07:59:03.682,5387316
02/09/2019 07:59:03.722,5389844
02/09/2019 07:59:03.762,5393899
02/09/2019 07:59:03.802,5400578
02/09/2019 07:59:03.842,5412906
02/09/2019 07:59:03.882,5424285
02/09/2019 07:59:03.922,5441368
02/09/2019 07:59:03.962,5462024
02/09/2019 07:59:04.002,5479053
02/09/2019 07:59:04.042,5486790
02/09/2019 07:59:04.082,5487450
02/09/2019 07:59:04.122,5488892
02/09/2019 07:59:04.162,5495242
02/09/2019 07:59:04.202,5510731
02/09/2019 07:59:04.242,5535578
02/09/2019 07:59:04.282,5561457
02/09/2019 07:59:04.322,5576918
02/09/2019 07:59:04.362,5584794
02/09/2019 07:59:04.402,5591789
02/09/2019 07:59:04.442,5598124
02/09/2019 07:59:04.482,5601656
02/09/2019 07:59:04.522,5605243
02/09/2019 07:59:04.562,5609751
02/09/2019 07:59:04.602,5612981
02/09/2019 07:59:04.642,5615166
02/09/2019 07:59:04.682,5619427
02/09/2019 07:59:04.722,5621543
02/09/2019 07:59:04.762,5623646
02/09/2019 07:59:04.802,5625776
02/09/2019 07:59:04.842,5627370
02/09/2019 07:59:04.882,5629349
02/09/2019 07:59:04.922,5630943
02/09/2019 07:59:04.962,5631466
02/09/2019 07:59:05.002,5631809
02/09/2019 07:59:05.042,5632469
02/09/2019 07:59:05.082,5632318
02/09/2019 07:59:05.122,5632139
02/09/2019 07:59:05.162,5632414
02/09/2019 07:59:05.202,5632386
02/09/2019 07:59:05.242,5632015
02/09/2019 07:59:05.282,5630463
02/09/2019 07:59:05.322,5630723
02/09/2019 07:59:05.362,5630380
02/09/2019 07:59:05.402,5632194
02/09/2019 07:59:05.442,5630421
02/09/2019 07:59:05.482,5631864
02/09/2019 07:59:05.522,5632482
02/09/2019 07:59:05.562,5632950
02/09/2019 07:59:05.602,5633926
02/09/2019 07:59:05.642,5634366
02/09/2019 07:59:05.682,5633926
02/09/2019 07:59:05.722,5633665
02/09/2019 07:59:05.762,5633225
02/09/2019 07:59:05.802,5632881
02/09/2019 07:59:05.842,5632222
02/09/2019 07:59:05.882,5631672
02/09/2019 07:59:05.922,5630985
02/09/2019 07:59:05.962,5630902
02/09/2019 07:59:06.002,5629858
02/09/2019 07:59:06.042,5628291
02/09/2019 07:59:06.082,5626175
02/09/2019 07:59:06.122,5624663
02/09/2019 07:59:06.162,5624017
02/09/2019 07:59:06.202,5625858
02/09/2019 07:59:06.242,5626656
02/09/2019 07:59:06.282,5626408
02/09/2019 07:59:06.322,5626614
02/09/2019 07:59:06.362,5626408
02/09/2019 07:59:06.402,5626188
02/09/2019 07:59:06.442,5625789
02/09/2019 07:59:06.482,5625309
02/09/2019 07:59:06.522,5624429
02/09/2019 07:59:06.562,5623426
02/09/2019 07:59:06.602,5621900
02/09/2019 07:59:06.642,5621227
02/09/2019 07:59:06.682,5620608
02/09/2019 07:59:06.722,5620018
02/09/2019 07:59:06.762,5620636
02/09/2019 07:59:06.802,5620512
02/09/2019 07:59:06.842,5620746
02/09/2019 07:59:06.882,5620567
02/09/2019 07:59:06.922,5620182
02/09/2019 07:59:06.962,5619880
02/09/2019 07:59:07.002,5619179
02/09/2019 07:59:07.042,5618795
02/09/2019 07:59:07.082,5618355
02/09/2019 07:59:07.122,5617035
02/09/2019 07:59:07.162,5616417
02/09/2019 07:59:07.202,5615235
02/09/2019 07:59:07.242,5612857
02/09/2019 07:59:07.282,5608666
02/09/2019 07:59:07.322,5607717
02/09/2019 07:59:07.362,5608913
02/09/2019 07:59:07.402,5609036
02/09/2019 07:59:07.442,5603965
02/09/2019 07:59:07.482,5598234
02/09/2019 07:59:07.522,5595568
02/09/2019 07:59:07.562,5597822
02/09/2019 07:59:07.602,5605862
02/09/2019 07:59:07.642,5609971
02/09/2019 07:59:07.682,5608061
02/09/2019 07:59:07.722,5602096
02/09/2019 07:59:07.762,5598867
02/09/2019 07:59:07.802,5597822
02/09/2019 07:59:07.842,5596874
02/09/2019 07:59:07.882,5596517
02/09/2019 07:59:07.922,5596008
02/09/2019 07:59:07.962,5596090
02/09/2019 07:59:08.002,5593424
02/09/2019 07:59:08.042,5594290
02/09/2019 07:59:08.082,5594854
02/09/2019 07:59:08.122,5594785
02/09/2019 07:59:08.162,5595362
02/09/2019 07:59:08.202,5595142
02/09/2019 07:59:08.242,5594565
02/09/2019 07:59:08.282,5593534
02/09/2019 07:59:08.322,5593026
02/09/2019 07:59:08.362,5592751
02/09/2019 07:59:08.402,5593589
02/09/2019 07:59:08.442,5593301
02/09/2019 07:59:08.482,5592970
02/09/2019 07:59:08.522,5592215
02/09/2019 07:59:08.562,5592036
02/09/2019 07:59:08.602,5591981
02/09/2019 07:59:08.642,5592490
02/09/2019 07:59:08.682,5592710
02/09/2019 07:59:08.722,5593287
02/09/2019 07:59:08.762,5593782
02/09/2019 07:59:08.802,5593919
02/09/2019 07:59:08.842,5593658
02/09/2019 07:59:08.882,5593506
02/09/2019 07:59:08.922,5592970
02/09/2019 07:59:08.962,5592297
02/09/2019 07:59:09.002,5591871
02/09/2019 07:59:09.042,5591418
02/09/2019 07:59:09.082,5591775
02/09/2019 07:59:09.122,5591528
02/09/2019 07:59:09.162,5595568
02/09/2019 07:59:09.202,5603580
02/09/2019 07:59:09.242,5618272
02/09/2019 07:59:09.282,5625309
02/09/2019 07:59:09.322,5629019
02/09/2019 07:59:09.362,5640028
02/09/2019 07:59:09.402,5690892
02/09/2019 07:59:09.442,5734307
02/09/2019 07:59:09.482,5712125
02/09/2019 07:59:09.522,5680090
02/09/2019 07:59:09.562,5660917
02/09/2019 07:59:09.602,5646102
02/09/2019 07:59:09.642,5634187
02/09/2019 07:59:09.682,5624828
02/09/2019 07:59:09.722,5618382
02/09/2019 07:59:09.762,5614218
02/09/2019 07:59:09.802,5611277
02/09/2019 07:59:09.842,5609078
02/09/2019 07:59:09.882,5608610
02/09/2019 07:59:09.922,5606329
02/09/2019 07:59:09.962,5604075
02/09/2019 07:59:10.002,5602783
02/09/2019 07:59:10.042,5601547
02/09/2019 07:59:10.082,5597808
02/09/2019 07:59:10.122,5593204
02/09/2019 07:59:10.162,5592146
