SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,02,28742442,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,02,28743388,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28744067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,02,28749067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,02,28754067,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,02,28759109,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,02,28764110,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,02,28765550,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,28766239,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,02,28766239,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,02,28769481,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28769999,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,02,28772000,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,28772999,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,02,28778100,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28780999,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,02,28781101,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,28781860,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,02,28841631,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28842761,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,28844760,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28847161,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,28854861,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28855850,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,02,28856980,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,28857869,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,02,28871491,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,02,28875729,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,02,28892109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,02,30857851,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,02,30858569,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,02,30858569,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
