Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
02/09/2019 07:59:02.442,65,6553.5,-3276.8,18,0.22,0.42,4.162,93,0.000,65535.000,0,0.012540,0.004320,0,65535,0,65535,0,0,-1.28,-0.78,0.04,0.74,-0.14,0.15,32.0,688,255,-128,-128,6553.5,400,416,496
02/09/2019 07:59:03.442,65,10.0,-3276.8,13,0.15,0.25,4.162,93,0.000,65535.000,0,0.012540,0.001860,0,65535,0,65535,3,0,-1.09,-0.90,0.04,0.21,-0.06,0.09,32.0,688,255,-128,-128,6553.5,414,421,509
02/09/2019 07:59:04.442,65,10.0,-3276.8,10,0.07,0.19,4.161,93,0.000,65535.000,0,0.000000,0.000860,0,65535,0,65535,3,1,-1.15,-0.92,0.07,0.20,-0.04,0.20,32.0,688,255,-128,-128,6553.5,414,421,509
02/09/2019 07:59:05.442,65,10.0,-3276.8,-11,0.03,0.07,4.161,93,0.000,65535.000,0,0.000000,0.000360,0,65535,0,65535,3,2,-1.02,-0.96,0.14,0.25,0.00,0.10,32.0,688,255,-128,-128,6553.5,412,421,509
02/09/2019 07:59:06.442,65,10.0,-3276.8,-11,0.02,0.12,4.161,93,0.000,65535.000,0,0.000000,0.000160,0,65535,0,65535,3,3,-1.02,-0.95,0.15,0.38,-0.01,0.07,32.0,688,255,-128,-128,6553.5,414,420,509
02/09/2019 07:59:07.442,65,10.0,-3276.8,-10,0.02,0.07,4.161,93,0.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,3,4,-1.03,-0.86,0.10,0.20,-0.02,0.04,32.0,688,255,-128,-128,6553.5,414,422,509
02/09/2019 07:59:08.442,65,10.0,-3276.8,-11,0.01,0.04,4.161,93,0.000,65535.000,0,0.000000,0.000020,0,65535,0,65535,1,0,-1.03,-0.96,0.15,0.22,-0.01,0.06,32.0,688,255,-128,-128,6553.5,416,414,497
02/09/2019 07:59:09.442,65,10.0,-3276.8,-11,0.01,0.07,4.155,92,0.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,1,1,-1.06,-0.93,0.09,0.22,-0.06,0.08,32.0,688,255,-128,-128,6553.5,415,422,508
02/09/2019 07:59:10.442,65,10.0,-3276.8,-11,0.02,0.10,4.154,92,14215.000,65535.000,0,0.000000,0.000140,0,65535,0,65535,1,2,-1.04,-0.89,0.06,0.22,-0.10,0.03,32.0,688,255,-128,-128,6553.5,415,422,508
02/09/2019 07:59:11.442,65,10.0,-3276.8,-11,0.01,0.06,4.154,92,13931.000,65535.000,0,0.000000,0.000240,0,65535,0,65535,1,3,-1.02,-0.95,0.14,0.22,0.00,0.08,32.0,688,255,-128,-128,6553.5,414,419,506
