Time,BreathingWaveform
30/08/2019 11:55:15.439,6261363
30/08/2019 11:55:15.479,6260231
30/08/2019 11:55:15.519,6261633
30/08/2019 11:55:15.559,6261633
30/08/2019 11:55:15.599,6261633
30/08/2019 11:55:15.639,6261579
30/08/2019 11:55:15.679,6261147
30/08/2019 11:55:15.719,6261525
30/08/2019 11:55:15.759,6259530
30/08/2019 11:55:15.799,6259692
30/08/2019 11:55:15.839,6258290
30/08/2019 11:55:15.879,6257643
30/08/2019 11:55:15.919,6257859
30/08/2019 11:55:15.959,6257319
30/08/2019 11:55:15.999,6255271
30/08/2019 11:55:16.039,6254894
30/08/2019 11:55:16.079,6255001
30/08/2019 11:55:16.119,6255163
30/08/2019 11:55:16.159,6256026
30/08/2019 11:55:16.199,6256241
30/08/2019 11:55:16.239,6257212
30/08/2019 11:55:16.279,6256834
30/08/2019 11:55:16.319,6255972
30/08/2019 11:55:16.359,6252899
30/08/2019 11:55:16.399,6246645
30/08/2019 11:55:16.439,6241199
30/08/2019 11:55:16.479,6235970
30/08/2019 11:55:16.519,6232195
30/08/2019 11:55:16.559,6229877
30/08/2019 11:55:16.599,6229661
30/08/2019 11:55:16.639,6230740
30/08/2019 11:55:16.679,6231872
30/08/2019 11:55:16.719,6233220
30/08/2019 11:55:16.759,6225672
30/08/2019 11:55:16.799,6223947
30/08/2019 11:55:16.839,6227559
30/08/2019 11:55:16.879,6230524
30/08/2019 11:55:16.919,6229338
30/08/2019 11:55:16.959,6231333
30/08/2019 11:55:16.999,6231494
30/08/2019 11:55:17.039,6233328
30/08/2019 11:55:17.079,6234244
30/08/2019 11:55:17.119,6235376
30/08/2019 11:55:17.159,6233975
30/08/2019 11:55:17.199,6234406
30/08/2019 11:55:17.239,6229338
30/08/2019 11:55:17.279,6231387
30/08/2019 11:55:17.319,6232195
30/08/2019 11:55:17.359,6234028
30/08/2019 11:55:17.399,6235700
30/08/2019 11:55:17.439,6236293
30/08/2019 11:55:17.479,6243895
30/08/2019 11:55:17.519,6245782
30/08/2019 11:55:17.559,6244596
30/08/2019 11:55:17.599,6243356
30/08/2019 11:55:17.639,6250796
30/08/2019 11:55:17.679,6259476
30/08/2019 11:55:17.719,6259207
30/08/2019 11:55:17.759,6255756
30/08/2019 11:55:17.799,6256565
30/08/2019 11:55:17.839,6259530
30/08/2019 11:55:17.879,6264760
30/08/2019 11:55:17.919,6274842
30/08/2019 11:55:17.959,6281419
30/08/2019 11:55:17.999,6278885
30/08/2019 11:55:18.039,6283037
30/08/2019 11:55:18.079,6288428
30/08/2019 11:55:18.119,6300074
30/08/2019 11:55:18.159,6306921
30/08/2019 11:55:18.199,6308484
30/08/2019 11:55:18.239,6310102
30/08/2019 11:55:18.279,6313984
30/08/2019 11:55:18.319,6316895
30/08/2019 11:55:18.359,6318944
30/08/2019 11:55:18.399,6316356
30/08/2019 11:55:18.439,6315062
30/08/2019 11:55:18.479,6318027
30/08/2019 11:55:18.519,6318566
30/08/2019 11:55:18.559,6313337
30/08/2019 11:55:18.599,6309131
30/08/2019 11:55:18.639,6306004
30/08/2019 11:55:18.679,6304764
30/08/2019 11:55:18.719,6312096
30/08/2019 11:55:18.759,6323634
30/08/2019 11:55:18.799,6335118
30/08/2019 11:55:18.839,6347572
30/08/2019 11:55:18.879,6352964
30/08/2019 11:55:18.919,6352425
30/08/2019 11:55:18.959,6352910
30/08/2019 11:55:18.999,6351670
30/08/2019 11:55:19.039,6347087
30/08/2019 11:55:19.079,6337490
30/08/2019 11:55:19.119,6326707
30/08/2019 11:55:19.159,6320507
30/08/2019 11:55:19.199,6317919
30/08/2019 11:55:19.239,6319806
30/08/2019 11:55:19.279,6315547
30/08/2019 11:55:19.319,6308970
30/08/2019 11:55:19.359,6307352
30/08/2019 11:55:19.399,6305249
30/08/2019 11:55:19.439,6314091
30/08/2019 11:55:19.479,6322664
30/08/2019 11:55:19.519,6324443
30/08/2019 11:55:19.559,6328594
30/08/2019 11:55:19.599,6329134
30/08/2019 11:55:19.639,6328594
30/08/2019 11:55:19.679,6323203
30/08/2019 11:55:19.719,6321963
30/08/2019 11:55:19.759,6322933
30/08/2019 11:55:19.799,6323149
30/08/2019 11:55:19.839,6326061
30/08/2019 11:55:19.879,6329134
30/08/2019 11:55:19.919,6328001
30/08/2019 11:55:19.959,6331128
30/08/2019 11:55:19.999,6331398
30/08/2019 11:55:20.039,6326653
30/08/2019 11:55:20.079,6324443
30/08/2019 11:55:20.119,6323041
30/08/2019 11:55:20.159,6320939
30/08/2019 11:55:20.199,6320885
30/08/2019 11:55:20.239,6321747
30/08/2019 11:55:20.279,6320723
30/08/2019 11:55:20.319,6322340
30/08/2019 11:55:20.359,6323419
30/08/2019 11:55:20.399,6326492
30/08/2019 11:55:20.439,6326546
30/08/2019 11:55:20.479,6328486
30/08/2019 11:55:20.519,6330104
30/08/2019 11:55:20.559,6331398
30/08/2019 11:55:20.599,6333015
30/08/2019 11:55:20.639,6334417
30/08/2019 11:55:20.679,6334309
30/08/2019 11:55:20.719,6333177
30/08/2019 11:55:20.759,6332638
30/08/2019 11:55:20.799,6332045
30/08/2019 11:55:20.839,6331614
30/08/2019 11:55:20.879,6332638
30/08/2019 11:55:20.919,6334525
30/08/2019 11:55:20.959,6335657
30/08/2019 11:55:20.999,6338838
30/08/2019 11:55:21.039,6343690
30/08/2019 11:55:21.079,6345631
30/08/2019 11:55:21.119,6350537
30/08/2019 11:55:21.159,6357331
30/08/2019 11:55:21.199,6366442
30/08/2019 11:55:21.239,6376956
30/08/2019 11:55:21.279,6384827
30/08/2019 11:55:21.319,6389033
30/08/2019 11:55:21.359,6389679
30/08/2019 11:55:21.399,6391081
30/08/2019 11:55:21.439,6391405
30/08/2019 11:55:21.479,6392429
30/08/2019 11:55:21.519,6393292
30/08/2019 11:55:21.559,6396311
30/08/2019 11:55:21.599,6400301
30/08/2019 11:55:21.639,6404991
30/08/2019 11:55:21.679,6405099
30/08/2019 11:55:21.719,6404721
30/08/2019 11:55:21.759,6403535
30/08/2019 11:55:21.799,6403427
30/08/2019 11:55:21.839,6403374
30/08/2019 11:55:21.879,6402349
30/08/2019 11:55:21.919,6402241
30/08/2019 11:55:21.959,6402349
30/08/2019 11:55:21.999,6402134
30/08/2019 11:55:22.039,6400678
30/08/2019 11:55:22.079,6400678
30/08/2019 11:55:22.119,6399546
30/08/2019 11:55:22.159,6399330
30/08/2019 11:55:22.199,6398953
30/08/2019 11:55:22.239,6398198
30/08/2019 11:55:22.279,6396203
30/08/2019 11:55:22.319,6395718
30/08/2019 11:55:22.359,6395071
30/08/2019 11:55:22.399,6395825
30/08/2019 11:55:22.439,6397119
30/08/2019 11:55:22.479,6396473
30/08/2019 11:55:22.519,6396203
30/08/2019 11:55:22.559,6396311
30/08/2019 11:55:22.599,6396419
30/08/2019 11:55:22.639,6396580
30/08/2019 11:55:22.679,6396580
30/08/2019 11:55:22.719,6397173
30/08/2019 11:55:22.759,6396958
30/08/2019 11:55:22.799,6397551
30/08/2019 11:55:22.839,6397119
30/08/2019 11:55:22.879,6396742
30/08/2019 11:55:22.919,6396580
30/08/2019 11:55:22.959,6397497
30/08/2019 11:55:22.999,6397119
30/08/2019 11:55:23.039,6396149
30/08/2019 11:55:23.079,6395340
30/08/2019 11:55:23.119,6395394
30/08/2019 11:55:23.159,6396149
30/08/2019 11:55:23.199,6395879
30/08/2019 11:55:23.239,6395340
30/08/2019 11:55:23.279,6395232
30/08/2019 11:55:23.319,6395448
30/08/2019 11:55:23.359,6395232
30/08/2019 11:55:23.399,6395664
30/08/2019 11:55:23.439,6395071
30/08/2019 11:55:23.479,6394747
30/08/2019 11:55:23.519,6392968
30/08/2019 11:55:23.559,6390865
30/08/2019 11:55:23.599,6389033
30/08/2019 11:55:23.639,6388224
30/08/2019 11:55:23.679,6387846
30/08/2019 11:55:23.719,6388547
30/08/2019 11:55:23.759,6389518
30/08/2019 11:55:23.799,6386336
30/08/2019 11:55:23.839,6383479
30/08/2019 11:55:23.879,6381323
30/08/2019 11:55:23.919,6378896
30/08/2019 11:55:23.959,6373397
30/08/2019 11:55:23.999,6367844
30/08/2019 11:55:24.039,6364016
30/08/2019 11:55:24.079,6360943
30/08/2019 11:55:24.119,6358409
30/08/2019 11:55:24.159,6354204
30/08/2019 11:55:24.199,6352748
30/08/2019 11:55:24.239,6348273
30/08/2019 11:55:24.279,6347842
30/08/2019 11:55:24.319,6345470
30/08/2019 11:55:24.359,6351238
30/08/2019 11:55:24.399,6345793
30/08/2019 11:55:24.439,6354419
30/08/2019 11:55:24.479,6377872
30/08/2019 11:55:24.519,6442677
30/08/2019 11:55:24.559,6507159
30/08/2019 11:55:24.599,6591966
30/08/2019 11:55:24.639,6657041
30/08/2019 11:55:24.679,6683728
30/08/2019 11:55:24.719,6648684
30/08/2019 11:55:24.759,6593098
30/08/2019 11:55:24.799,6591211
30/08/2019 11:55:24.839,6528832
30/08/2019 11:55:24.879,6415828
30/08/2019 11:55:24.919,6362992
30/08/2019 11:55:24.959,6357816
