Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
30/08/2019 11:55:15.439,65,8.1,-3276.8,-68,0.45,0.91,3.988,64,5195.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,2,-0.65,0.46,-0.46,1.22,0.20,1.07,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:16.439,65,8.1,-3276.8,-44,0.50,0.79,3.966,61,4650.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,3,-1.07,-0.59,-0.02,0.61,-0.21,0.51,24.9,528,255,-128,-128,6553.5,416,421,496
30/08/2019 11:55:17.439,65,7.3,-3276.8,-22,0.49,0.89,3.953,58,4097.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,4,-1.25,-0.69,-0.34,0.36,-0.37,0.79,24.9,528,255,-128,-128,6553.5,413,421,495
30/08/2019 11:55:18.439,65,7.3,-3276.8,-15,0.23,0.51,3.943,57,3562.000,65535.000,255,0.000000,0.003000,0,65535,0,65535,1,5,-1.19,-0.77,-0.12,0.28,-0.20,0.24,24.9,528,255,-128,-128,6553.5,416,422,496
30/08/2019 11:55:19.439,65,6.6,-3276.8,-15,0.12,0.31,3.933,55,3114.000,65535.000,255,0.000000,0.001380,0,65535,0,65535,1,6,-1.03,-0.74,-0.24,0.51,0.01,0.36,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:20.439,65,6.6,-3276.8,-12,0.08,0.14,3.936,56,2681.000,65535.000,255,0.000000,0.000580,0,65535,0,65535,1,7,-1.01,-0.84,0.04,0.15,-0.03,0.25,24.9,528,255,-128,-128,6553.5,416,422,496
30/08/2019 11:55:21.439,65,5.9,-3276.8,-9,0.09,0.18,3.949,58,2345.000,65535.000,255,0.000000,0.000260,0,65535,0,65535,1,8,-1.02,-0.91,-0.01,0.09,0.01,0.15,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:22.439,0,5.9,-3276.8,-8,0.03,0.07,3.966,61,2027.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,1,9,-1.02,-0.93,0.01,0.08,0.09,0.15,24.9,528,255,-128,-128,6553.5,416,422,496
30/08/2019 11:55:23.439,0,5.3,-3276.8,-7,0.04,0.28,3.977,62,1764.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,0,-1.24,-0.75,-0.02,0.24,-0.15,0.31,24.9,528,255,-128,-128,6553.5,413,419,495
30/08/2019 11:55:24.439,60,5.3,-3276.8,-11,0.30,1.12,3.987,64,1527.000,65535.000,255,0.000800,0.000240,0,65535,0,65535,3,1,-1.86,-0.16,-0.92,1.75,-0.85,0.71,24.9,528,255,-128,-128,6553.5,417,423,497
30/08/2019 11:55:25.439,54,5.8,-3276.8,-3,0.19,0.46,3.984,64,1351.000,65535.000,255,0.018520,0.000100,0,65535,0,65535,3,2,-1.36,-0.79,-0.30,0.16,-0.32,0.16,24.9,528,255,-128,-128,6553.5,414,427,504
30/08/2019 11:55:26.439,52,5.8,-3276.8,-1,0.09,0.22,3.957,59,1179.000,65535.000,255,0.018520,0.000040,0,65535,0,65535,3,3,-1.14,-0.83,-0.21,0.13,-0.06,0.13,24.9,528,255,-128,-128,6553.5,422,427,496
30/08/2019 11:55:27.439,51,6.3,-3276.8,0,0.07,0.20,3.927,54,1072.000,65535.000,255,0.000000,0.000080,0,65535,0,65535,3,4,-1.14,-0.86,-0.18,0.12,-0.08,0.15,24.9,528,255,-128,-128,6553.5,417,415,487
30/08/2019 11:55:28.439,50,6.3,-3276.8,-2,0.08,0.13,3.911,51,942.000,65535.000,255,0.000000,0.003040,0,65535,0,65535,1,0,-1.04,-0.92,-0.15,-0.02,-0.09,0.14,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:29.439,50,6.7,-3276.8,-10,0.27,1.07,3.910,51,840.000,65535.000,255,0.023360,0.001400,0,65535,0,65535,1,1,-1.21,0.02,-1.04,0.13,0.00,0.90,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:30.439,50,6.7,-3276.8,-26,0.62,1.14,3.915,52,788.000,65535.000,255,0.023360,0.000600,0,65535,0,65535,1,2,-1.33,-0.01,-1.12,0.25,-0.19,1.22,24.9,528,255,-128,-128,6553.5,416,421,496
30/08/2019 11:55:31.439,50,7.1,-3276.8,-10,0.67,1.44,3.933,55,720.000,65535.000,255,0.000000,0.000260,0,65535,0,65535,1,3,-1.42,-0.31,-0.60,1.69,-0.37,0.56,24.9,528,255,-128,-128,6553.5,415,422,496
30/08/2019 11:55:32.439,50,7.1,-3276.8,-16,0.42,0.69,3.953,58,664.000,65535.000,255,0.000000,0.002940,0,65535,0,65535,1,4,-1.19,-0.63,-0.86,0.18,-0.06,0.25,24.9,528,255,-128,-128,6553.5,412,419,495
30/08/2019 11:55:33.439,50,7.5,-3276.8,-10,0.25,1.10,3.969,61,585.000,65535.000,255,0.000000,0.002440,0,65535,0,65535,1,5,-1.59,-0.42,-0.43,1.33,-0.50,0.18,24.9,528,255,-128,-128,6553.5,415,422,495
30/08/2019 11:55:34.439,0,7.5,-3276.8,2,0.58,1.07,3.979,63,513.000,65535.000,255,0.000800,0.002420,0,65535,0,65535,1,6,-1.72,-0.12,-0.67,1.16,-0.79,0.49,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:35.439,57,8.0,-3276.8,6,0.30,0.75,3.985,64,459.000,65535.000,255,0.000800,0.001460,0,65535,0,65535,3,0,-1.32,-0.74,-0.34,-0.15,-0.73,0.48,24.9,528,255,-128,-128,6553.5,416,422,495
30/08/2019 11:55:36.439,56,8.0,-3276.8,11,0.13,0.15,3.977,62,422.000,65535.000,255,0.026720,0.000760,0,65535,0,65535,3,1,-1.04,-0.93,-0.32,-0.24,-0.09,-0.01,24.9,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:37.439,55,8.3,-3276.8,14,0.07,0.09,3.967,61,382.000,65535.000,255,0.026720,0.000340,0,65535,0,65535,3,2,-1.03,-0.96,-0.32,-0.24,-0.08,0.00,24.9,528,255,-128,-128,6553.5,414,422,496
30/08/2019 11:55:38.439,55,8.3,-3276.8,15,0.04,0.07,3.945,57,342.000,65535.000,255,0.000000,0.000200,0,65535,0,65535,3,3,-1.03,-0.93,-0.32,-0.26,-0.09,-0.01,24.9,528,255,-128,-128,6553.5,415,421,495
30/08/2019 11:55:39.439,55,8.7,-3276.8,16,0.03,0.10,3.916,52,305.000,65535.000,255,0.000000,0.001900,0,65535,0,65535,3,4,-1.03,-0.93,-0.34,-0.24,-0.15,0.09,25.0,531,255,-128,-128,6553.5,422,427,500
30/08/2019 11:55:40.439,55,8.7,-3276.8,17,0.02,0.10,3.899,49,266.000,65535.000,255,0.021300,0.002460,0,65535,0,65535,0,0,-1.03,-0.93,-0.33,-0.26,-0.19,0.01,25.0,531,255,-128,-128,6553.5,414,422,496
30/08/2019 11:55:41.439,55,9.0,-3276.8,17,0.02,0.06,3.909,51,233.000,65535.000,255,0.021300,0.002760,0,65535,0,65535,0,0,-1.03,-0.96,-0.32,-0.26,-0.12,-0.02,25.0,531,255,-128,-128,6553.5,415,422,495
30/08/2019 11:55:42.439,55,9.0,-3276.8,17,0.02,0.08,3.929,54,203.000,65535.000,255,0.017940,0.001700,0,65535,0,65535,0,0,-1.06,-0.93,-0.33,-0.20,-0.07,0.01,25.0,531,255,-128,-128,6553.5,411,409,489
30/08/2019 11:55:43.439,55,9.2,-3276.8,15,0.08,0.24,3.949,58,180.000,65535.000,255,0.017940,0.001220,0,65535,0,65535,0,0,-1.21,-0.78,-0.31,-0.13,-0.09,0.22,25.0,531,255,-128,-128,6553.5,416,431,498
30/08/2019 11:55:44.439,55,9.2,-3276.8,14,0.06,0.24,3.969,61,158.000,65535.000,255,0.005340,0.001160,0,65535,0,65535,0,0,-1.21,-0.78,-0.31,-0.13,-0.09,0.22,25.0,531,255,-128,-128,6553.5,415,422,495
30/08/2019 11:55:45.439,55,9.4,-3276.8,11,0.15,0.15,3.982,63,141.000,65535.000,255,0.005340,0.002500,0,65535,0,65535,0,0,-1.20,-0.79,-0.30,-0.12,-0.18,0.09,25.0,531,255,-128,-128,6553.5,416,422,496
30/08/2019 11:55:46.439,0,9.4,-3276.8,11,0.03,0.59,3.978,63,130.000,65535.000,255,0.000800,0.002140,0,65535,0,65535,0,0,-1.53,-0.46,-0.31,0.04,-0.33,0.20,25.0,531,255,-128,-128,6553.5,414,420,496
30/08/2019 11:55:47.439,0,9.7,-3276.8,12,0.04,0.12,3.968,61,126.000,65535.000,255,0.000800,0.001860,0,65535,0,65535,0,0,-1.04,-0.93,-0.26,-0.14,-0.16,0.06,25.0,528,255,-128,-128,6553.5,415,421,496
30/08/2019 11:55:48.439,60,9.7,-3276.8,15,0.13,0.07,3.958,59,111.000,65535.000,255,0.000800,0.001080,0,65535,0,65535,3,0,-1.04,-0.95,-0.30,-0.16,-0.10,-0.01,25.0,528,255,-128,-128,6553.5,415,421,495
30/08/2019 11:55:49.439,59,10.0,-3276.8,14,0.32,0.62,3.948,58,101.000,65535.000,255,0.003920,0.000720,0,65535,0,65535,3,1,-1.04,-0.78,-0.31,0.12,-1.02,-0.03,25.1,528,255,-128,-128,6553.5,410,416,494
30/08/2019 11:55:50.439,63,10.0,-3276.8,15,0.24,0.37,3.938,56,94.000,65535.000,255,0.003920,0.000540,0,65535,0,65535,3,2,-1.21,-0.72,-0.54,0.18,-0.36,0.12,25.1,528,255,-128,-128,6553.5,415,420,496
30/08/2019 11:55:51.439,64,10.3,-3276.8,15,0.13,0.32,3.929,54,86.000,65535.000,255,0.001860,0.000400,0,65535,0,65535,3,3,-1.12,-0.86,-0.49,-0.10,-0.07,0.15,25.1,528,255,-128,-128,6553.5,415,420,495
