Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
02/09/2019 10:16:43.444,65,6553.5,-3276.8,15,0.21,0.40,4.105,84,0.000,65535.000,0,0.012580,0.002220,0,65535,0,65535,0,0,-1.09,-0.91,0.04,0.37,-0.15,0.28,33.8,699,255,-128,-128,6553.5,412,419,508
02/09/2019 10:16:44.444,65,6553.5,-3276.8,21,0.57,8.84,4.095,82,0.000,65535.000,0,0.012580,0.008200,0,65535,0,65535,0,0,-1.04,5.96,-2.10,6.34,-6.59,0.26,33.8,699,255,-128,-128,6553.5,394,414,502
02/09/2019 10:16:45.444,65,6553.5,-3276.8,6,1.72,7.44,4.087,81,0.000,65535.000,0,0.001664,0.003780,0,65535,0,65535,0,0,-7.38,0.72,-6.84,2.73,-1.62,2.50,33.7,699,255,-128,-128,6553.5,414,421,508
02/09/2019 10:16:46.444,65,6553.5,-3276.8,-49,1.16,2.18,4.086,81,0.000,65535.000,0,0.001664,0.003760,0,65535,0,65535,0,0,-0.40,1.34,0.25,2.00,-0.46,1.86,33.7,699,255,-128,-128,6553.5,415,421,507
02/09/2019 10:16:47.444,65,6553.5,-3276.8,-43,0.68,1.27,4.086,81,0.000,65535.000,0,0.001664,0.001720,0,65535,0,65535,0,0,-1.89,0.33,-0.21,1.43,-0.10,1.38,33.7,699,255,-128,-128,6553.5,409,418,506
02/09/2019 10:16:48.444,65,6553.5,-3276.8,-21,0.45,0.60,4.086,81,0.000,65535.000,0,0.001664,0.004500,0,65535,0,65535,0,0,-1.12,-0.89,0.07,0.21,-0.12,0.13,33.7,699,255,-128,-128,6553.5,413,420,508
02/09/2019 10:16:49.444,65,6553.5,-3276.8,-4,0.41,0.65,4.086,81,0.000,65535.000,0,0.064060,0.002680,0,65535,0,65535,0,0,-1.19,-0.81,-0.55,0.18,-0.27,0.10,33.7,699,255,-128,-128,6553.5,414,421,509
02/09/2019 10:16:50.444,65,6553.5,-3276.8,11,0.37,0.59,4.080,80,0.000,65535.000,0,0.064060,0.002000,0,65535,0,65535,0,0,-0.98,-0.80,-0.55,-0.22,-0.21,-0.04,33.7,699,255,-128,-128,6553.5,414,421,509
02/09/2019 10:16:51.444,65,6553.5,-3276.8,13,0.11,0.14,4.079,79,0.000,65535.000,0,0.021220,0.002100,0,65535,0,65535,0,0,-1.00,-0.91,-0.32,-0.19,-0.15,-0.01,33.7,699,255,-128,-128,6553.5,415,418,508
02/09/2019 10:16:52.444,65,6553.5,-3276.8,9,0.14,0.30,4.079,79,0.000,65535.000,0,0.021220,0.002480,0,65535,0,65535,0,0,-1.24,-0.78,-0.20,0.04,-0.08,0.15,33.7,699,255,-128,-128,6553.5,414,421,508
02/09/2019 10:16:53.444,0,6553.5,-3276.8,-7,0.12,0.31,4.079,79,0.000,65535.000,0,0.000800,0.003420,0,65535,0,65535,0,0,-1.09,-0.55,-0.20,0.15,0.00,0.16,33.7,699,255,-128,-128,6553.5,416,421,509
02/09/2019 10:16:54.444,0,10.0,-3276.8,-2,0.19,0.26,4.079,79,0.000,65535.000,0,0.000800,0.001480,0,65535,0,65535,3,0,-1.12,-0.91,0.06,0.22,-0.04,0.16,33.7,688,255,-128,-128,6553.5,416,421,509
02/09/2019 10:16:55.444,0,10.0,-3276.8,-5,0.16,0.26,4.079,79,0.000,65535.000,0,0.000800,0.000680,0,65535,0,65535,3,1,-1.15,-0.80,0.01,0.32,-0.07,0.16,33.7,688,255,-128,-128,6553.5,415,422,509
02/09/2019 10:16:56.444,0,10.0,-3276.8,-6,0.10,0.26,4.079,79,0.000,65535.000,0,0.000800,0.000280,0,65535,0,65535,3,2,-1.19,-0.85,-0.12,0.27,-0.18,0.34,33.6,688,255,-128,-128,6553.5,414,415,500
02/09/2019 10:16:57.444,0,10.0,-3276.8,-7,0.10,0.46,4.079,79,0.000,65535.000,0,0.000800,0.000120,0,65535,0,65535,3,3,-1.19,-0.84,-0.48,0.39,-0.04,0.20,33.6,688,255,-128,-128,6553.5,415,421,508
02/09/2019 10:16:58.444,0,10.0,-3276.8,-10,0.05,0.09,4.079,79,0.000,65535.000,0,0.000800,0.000040,0,65535,0,65535,3,4,-1.12,-0.95,0.14,0.21,0.01,0.19,33.6,688,255,-128,-128,6553.5,416,422,508
02/09/2019 10:16:59.444,0,10.0,-3276.8,-10,0.05,0.14,4.079,79,0.000,65535.000,0,0.000800,0.000020,0,65535,0,65535,3,5,-1.14,-0.85,0.12,0.22,-0.03,0.18,33.6,688,255,-128,-128,6553.5,417,422,509
02/09/2019 10:17:00.444,0,10.0,-3276.8,-10,0.08,0.18,4.079,79,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,6,-1.10,-0.84,0.04,0.25,-0.13,0.09,33.6,688,255,-128,-128,6553.5,410,408,496
02/09/2019 10:17:01.444,0,10.0,-3276.8,-10,0.07,0.13,4.079,79,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,7,-1.07,-0.93,0.03,0.21,-0.10,0.04,33.6,688,255,-128,-128,6553.5,416,422,509
02/09/2019 10:17:02.444,0,10.0,-3276.8,8,0.04,0.14,4.079,79,2376.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,8,-1.03,-0.90,0.07,0.20,-0.16,0.01,33.6,688,255,-128,-128,6553.5,415,421,508
02/09/2019 10:17:03.444,0,10.0,-3276.8,8,0.04,0.10,4.079,79,2570.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,9,-1.06,-0.93,0.04,0.20,-0.07,0.02,33.6,688,255,-128,-128,6553.5,415,420,510
02/09/2019 10:17:04.444,0,10.0,-3276.8,7,0.04,0.22,4.079,79,2094.000,65535.000,11,0.000800,0.000000,0,65535,0,65535,3,10,-1.08,-0.89,-0.06,0.19,-0.33,0.07,33.6,688,255,-128,-128,6553.5,417,422,509
02/09/2019 10:17:05.444,0,10.0,-3276.8,8,0.04,0.06,4.079,79,2484.000,65535.000,0,0.000800,0.000040,0,65535,0,65535,3,11,-1.04,-0.96,0.09,0.20,-0.10,0.00,33.6,688,255,-128,-128,6553.5,416,422,508
02/09/2019 10:17:06.444,57,10.0,-3276.8,8,0.02,0.06,4.079,79,1944.000,65535.000,11,0.000800,0.000080,0,65535,0,65535,3,12,-1.02,-0.97,0.08,0.20,-0.08,-0.01,33.6,688,255,-128,-128,6553.5,416,423,509
02/09/2019 10:17:07.444,63,10.0,-3276.8,8,0.02,0.06,4.079,79,1563.000,65535.000,0,0.001800,0.000080,0,65535,0,65535,1,0,-1.03,-0.97,0.09,0.21,-0.04,0.00,33.6,688,255,-128,-128,6553.5,415,422,509
02/09/2019 10:17:08.444,68,10.0,-3276.8,8,0.03,0.06,4.079,79,1436.000,65535.000,11,0.001800,0.000080,0,65535,0,65535,1,1,-1.02,-0.93,0.07,0.19,-0.09,-0.01,33.6,688,255,-128,-128,6553.5,416,422,509
02/09/2019 10:17:09.444,69,10.0,-3276.8,7,0.02,0.04,4.079,79,1530.000,65535.000,11,0.001560,0.000080,13,65535,0,65535,1,2,-1.02,-0.97,0.08,0.18,-0.07,-0.01,33.6,688,255,-128,-128,6553.5,417,424,517
02/09/2019 10:17:10.444,69,11.0,-3276.8,7,0.03,0.07,4.078,79,1560.000,65535.000,11,0.001560,0.000080,23,65535,0,65535,1,3,-1.03,-0.97,0.04,0.16,-0.12,-0.01,33.6,688,255,-128,-128,6553.5,416,422,509
02/09/2019 10:17:11.444,70,11.0,-3276.8,7,0.03,0.08,4.078,79,1370.000,65535.000,11,0.001560,0.000100,33,65535,0,65535,1,4,-1.04,-0.97,0.01,0.15,-0.09,-0.01,33.6,688,255,-128,-128,6553.5,416,422,508
02/09/2019 10:17:12.444,70,11.0,-3276.8,4,0.05,0.09,4.078,79,1125.000,65535.000,11,0.001560,0.000100,41,65535,0,65535,1,5,-1.07,-0.93,0.00,0.08,-0.13,-0.01,33.6,688,255,-128,-128,6553.5,414,418,520
02/09/2019 10:17:13.444,69,11.0,-3276.8,4,0.03,0.15,4.078,79,1089.000,65535.000,22,0.001620,0.000080,49,65535,0,65535,1,6,-1.06,-0.95,-0.08,0.09,-0.20,-0.02,33.6,688,255,-128,-128,6553.5,416,422,509
