Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
27/08/2019 14:29:40.428,65,6553.5,-3276.8,40,0.34,0.46,4.030,71,0.000,65535.000,0,0.007340,0.001040,0,65535,0,65535,0,0,-0.93,-0.79,0.34,0.56,-0.28,-0.15,33.3,699,255,-128,-128,6553.5,414,423,520
27/08/2019 14:29:41.428,65,6553.5,-3276.8,34,0.20,0.32,4.015,69,0.000,65535.000,0,0.007340,0.000440,0,65535,0,65535,0,0,-0.95,-0.79,0.25,0.48,-0.37,-0.12,33.3,699,255,-128,-128,6553.5,416,422,509
27/08/2019 14:29:42.428,65,6553.5,-3276.8,37,0.12,0.28,4.005,67,0.000,65535.000,0,0.007340,0.000200,0,65535,0,65535,0,0,-0.84,-0.51,0.37,0.62,-0.50,-0.33,33.3,699,255,-128,-128,6553.5,412,417,503
27/08/2019 14:29:43.428,65,6553.5,-3276.8,44,0.18,0.28,3.995,65,0.000,65535.000,0,0.007340,0.007340,0,65535,0,65535,0,0,-0.65,-0.51,0.57,0.68,-0.51,-0.37,33.3,699,255,-128,-128,6553.5,412,421,510
27/08/2019 14:29:44.428,65,6553.5,-3276.8,44,0.09,0.22,3.990,65,0.000,65535.000,0,0.007340,0.003380,0,65535,0,65535,0,0,-0.91,-0.54,0.37,0.66,-0.44,-0.22,33.3,699,255,-128,-128,6553.5,411,419,507
27/08/2019 14:29:45.428,65,6553.5,-3276.8,33,0.29,0.54,3.986,64,0.000,65535.000,0,0.007340,0.005620,0,65535,0,65535,0,0,-1.07,-0.73,0.06,0.53,-0.33,0.24,33.3,699,254,0,12,6553.5,417,422,509
27/08/2019 14:29:46.428,65,6553.5,-3276.8,21,0.39,0.56,3.986,64,0.000,65535.000,0,0.007340,0.004380,0,65535,0,65535,0,0,-1.07,-0.89,0.03,0.39,-0.04,0.26,33.3,699,254,0,12,6553.5,414,421,508
27/08/2019 14:29:47.428,65,6553.5,-3276.8,18,0.16,0.31,3.981,63,0.000,65535.000,0,0.007340,0.005320,0,65535,0,65535,0,0,-1.15,-0.81,-0.04,0.39,-0.04,0.26,33.3,699,254,-6,12,6553.5,431,431,513
27/08/2019 14:29:48.428,65,6553.5,-3276.8,-15,0.11,0.16,3.978,63,0.000,65535.000,0,0.007340,0.002440,0,65535,0,65535,0,0,-1.03,-0.90,0.16,0.30,0.01,0.16,33.3,688,254,0,12,6553.5,414,420,509
27/08/2019 14:29:49.428,65,10.0,-3276.8,-13,0.07,0.13,3.978,63,0.000,65535.000,0,0.007340,0.001060,0,65535,0,65535,3,0,-1.09,-0.91,0.16,0.28,0.06,0.16,33.3,688,254,0,12,6553.5,415,420,510
