Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
30/08/2019 07:03:50.438,65,6553.5,-3276.8,25,0.54,0.68,3.914,52,0.000,65535.000,0,0.000000,0.004680,0,65535,0,65535,0,0,-1.09,-0.89,0.02,0.20,-0.22,0.21,25.1,699,255,-128,-128,6553.5,396,410,505
30/08/2019 07:03:51.438,65,6553.5,-3276.8,11,0.36,0.46,3.888,48,0.000,65535.000,0,0.000000,0.002180,0,65535,0,65535,0,0,-1.06,-0.73,-0.19,0.30,-0.30,0.18,25.1,699,255,-128,-128,6553.5,417,424,509
30/08/2019 07:03:52.438,65,6553.5,-3276.8,4,0.18,0.37,3.868,44,0.000,65535.000,0,0.009604,0.001000,0,65535,0,65535,0,0,-1.21,-0.85,-0.28,0.12,-0.15,0.10,25.1,688,255,-128,-128,6553.5,430,429,511
30/08/2019 07:03:53.438,65,10.0,-3276.8,3,0.10,0.19,3.857,42,0.000,65535.000,0,0.009604,0.000420,0,65535,0,65535,3,0,-1.08,-0.95,-0.06,0.20,-0.09,0.14,25.1,688,255,-128,-128,6553.5,416,423,508
30/08/2019 07:03:54.438,65,10.0,-3276.8,3,0.03,0.08,3.847,41,0.000,65535.000,0,0.000000,0.000200,0,65535,0,65535,3,1,-1.06,-0.93,0.02,0.13,-0.03,0.10,25.1,688,255,-128,-128,6553.5,417,424,510
30/08/2019 07:03:55.438,65,10.0,-3276.8,-6,0.09,0.18,3.837,39,0.000,65535.000,0,0.000000,0.000080,0,65535,0,65535,3,2,-1.08,-0.83,0.06,0.27,-0.02,0.13,25.1,688,255,-128,-128,6553.5,416,423,509
30/08/2019 07:03:56.438,65,10.0,-3276.8,-8,0.10,0.16,3.834,39,0.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,3,3,-1.02,-0.93,0.20,0.27,-0.09,0.16,25.1,688,255,-128,-128,6553.5,417,424,509
30/08/2019 07:03:57.438,65,10.0,-3276.8,-12,0.08,0.24,3.828,38,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,4,-1.08,-0.80,0.10,0.44,-0.06,0.09,25.1,688,255,-128,-128,6553.5,416,423,510
30/08/2019 07:03:58.438,65,10.0,-3276.8,-11,0.02,0.07,3.822,37,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,0,-1.04,-0.93,0.14,0.26,-0.06,0.13,25.1,688,255,-128,-128,6553.5,416,424,523
30/08/2019 07:03:59.438,65,10.0,-3276.8,-7,0.12,0.28,3.822,37,0.000,65535.000,0,0.000000,0.000160,0,65535,0,65535,1,1,-1.13,-0.89,-0.13,0.20,-0.16,0.21,25.1,688,255,-128,-128,6553.5,416,423,509
30/08/2019 07:04:00.438,0,10.0,-3276.8,2,0.15,0.53,3.822,37,24837.000,65535.000,0,0.000800,0.000180,0,65535,0,65535,1,2,-1.74,-0.43,-0.28,0.24,-0.19,0.03,25.1,688,255,-128,-128,6553.5,417,424,509
30/08/2019 07:04:01.438,57,10.0,-3276.8,4,0.17,0.28,3.822,37,21304.000,65535.000,11,0.000800,0.000180,0,65535,0,65535,1,3,-1.15,-0.79,-0.30,0.06,-0.26,0.02,25.1,688,255,-128,-128,6553.5,416,423,509
30/08/2019 07:04:02.438,66,10.0,-3276.8,2,0.16,0.36,3.822,37,17852.000,65535.000,11,0.001360,0.000140,0,65535,0,65535,1,4,-1.31,-0.83,-0.34,0.20,-0.21,0.18,25.1,688,255,-128,-128,6553.5,418,424,521
30/08/2019 07:04:03.438,83,10.0,-3276.8,2,0.19,0.37,3.822,37,16044.000,65535.000,11,0.001360,0.000120,12,65535,0,65535,1,5,-1.36,-0.79,-0.25,0.22,-0.28,0.16,25.1,688,255,-128,-128,6553.5,419,425,509
30/08/2019 07:04:04.438,97,10.0,-3276.8,-4,0.21,0.36,3.822,37,12633.000,65535.000,22,0.001240,0.000120,23,65535,0,65535,1,6,-1.13,-0.81,-0.38,0.16,-0.18,0.31,25.1,688,255,-128,-128,6553.5,415,422,506
30/08/2019 07:04:05.438,103,10.0,-3276.8,-9,0.34,0.56,3.822,37,10359.000,65535.000,0,0.001240,0.000160,33,65535,0,65535,1,7,-1.01,-0.75,0.13,0.56,0.16,0.40,25.1,688,255,-128,-128,6553.5,415,422,508
