SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,08,29,31509435,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,08,29,31543800,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,29,31545129,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,08,29,31556999,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,29,31568739,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,31569759,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,31570750,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,33561941,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,29,33562700,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,29,33562700,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
