Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
29/08/2019 08:45:09.435,65,6553.5,-3276.8,78,0.13,0.20,3.987,64,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.26,-0.15,0.55,0.78,-0.72,-0.55,27.4,699,255,-128,-128,6553.5,415,422,509
29/08/2019 08:45:10.435,65,6553.5,-3276.8,79,0.15,0.31,3.967,61,0.000,65535.000,0,0.000000,0.000440,0,65535,0,65535,0,0,-0.30,0.03,0.37,0.71,-0.87,-0.65,27.4,699,255,-128,-128,6553.5,398,411,500
29/08/2019 08:45:11.435,65,6553.5,-3276.8,78,0.52,0.67,3.956,59,0.000,65535.000,0,0.007460,0.000480,0,65535,0,65535,0,0,-0.28,0.02,-0.34,0.43,-1.01,-0.77,27.4,699,255,-128,-128,6553.5,416,422,509
29/08/2019 08:45:12.435,65,6553.5,-3276.8,80,0.50,0.66,3.946,57,0.000,65535.000,0,0.007460,0.000380,0,65535,0,65535,0,0,-0.20,0.00,-0.48,-0.32,-0.93,-0.73,27.4,699,255,-128,-128,6553.5,405,408,497
29/08/2019 08:45:13.435,65,6553.5,-3276.8,83,0.27,0.36,3.936,56,0.000,65535.000,0,0.006780,0.000160,0,65535,0,65535,0,0,-0.18,0.03,-0.49,-0.34,-0.95,-0.77,27.4,699,255,-128,-128,6553.5,416,422,509
29/08/2019 08:45:14.435,65,6553.5,-3276.8,82,0.15,0.19,3.932,55,0.000,65535.000,0,0.006780,0.000620,0,65535,0,65535,0,0,-0.20,-0.02,-0.45,-0.31,-0.93,-0.72,27.4,699,255,-128,-128,6553.5,415,420,493
29/08/2019 08:45:15.435,65,6553.5,-3276.8,84,0.09,0.15,3.932,55,0.000,65535.000,0,0.006780,0.000480,0,65535,0,65535,0,0,-0.12,0.03,-0.43,-0.25,-0.93,-0.77,27.4,699,255,-128,-128,6553.5,415,422,509
29/08/2019 08:45:16.435,65,6553.5,-3276.8,87,0.07,0.15,3.926,54,0.000,65535.000,0,0.006780,0.001120,0,65535,0,65535,0,0,-0.19,0.07,-0.37,-0.27,-0.95,-0.81,27.4,699,255,-128,-128,6553.5,417,422,509
29/08/2019 08:45:17.435,65,6553.5,-3276.8,89,0.04,0.07,3.922,53,0.000,65535.000,0,0.006780,0.001000,0,65535,0,65535,0,0,-0.02,0.03,-0.34,-0.25,-0.92,-0.83,27.4,699,255,-128,-128,6553.5,416,423,509
29/08/2019 08:45:18.435,65,6553.5,-3276.8,89,0.02,0.07,3.922,53,0.000,65535.000,0,0.006780,0.001060,0,65535,0,65535,0,0,-0.03,0.06,-0.36,-0.26,-0.91,-0.83,27.4,699,255,-128,-128,6553.5,424,428,497
29/08/2019 08:45:19.435,0,6553.5,-3276.8,89,0.02,0.06,3.922,53,0.000,65535.000,0,0.000800,0.001300,0,65535,0,65535,0,0,-0.03,0.02,-0.36,-0.26,-0.93,-0.83,27.4,699,255,-128,-128,6553.5,415,423,509
29/08/2019 08:45:20.435,0,6553.5,-3276.8,89,0.02,0.04,3.922,53,0.000,65535.000,0,0.000800,0.000960,0,65535,0,65535,0,0,-0.02,0.02,-0.36,-0.27,-0.91,-0.84,27.4,699,255,-128,-128,6553.5,415,423,496
