SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,08,29,54145438,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,08,29,54156464,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,29,54157063,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,08,29,54169066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,29,54199399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54200270,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54201269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54202269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54203269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54204269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54205269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54206269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54207269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54208269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54209269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54210150,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54211149,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54212145,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54213269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54247399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54248399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54250399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54250400,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54251270,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54252269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54276019,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54280019,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54281012,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54281900,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54282899,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54286899,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54287899,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54289899,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54292899,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54295769,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54296899,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54298650,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54299779,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54307529,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54308649,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54309530,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54310529,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54311529,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54516389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54517140,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54519389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54520270,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,54521269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,54522269,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,55822859,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,08,29,55823859,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,56325130,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,29,56326085,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,29,56326085,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
