Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
29/08/2019 15:02:25.438,65,6553.5,-3276.8,-11,0.35,0.54,3.923,53,0.000,65535.000,0,0.000360,0.000020,0,65535,0,65535,0,0,-1.12,-0.90,-0.24,0.25,-0.03,0.61,31.5,699,255,-128,-128,6553.5,416,422,509
29/08/2019 15:02:26.438,65,6553.5,-3276.8,-12,0.18,0.44,3.899,49,0.000,65535.000,0,0.000360,0.001000,0,65535,0,65535,0,0,-1.22,-0.69,-0.26,0.56,0.13,0.43,31.5,699,255,-128,-128,6553.5,414,422,509
29/08/2019 15:02:27.438,65,6553.5,-3276.8,-17,0.22,0.48,3.879,46,0.000,65535.000,0,0.002240,0.000460,0,65535,0,65535,0,0,-1.08,-0.71,-0.60,-0.12,0.08,0.48,31.5,699,255,-128,-128,6553.5,415,422,509
29/08/2019 15:02:28.438,65,6553.5,-3276.8,-17,0.12,0.26,3.869,44,0.000,65535.000,0,0.002240,0.001360,0,65535,0,65535,0,0,-1.01,-0.81,-0.39,-0.16,0.03,0.34,31.5,699,255,-128,-128,6553.5,415,421,520
29/08/2019 15:02:29.438,65,6553.5,-3276.8,-15,0.13,0.39,3.859,43,0.000,65535.000,0,0.002240,0.000640,0,65535,0,65535,0,0,-1.09,-0.81,-0.30,0.20,0.16,0.40,31.5,699,255,-128,-128,6553.5,416,422,510
29/08/2019 15:02:30.438,65,6553.5,-3276.8,-18,0.15,0.24,3.849,41,0.000,65535.000,0,0.002240,0.001020,0,65535,0,65535,0,0,-1.01,-0.83,-0.40,0.10,0.20,0.46,31.5,699,255,-128,-128,6553.5,417,422,508
29/08/2019 15:02:31.438,65,6553.5,-3276.8,-8,0.32,0.51,3.847,41,0.000,65535.000,0,0.002240,0.000740,0,65535,0,65535,0,0,-1.09,-0.81,-0.22,0.42,-0.19,0.22,31.5,699,255,-128,-128,6553.5,417,422,509
29/08/2019 15:02:32.438,65,6553.5,-3276.8,-7,0.17,0.30,3.841,40,0.000,65535.000,0,0.002240,0.000940,0,65535,0,65535,0,0,-1.18,-0.80,-0.22,-0.04,-0.18,0.31,31.5,699,255,-128,-128,6553.5,414,421,508
29/08/2019 15:02:33.438,65,6553.5,-3276.8,-5,0.19,0.31,3.836,39,0.000,65535.000,0,0.002240,0.001340,0,65535,0,65535,0,0,-1.16,-0.79,-0.20,0.22,-0.10,0.30,31.5,699,255,-128,-128,6553.5,416,422,509
29/08/2019 15:02:34.438,65,6553.5,-3276.8,-3,0.16,0.24,3.836,39,0.000,65535.000,0,0.002240,0.002320,0,65535,0,65535,0,0,-1.15,-0.80,-0.12,0.22,-0.10,0.08,31.5,699,255,-128,-128,6553.5,416,412,487
29/08/2019 15:02:35.438,0,6553.5,-3276.8,-2,0.14,0.39,3.836,39,0.000,65535.000,0,0.000800,0.001060,0,65535,0,65535,0,0,-1.12,-0.86,-0.36,0.30,-0.16,0.12,31.5,699,255,-128,-128,6553.5,417,423,508
29/08/2019 15:02:36.438,0,10.0,-3276.8,6,0.26,0.80,3.836,39,0.000,65535.000,0,0.000800,0.000460,0,65535,0,65535,3,0,-1.26,-0.84,-1.19,0.10,-0.34,0.12,31.5,688,255,-128,-128,6553.5,416,423,507
29/08/2019 15:02:37.438,0,10.0,-3276.8,8,0.13,0.25,3.836,39,0.000,65535.000,0,0.000800,0.000200,0,65535,0,65535,3,1,-1.09,-0.87,-0.36,0.01,-0.19,-0.02,31.5,688,255,-128,-128,6553.5,415,422,509
29/08/2019 15:02:38.438,0,10.0,-3276.8,7,0.14,0.36,3.836,39,0.000,65535.000,0,0.000800,0.000080,0,65535,0,65535,3,2,-1.30,-0.71,-0.34,0.30,-0.22,0.00,31.5,688,255,-128,-128,6553.5,416,422,509
29/08/2019 15:02:39.438,0,10.0,-3276.8,8,0.09,0.21,3.836,39,0.000,65535.000,0,0.000800,0.000040,0,65535,0,65535,3,3,-1.10,-0.85,-0.31,0.13,-0.20,0.01,31.5,688,255,-128,-128,6553.5,417,422,509
29/08/2019 15:02:40.438,0,10.0,-3276.8,7,0.08,0.32,3.836,39,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,4,-1.15,-0.80,-0.33,0.34,-0.37,0.08,31.5,688,255,-128,-128,6553.5,414,420,508
29/08/2019 15:02:41.438,0,10.0,-3276.8,7,0.06,0.20,3.836,39,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,5,-1.04,-0.91,-0.19,0.02,-0.39,0.08,31.5,688,255,-128,-128,6553.5,415,422,508
29/08/2019 15:02:42.438,0,10.0,-3276.8,6,0.09,0.28,3.835,39,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,6,-1.16,-0.75,-0.27,0.32,-0.19,0.09,31.5,688,255,-128,-128,6553.5,414,421,509
29/08/2019 15:02:43.438,0,10.0,-3276.8,7,0.14,0.28,3.835,39,12226.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,7,-1.08,-0.84,-0.36,-0.12,-0.07,0.27,31.5,688,255,-128,-128,6553.5,415,422,509
29/08/2019 15:02:44.438,0,10.0,-3276.8,-11,0.19,0.31,3.835,39,15595.000,65535.000,11,0.000800,0.000000,0,65535,0,65535,3,8,-1.07,-0.86,-0.42,0.06,-0.18,0.20,31.5,688,255,-128,-128,6553.5,414,420,508
29/08/2019 15:02:45.438,0,10.0,-3276.8,-11,0.14,0.31,3.835,39,17940.000,65535.000,11,0.000800,0.000000,0,65535,0,65535,3,9,-1.06,-0.87,-0.56,0.01,-0.15,0.15,31.5,688,255,-128,-128,6553.5,410,422,502
29/08/2019 15:02:46.438,0,10.0,-3276.8,-16,0.15,0.21,3.835,39,18653.000,65535.000,11,0.000800,0.000280,0,65535,0,65535,3,10,-1.00,-0.84,-0.45,-0.27,0.08,0.19,31.5,688,255,-128,-128,6553.5,417,423,510
29/08/2019 15:02:47.438,65,10.0,-3276.8,-19,0.10,0.42,3.835,39,16560.000,65535.000,22,0.000800,0.000800,0,65535,0,65535,3,11,-1.10,-0.62,-0.50,-0.15,-0.46,0.22,31.5,688,255,-128,-128,6553.5,415,422,510
29/08/2019 15:02:48.438,62,10.0,-3276.8,-17,0.07,0.09,3.835,39,17064.000,65535.000,22,0.003460,0.000660,0,65535,0,65535,1,0,-1.01,-0.89,-0.32,-0.16,0.02,0.18,31.5,688,254,0,12,6553.5,415,422,509
29/08/2019 15:02:49.438,72,10.0,-3276.8,-15,0.04,0.15,3.835,39,13247.000,65535.000,22,0.003460,0.000680,0,65535,0,65535,1,1,-1.07,-0.89,-0.34,-0.15,0.02,0.28,31.5,688,254,-2,12,6553.5,415,421,508
29/08/2019 15:02:50.438,76,10.0,-3276.8,-15,0.08,0.55,3.835,39,11349.000,65535.000,22,0.001980,0.000840,0,65535,0,65535,1,2,-1.13,-0.60,-0.85,0.01,-0.57,0.22,31.5,688,254,0,12,6553.5,406,416,508
29/08/2019 15:02:51.438,70,10.0,-3276.8,-14,0.10,0.44,3.835,39,12161.000,65535.000,33,0.001980,0.000800,0,65535,0,65535,1,3,-1.18,-0.81,-0.60,0.43,-0.26,0.18,31.5,688,254,0,12,6553.5,412,419,508
29/08/2019 15:02:52.438,68,10.0,-3276.8,-14,0.07,0.44,3.834,39,12050.000,65535.000,33,0.001980,0.001000,0,65535,0,65535,1,4,-1.06,-0.92,-0.45,0.30,-0.18,0.18,31.5,688,254,0,12,6553.5,417,423,509
29/08/2019 15:02:53.438,67,10.0,-3276.8,14,0.07,1.43,3.833,38,10201.000,65535.000,33,0.001980,0.000820,0,65535,0,65535,1,5,-1.24,-0.71,-2.54,0.10,-0.16,0.16,31.5,688,254,0,12,6553.5,414,422,508
29/08/2019 15:02:54.438,66,10.0,-3276.8,11,0.16,0.32,3.833,38,9218.000,65535.000,44,0.001980,0.000840,0,65535,0,65535,1,6,-1.27,-0.68,-0.44,0.13,-0.16,0.14,31.5,688,254,0,12,6553.5,416,422,508
29/08/2019 15:02:55.438,67,11.0,-3276.8,7,0.13,0.32,3.833,38,12686.000,65535.000,44,0.001980,0.001000,0,65535,0,65535,1,7,-1.15,-0.80,-0.14,0.19,-0.14,0.07,31.5,688,254,0,12,6553.5,414,421,509
29/08/2019 15:02:56.438,68,11.0,-3276.8,3,0.14,0.32,3.833,38,13490.000,65535.000,44,0.001980,0.000920,0,65535,0,65535,1,8,-1.15,-0.80,-0.14,0.19,-0.14,0.07,31.5,688,254,0,12,6553.5,420,427,508
29/08/2019 15:02:57.438,69,11.0,-3276.8,2,0.06,0.28,3.833,38,13172.000,65535.000,44,0.001980,0.000660,0,65535,0,65535,1,9,-1.15,-0.78,-0.16,0.21,-0.10,0.09,31.5,688,254,0,12,6553.5,414,421,509
29/08/2019 15:02:58.438,69,11.0,-3276.8,2,0.06,0.10,3.833,38,12298.000,65535.000,55,0.001980,0.000620,0,65535,0,65535,1,10,-1.06,-0.96,-0.12,0.10,-0.12,0.09,31.5,688,254,0,12,6553.5,415,421,509
29/08/2019 15:02:59.438,69,11.0,-3276.8,4,0.06,0.34,3.833,38,10514.000,65535.000,55,0.001980,0.000560,0,65535,0,65535,1,11,-1.27,-0.92,-0.36,0.44,-0.26,0.12,31.5,688,254,0,12,6553.5,412,420,508
29/08/2019 15:03:00.438,69,11.0,-3276.8,1,0.13,0.10,3.833,38,11491.000,65535.000,11,0.001980,0.000800,0,65535,0,65535,1,12,-1.08,-0.91,-0.19,0.01,-0.08,0.09,31.5,688,254,-10,12,6553.5,416,422,509
29/08/2019 15:03:01.438,69,12.0,-3276.8,5,0.17,0.38,3.833,38,9545.000,65535.000,11,0.001980,0.000720,0,65535,0,65535,1,13,-1.18,-0.83,-0.14,0.38,-0.14,0.25,31.5,688,55,-6,12,6553.5,416,422,508
29/08/2019 15:03:02.438,69,12.0,-3276.8,8,0.13,0.31,3.832,38,7469.000,65535.000,11,0.004080,0.000940,0,65535,0,65535,1,14,-1.07,-0.91,-0.08,0.37,-0.19,-0.01,31.5,688,254,-3,12,6553.5,414,420,509
29/08/2019 15:03:03.438,69,13.0,-3276.8,10,0.05,0.32,3.832,38,6381.000,65535.000,11,0.004080,0.000800,0,65535,0,65535,1,15,-1.27,-0.81,-0.22,0.48,-0.28,0.12,31.5,688,254,-2,12,6553.5,417,423,509
29/08/2019 15:03:04.438,69,13.0,-3276.8,7,0.07,0.10,3.832,38,11031.000,65535.000,22,0.004080,0.000720,0,65535,0,65535,1,16,-1.06,-0.93,0.04,0.27,-0.07,0.04,31.5,688,254,-8,12,6553.5,415,422,509
29/08/2019 15:03:05.438,69,13.0,-3276.8,7,0.10,0.20,3.832,38,24835.000,65535.000,22,0.004080,0.000580,0,65535,0,65535,1,17,-1.18,-0.89,-0.01,0.27,-0.19,0.18,31.5,688,155,-8,12,6553.5,414,422,508
29/08/2019 15:03:06.438,69,13.0,-3276.8,-5,0.14,0.19,3.832,38,26050.000,65535.000,22,0.004080,0.000480,0,65535,0,65535,1,18,-1.08,-0.89,0.03,0.20,-0.21,0.07,31.5,688,254,-6,12,6553.5,414,422,509
29/08/2019 15:03:07.438,69,14.0,-3276.8,1,0.23,0.46,3.832,38,20085.000,65535.000,22,0.004080,0.000440,0,65535,0,65535,1,19,-1.14,-0.80,-0.34,0.20,0.00,0.36,31.5,688,254,0,12,6553.5,413,423,500
29/08/2019 15:03:08.438,69,14.0,-3276.8,5,0.20,0.31,3.832,38,15668.000,65535.000,22,0.001520,0.000420,0,65535,0,65535,1,20,-1.08,-0.71,-0.14,0.08,-0.27,0.01,31.5,688,254,0,12,6553.5,414,421,509
29/08/2019 15:03:09.438,69,14.0,-3276.8,8,0.14,0.48,3.832,38,12974.000,65535.000,22,0.001520,0.000440,0,65535,0,65535,1,21,-1.44,-0.77,-0.16,0.24,-0.31,0.02,31.5,688,254,-10,12,6553.5,416,422,509
29/08/2019 15:03:10.438,69,14.0,-3276.8,8,0.18,0.21,3.832,38,11310.000,65535.000,22,0.001440,0.000420,0,65535,0,65535,1,22,-1.07,-0.91,-0.02,0.27,-0.31,-0.03,31.5,688,254,-3,12,6553.5,417,422,509
29/08/2019 15:03:11.438,69,15.0,-3276.8,10,0.12,0.36,3.832,38,9990.000,65535.000,22,0.001440,0.000360,0,65535,0,65535,1,23,-1.19,-0.86,0.06,0.31,-0.10,0.18,31.5,688,254,-7,12,6553.5,415,422,509
29/08/2019 15:03:12.438,70,15.0,-3276.8,11,0.15,0.31,3.832,38,7704.000,65535.000,33,0.001440,0.000360,0,65535,0,65535,1,24,-1.03,-0.91,0.09,0.26,-0.42,0.12,31.5,688,254,-5,12,6553.5,415,421,508
29/08/2019 15:03:13.438,71,14.0,-3276.8,14,0.16,0.31,3.832,38,6165.000,65535.000,33,0.001440,0.000380,0,65535,0,65535,1,25,-1.03,-0.89,-0.09,0.12,-0.40,-0.18,31.5,688,254,-16,12,6553.5,415,422,508
