Time,BreathingWaveform
29/08/2019 08:09:45.427,6252520
29/08/2019 08:09:45.467,6257814
29/08/2019 08:09:45.507,6258189
29/08/2019 08:09:45.547,6258189
29/08/2019 08:09:45.587,6258189
29/08/2019 08:09:45.627,6258242
29/08/2019 08:09:45.667,6259900
29/08/2019 08:09:45.707,6260060
29/08/2019 08:09:45.747,6259472
29/08/2019 08:09:45.787,6260060
29/08/2019 08:09:45.827,6260060
29/08/2019 08:09:45.867,6261665
29/08/2019 08:09:45.907,6260863
29/08/2019 08:09:45.947,6259258
29/08/2019 08:09:45.987,6258991
29/08/2019 08:09:46.027,6258296
29/08/2019 08:09:46.067,6257172
29/08/2019 08:09:46.107,6258510
29/08/2019 08:09:46.147,6257280
29/08/2019 08:09:46.187,6256103
29/08/2019 08:09:46.227,6257761
29/08/2019 08:09:46.267,6258296
29/08/2019 08:09:46.307,6258884
29/08/2019 08:09:46.347,6258724
29/08/2019 08:09:46.387,6258456
29/08/2019 08:09:46.427,6261451
29/08/2019 08:09:46.467,6259793
29/08/2019 08:09:46.507,6259579
29/08/2019 08:09:46.547,6258938
29/08/2019 08:09:46.587,6256424
29/08/2019 08:09:46.627,6273217
29/08/2019 08:09:46.667,6278565
29/08/2019 08:09:46.707,6310438
29/08/2019 08:09:46.747,6347607
29/08/2019 08:09:46.787,6339103
29/08/2019 08:09:46.827,6329263
29/08/2019 08:09:46.867,6320279
29/08/2019 08:09:46.907,6345307
29/08/2019 08:09:46.947,6380443
29/08/2019 08:09:46.987,6392209
29/08/2019 08:09:47.027,6405418
29/08/2019 08:09:47.067,6399536
29/08/2019 08:09:47.107,6391728
29/08/2019 08:09:47.147,6376272
29/08/2019 08:09:47.187,6353329
29/08/2019 08:09:47.227,6355201
29/08/2019 08:09:47.267,6346644
29/08/2019 08:09:47.307,6342954
29/08/2019 08:09:47.347,6346270
29/08/2019 08:09:47.387,6347553
29/08/2019 08:09:47.427,6340227
29/08/2019 08:09:47.467,6342633
29/08/2019 08:09:47.507,6346805
29/08/2019 08:09:47.547,6349639
29/08/2019 08:09:47.587,6350227
29/08/2019 08:09:47.627,6349158
29/08/2019 08:09:47.667,6348730
29/08/2019 08:09:47.707,6345788
29/08/2019 08:09:47.747,6343061
29/08/2019 08:09:47.787,6344879
29/08/2019 08:09:47.827,6350548
29/08/2019 08:09:47.867,6355415
29/08/2019 08:09:47.907,6359907
29/08/2019 08:09:47.947,6361619
29/08/2019 08:09:47.987,6355522
29/08/2019 08:09:48.027,6354345
29/08/2019 08:09:48.067,6347821
29/08/2019 08:09:48.107,6348783
29/08/2019 08:09:48.147,6348944
29/08/2019 08:09:48.187,6344024
29/08/2019 08:09:48.227,6344238
29/08/2019 08:09:48.267,6346912
29/08/2019 08:09:48.307,6346644
29/08/2019 08:09:48.347,6346858
29/08/2019 08:09:48.387,6347019
29/08/2019 08:09:48.427,6360709
29/08/2019 08:09:48.467,6385898
29/08/2019 08:09:48.507,6414189
29/08/2019 08:09:48.547,6471412
29/08/2019 08:09:48.587,6501308
29/08/2019 08:09:48.627,6529384
29/08/2019 08:09:48.667,6546712
29/08/2019 08:09:48.707,6536390
29/08/2019 08:09:48.747,6517886
29/08/2019 08:09:48.787,6506656
29/08/2019 08:09:48.827,6498794
29/08/2019 08:09:48.867,6491414
29/08/2019 08:09:48.907,6492858
29/08/2019 08:09:48.947,6491414
29/08/2019 08:09:48.987,6482643
29/08/2019 08:09:49.027,6486066
29/08/2019 08:09:49.067,6490023
29/08/2019 08:09:49.107,6491735
29/08/2019 08:09:49.147,6490451
29/08/2019 08:09:49.187,6492376
29/08/2019 08:09:49.227,6486815
29/08/2019 08:09:49.267,6489007
29/08/2019 08:09:49.307,6490237
29/08/2019 08:09:49.347,6487189
29/08/2019 08:09:49.387,6479220
29/08/2019 08:09:49.427,6473659
29/08/2019 08:09:49.467,6478204
29/08/2019 08:09:49.507,6474889
29/08/2019 08:09:49.547,6463872
29/08/2019 08:09:49.587,6464407
29/08/2019 08:09:49.627,6459861
29/08/2019 08:09:49.667,6464460
29/08/2019 08:09:49.707,6448791
29/08/2019 08:09:49.747,6455476
29/08/2019 08:09:49.787,6456652
29/08/2019 08:09:49.827,6453176
29/08/2019 08:09:49.867,6450930
29/08/2019 08:09:49.907,6435046
29/08/2019 08:09:49.947,6427185
29/08/2019 08:09:49.987,6440929
29/08/2019 08:09:50.027,6444352
29/08/2019 08:09:50.067,6437399
29/08/2019 08:09:50.107,6443656
29/08/2019 08:09:50.147,6442908
29/08/2019 08:09:50.187,6429805
29/08/2019 08:09:50.227,6422479
29/08/2019 08:09:50.267,6410766
29/08/2019 08:09:50.307,6403333
29/08/2019 08:09:50.347,6410927
29/08/2019 08:09:50.387,6417505
29/08/2019 08:09:50.427,6435795
29/08/2019 08:09:50.467,6443817
29/08/2019 08:09:50.507,6449646
29/08/2019 08:09:50.547,6456385
29/08/2019 08:09:50.587,6452427
29/08/2019 08:09:50.627,6449646
29/08/2019 08:09:50.667,6441250
29/08/2019 08:09:50.707,6435955
29/08/2019 08:09:50.747,6443603
29/08/2019 08:09:50.787,6441089
29/08/2019 08:09:50.827,6436062
29/08/2019 08:09:50.867,6440715
29/08/2019 08:09:50.907,6452106
29/08/2019 08:09:50.947,6453443
29/08/2019 08:09:50.987,6458470
29/08/2019 08:09:51.027,6473659
29/08/2019 08:09:51.067,6477028
29/08/2019 08:09:51.107,6480772
29/08/2019 08:09:51.147,6489488
29/08/2019 08:09:51.187,6492002
29/08/2019 08:09:51.227,6493981
29/08/2019 08:09:51.267,6495050
29/08/2019 08:09:51.307,6491200
29/08/2019 08:09:51.347,6486761
29/08/2019 08:09:51.387,6477242
29/08/2019 08:09:51.427,6469434
29/08/2019 08:09:51.467,6465850
29/08/2019 08:09:51.507,6461839
29/08/2019 08:09:51.547,6461733
29/08/2019 08:09:51.587,6461626
29/08/2019 08:09:51.627,6458524
29/08/2019 08:09:51.667,6453978
29/08/2019 08:09:51.707,6450823
29/08/2019 08:09:51.747,6449807
29/08/2019 08:09:51.787,6448363
29/08/2019 08:09:51.827,6448202
29/08/2019 08:09:51.867,6449379
