SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,08,29,29385427,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,08,29,29394052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,08,29,29398760,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,29,29407760,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,29,29408750,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,29,29408751,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,29,29409500,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,08,29,29410760,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,29,29411058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,08,29,29414750,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,08,29,29415630,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,08,29,31404035,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,08,29,31404820,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,08,29,31404820,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
