Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
29/08/2019 08:09:45.427,65,8.1,-3276.8,-88,0.16,0.31,3.971,61,4888.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,2,-0.20,0.10,0.74,1.01,0.22,0.59,23.0,528,255,-128,-128,6553.5,400,393,477
29/08/2019 08:09:46.427,65,8.1,-3276.8,-86,0.32,1.06,3.948,58,4407.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,3,-0.67,0.33,0.07,1.27,0.04,1.62,23.0,528,255,-128,-128,6553.5,411,415,495
29/08/2019 08:09:47.427,65,7.3,-3276.8,-64,0.49,0.73,3.934,55,3918.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,4,-0.85,-0.24,0.33,0.89,0.21,0.69,23.0,528,255,-128,-128,6553.5,413,416,495
29/08/2019 08:09:48.427,65,7.3,-3276.8,-54,0.31,0.49,3.924,54,3407.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,5,-0.91,-0.45,0.27,0.79,0.09,0.78,23.0,528,255,-128,-128,6553.5,403,407,498
29/08/2019 08:09:49.427,65,6.6,-3276.8,-57,0.42,0.78,3.914,52,3006.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,6,-0.68,0.02,-0.13,0.60,0.50,1.08,23.0,528,255,-128,-128,6553.5,412,414,493
29/08/2019 08:09:50.427,65,6.6,-3276.8,-84,0.77,0.96,3.919,53,2581.000,65535.000,255,0.000000,0.000440,0,65535,0,65535,1,7,-0.13,0.72,-0.34,0.26,0.50,1.14,23.0,528,255,-128,-128,6553.5,412,416,495
29/08/2019 08:09:51.427,65,6.9,-3276.8,-108,0.50,0.80,3.931,55,2252.000,65535.000,255,0.000000,0.000340,0,65535,0,65535,1,8,0.49,0.79,-0.08,0.24,0.68,0.91,23.0,528,254,0,12,6553.5,411,404,476
29/08/2019 08:09:52.427,0,6.9,-3276.8,-114,0.21,0.30,3.946,57,1937.000,65535.000,255,0.000800,0.001100,0,65535,0,65535,1,9,0.31,0.56,0.01,0.22,0.73,0.93,23.0,528,254,-7,12,6553.5,411,415,494
29/08/2019 08:09:53.427,0,7.3,-3276.8,-119,0.16,0.26,3.958,59,1685.000,65535.000,255,0.000800,0.000540,0,65535,0,65535,3,0,0.44,0.60,0.12,0.22,0.69,0.96,23.0,528,254,-1,12,6553.5,412,416,494
29/08/2019 08:09:54.427,0,7.3,-3276.8,-123,0.10,0.13,3.968,61,1446.000,65535.000,255,0.000800,0.000320,0,65535,0,65535,3,1,0.54,0.57,0.16,0.22,0.71,0.78,23.0,528,254,0,12,6553.5,418,414,481
29/08/2019 08:09:55.427,0,7.6,-3276.8,-124,0.05,0.12,3.963,60,1256.000,65535.000,255,0.000800,0.000280,0,65535,0,65535,3,2,0.51,0.59,0.13,0.22,0.69,0.89,23.0,528,254,0,12,6553.5,412,416,495
29/08/2019 08:09:56.427,0,7.6,-3276.8,-116,0.38,1.02,3.933,55,1090.000,65535.000,255,0.000800,0.000320,0,65535,0,65535,3,3,-0.38,0.67,-0.84,1.13,0.21,1.46,23.0,528,254,0,12,6553.5,411,415,494
29/08/2019 08:09:57.427,0,7.9,-3276.8,-95,0.67,1.02,3.903,50,975.000,65535.000,255,0.000800,0.001260,0,65535,0,65535,3,4,-0.83,0.12,0.25,1.15,-0.21,0.72,23.0,528,254,0,12,6553.5,419,412,484
29/08/2019 08:09:58.427,0,7.9,-3276.8,-85,0.40,0.98,3.887,47,865.000,65535.000,255,0.000800,0.001760,0,65535,0,65535,3,5,-1.02,0.01,0.43,1.06,0.00,0.74,23.0,528,254,0,12,6553.5,409,413,492
29/08/2019 08:09:59.427,57,8.2,-3276.8,-61,0.55,0.68,3.886,47,767.000,65535.000,255,0.000800,0.000920,0,65535,0,65535,3,6,-0.93,-0.59,0.22,0.75,0.00,0.37,23.0,528,254,0,12,6553.5,413,417,495
29/08/2019 08:10:00.427,55,8.2,-3276.8,-40,0.50,1.25,3.892,48,668.000,65535.000,255,0.035320,0.002100,0,65535,0,65535,1,0,-1.10,-0.62,0.00,0.77,-0.30,1.55,23.0,528,254,0,12,6553.5,412,415,494
29/08/2019 08:10:01.427,63,8.5,-3276.8,-31,0.38,1.34,3.910,51,598.000,65535.000,255,0.035320,0.000960,0,65535,0,65535,1,1,-1.12,-0.43,-0.08,0.71,-0.28,1.45,23.0,528,254,5,12,6553.5,411,416,494
29/08/2019 08:10:02.427,66,8.5,-3276.8,-10,0.48,0.91,3.929,54,533.000,65535.000,255,0.019680,0.000400,0,65535,0,65535,1,2,-1.10,-0.79,-0.78,0.20,-0.44,0.42,23.0,528,254,-5,12,6553.5,411,415,493
29/08/2019 08:10:03.427,68,8.7,-3276.8,-6,0.19,0.31,3.947,57,497.000,65535.000,255,0.019680,0.000180,0,65535,0,65535,1,3,-1.13,-0.83,-0.25,0.10,-0.07,0.21,23.0,528,254,-1,12,6553.5,410,415,494
29/08/2019 08:10:04.427,69,8.7,-3276.8,-6,0.07,0.12,3.957,59,449.000,65535.000,255,0.000000,0.000080,0,65535,0,65535,1,4,-1.03,-0.83,-0.06,0.10,-0.03,0.21,23.0,528,254,-2,12,6553.5,413,415,495
29/08/2019 08:10:05.427,69,9.0,-3276.8,-7,0.05,0.09,3.962,60,402.000,65535.000,255,0.000000,0.000020,0,65535,0,65535,1,5,-0.98,-0.95,-0.04,0.09,0.06,0.19,23.2,528,254,0,12,6553.5,414,417,496
29/08/2019 08:10:06.427,69,9.0,-3276.8,-8,0.06,0.09,3.954,59,366.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,6,-1.06,-0.90,-0.08,0.02,-0.02,0.21,23.2,528,254,0,12,6553.5,412,422,496
29/08/2019 08:10:07.427,69,9.2,-3276.8,-8,0.06,0.10,3.944,57,332.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,7,-1.00,-0.92,-0.10,-0.01,0.03,0.22,23.2,528,254,0,12,6553.5,412,416,494
29/08/2019 08:10:08.427,69,9.2,-3276.8,-9,0.04,0.09,3.921,53,289.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,8,-1.03,-0.86,-0.12,-0.01,0.08,0.26,23.4,528,254,0,12,6553.5,413,417,495
29/08/2019 08:10:09.427,69,9.3,-3276.8,-10,0.02,0.08,3.891,48,255.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,9,-1.07,-0.89,-0.14,-0.04,0.08,0.19,23.4,531,254,0,12,6553.5,412,423,490
29/08/2019 08:10:10.427,0,9.3,-3276.8,-11,0.06,0.20,3.873,45,223.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,0,0,-0.98,-0.85,-0.25,-0.09,-0.03,0.19,23.4,528,254,-9,12,6553.5,413,416,494
29/08/2019 08:10:11.427,0,9.5,-3276.8,-10,0.10,0.14,3.883,47,195.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,3,0,-0.98,-0.89,-0.24,-0.09,-0.03,0.12,23.4,528,254,0,12,6553.5,413,416,495
29/08/2019 08:10:12.427,60,9.5,-3276.8,-10,0.01,0.03,3.903,50,170.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,3,1,-0.97,-0.95,-0.16,-0.09,0.06,0.14,23.4,528,254,0,12,6553.5,400,399,475
29/08/2019 08:10:13.427,59,9.6,-3276.8,-10,0.01,0.06,3.923,53,150.000,65535.000,255,0.002980,0.000120,0,65535,0,65535,3,2,-0.98,-0.92,-0.15,-0.10,0.07,0.15,23.4,528,254,-5,12,6553.5,412,416,494
