Time,BreathingWaveform
24/09/2019 12:22:59.420,6441976
24/09/2019 12:22:59.460,6445481
24/09/2019 12:22:59.500,6446343
24/09/2019 12:22:59.540,6446343
24/09/2019 12:22:59.580,6447961
24/09/2019 12:22:59.620,6447961
24/09/2019 12:22:59.660,6449201
24/09/2019 12:22:59.700,6452274
24/09/2019 12:22:59.740,6453460
24/09/2019 12:22:59.780,6453190
24/09/2019 12:22:59.820,6453352
24/09/2019 12:22:59.860,6453029
24/09/2019 12:22:59.900,6452597
24/09/2019 12:22:59.940,6453083
24/09/2019 12:22:59.980,6452544
24/09/2019 12:23:00.020,6453460
24/09/2019 12:23:00.060,6453891
24/09/2019 12:23:00.100,6453837
24/09/2019 12:23:00.140,6455401
24/09/2019 12:23:00.180,6456209
24/09/2019 12:23:00.220,6457773
24/09/2019 12:23:00.260,6459121
24/09/2019 12:23:00.300,6460738
24/09/2019 12:23:00.340,6460685
24/09/2019 12:23:00.380,6460792
24/09/2019 12:23:00.420,6462356
24/09/2019 12:23:00.460,6462895
24/09/2019 12:23:00.500,6463219
24/09/2019 12:23:00.540,6463165
24/09/2019 12:23:00.580,6463003
24/09/2019 12:23:00.620,6463003
24/09/2019 12:23:00.660,6463111
24/09/2019 12:23:00.700,6463434
24/09/2019 12:23:00.740,6464620
24/09/2019 12:23:00.780,6463812
24/09/2019 12:23:00.820,6464081
24/09/2019 12:23:00.860,6464243
24/09/2019 12:23:00.900,6463919
24/09/2019 12:23:00.940,6464243
24/09/2019 12:23:00.980,6463973
24/09/2019 12:23:01.020,6463812
24/09/2019 12:23:01.060,6463812
24/09/2019 12:23:01.100,6464135
24/09/2019 12:23:01.140,6463812
24/09/2019 12:23:01.180,6463704
24/09/2019 12:23:01.220,6463003
24/09/2019 12:23:01.260,6463758
24/09/2019 12:23:01.300,6463380
24/09/2019 12:23:01.340,6464404
24/09/2019 12:23:01.380,6463973
24/09/2019 12:23:01.420,6463919
24/09/2019 12:23:01.460,6462356
24/09/2019 12:23:01.500,6461817
24/09/2019 12:23:01.540,6461871
24/09/2019 12:23:01.580,6461385
24/09/2019 12:23:01.620,6460685
24/09/2019 12:23:01.660,6459391
24/09/2019 12:23:01.700,6459337
24/09/2019 12:23:01.740,6459391
24/09/2019 12:23:01.780,6458636
24/09/2019 12:23:01.820,6457881
24/09/2019 12:23:01.860,6457827
24/09/2019 12:23:01.900,6457018
24/09/2019 12:23:01.940,6456803
24/09/2019 12:23:01.980,6456857
24/09/2019 12:23:02.020,6457072
24/09/2019 12:23:02.060,6456857
24/09/2019 12:23:02.100,6456857
24/09/2019 12:23:02.140,6456695
24/09/2019 12:23:02.180,6456533
24/09/2019 12:23:02.220,6456695
24/09/2019 12:23:02.260,6456533
24/09/2019 12:23:02.300,6456803
24/09/2019 12:23:02.340,6456803
24/09/2019 12:23:02.380,6456587
24/09/2019 12:23:02.420,6456587
24/09/2019 12:23:02.460,6457450
24/09/2019 12:23:02.500,6457558
