Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
24/09/2019 12:22:59.420,65,8.1,-3276.8,-16,0.15,0.30,3.740,23,5381.000,65535.000,255,0.000000,0.000140,0,65535,0,65535,1,2,-1.12,-0.85,-0.07,0.08,0.20,0.38,26.4,528,255,-128,-128,6553.5,429,431,500
24/09/2019 12:23:00.420,65,8.1,-3276.8,-17,0.07,0.13,3.695,15,4833.000,65535.000,255,0.000000,0.000200,0,65535,0,65535,1,3,-0.97,-0.87,-0.03,0.03,0.24,0.32,26.4,528,255,-128,-128,6553.5,431,431,505
24/09/2019 12:23:01.420,65,7.3,-3276.8,-17,0.04,0.07,3.664,10,4271.000,65535.000,255,0.000840,0.000260,0,65535,0,65535,1,4,-0.97,-0.86,-0.04,0.04,0.22,0.32,26.4,528,255,-128,-128,6553.5,416,429,497
24/09/2019 12:23:02.420,62,7.3,-3276.8,-17,0.02,0.06,3.644,7,3692.000,65535.000,255,0.000840,0.000200,0,65535,0,65535,1,5,-0.95,-0.87,-0.06,0.03,0.24,0.32,26.4,528,255,-128,-128,6553.5,415,421,495
24/09/2019 12:23:03.420,77,6.6,-3276.8,-16,0.02,0.07,3.629,4,3218.000,65535.000,255,0.000640,0.000160,0,65535,0,65535,1,6,-0.98,-0.87,-0.06,0.03,0.24,0.31,26.4,528,255,-128,-128,6553.5,415,421,496
24/09/2019 12:23:04.420,92,6.6,-3276.8,-16,0.02,0.06,3.625,4,2767.000,65535.000,255,0.000640,0.000140,13,65535,0,65535,1,7,-0.96,-0.87,-0.03,0.04,0.21,0.31,26.4,528,255,-128,-128,6553.5,397,405,476
24/09/2019 12:23:05.420,112,5.9,-3276.8,-15,0.02,0.04,3.634,5,2402.000,65535.000,255,0.001160,0.000120,23,65535,100,65535,1,8,-0.96,-0.89,-0.03,0.04,0.22,0.30,26.4,512,255,-128,-128,6553.5,401,410,470
24/09/2019 12:23:06.420,122,5.9,-3276.8,-15,0.01,0.04,3.644,7,2063.000,65535.000,255,0.001160,0.000100,33,65535,100,65535,1,9,-0.97,-0.89,-0.03,0.06,0.22,0.30,26.4,512,255,-128,-128,6553.5,404,413,491
24/09/2019 12:23:07.420,128,5.3,-3276.8,-16,0.02,0.04,3.654,9,1794.000,65535.000,255,0.001160,0.000080,41,65535,100,65535,1,10,-0.97,-0.87,-0.03,0.04,0.22,0.30,26.4,512,254,0,12,6553.5,410,419,493
24/09/2019 12:23:08.420,129,5.3,-3276.8,-15,0.02,0.06,3.664,10,1542.000,65535.000,255,0.001160,0.000080,49,65535,100,65535,1,11,-0.97,-0.86,-0.03,0.06,0.20,0.30,26.4,512,254,0,12,6553.5,413,416,490
24/09/2019 12:23:09.420,128,5.8,-3276.8,-15,0.02,0.04,3.661,10,1340.000,65535.000,255,0.001200,0.000080,55,65535,100,65535,1,12,-0.97,-0.87,-0.02,0.04,0.24,0.30,26.4,512,254,0,12,6553.5,410,409,482
24/09/2019 12:23:10.420,128,5.8,-3276.8,-16,0.02,0.06,3.633,5,1152.000,65535.000,255,0.001200,0.000080,61,65535,100,65535,1,13,-0.96,-0.87,-0.06,0.03,0.22,0.32,26.4,512,254,0,12,6553.5,421,428,509
24/09/2019 12:23:11.420,129,6.2,-3276.8,-16,0.02,0.04,3.603,0,1002.000,65535.000,255,0.001260,0.000080,66,65535,100,65535,1,14,-0.97,-0.87,-0.04,0.04,0.22,0.31,26.4,512,254,-1,12,6553.5,425,429,498
24/09/2019 12:23:12.420,130,6.2,-3276.8,-15,0.02,0.04,3.587,0,862.000,65535.000,255,0.001260,0.000060,70,65535,100,65535,1,15,-0.97,-0.89,-0.01,0.06,0.21,0.28,26.4,512,254,0,12,6553.5,416,421,495
24/09/2019 12:23:13.420,131,5.6,-3276.8,-15,0.01,0.03,3.585,0,750.000,65535.000,255,0.001260,0.000060,74,65535,100,65535,1,16,-0.97,-0.90,-0.02,0.07,0.21,0.30,26.4,512,254,0,12,6553.5,415,422,495
24/09/2019 12:23:14.420,133,5.6,-3276.8,-15,0.02,0.04,3.589,0,647.000,65535.000,255,0.001260,0.000080,77,65535,100,65535,1,17,-0.96,-0.87,-0.02,0.04,0.22,0.30,26.4,512,254,0,12,6553.5,415,421,496
24/09/2019 12:23:15.420,136,5.0,-3276.8,-15,0.02,0.06,3.605,0,566.000,65535.000,255,0.001140,0.000080,80,65535,100,65535,1,18,-0.97,-0.89,-0.06,0.03,0.22,0.31,26.4,512,254,0,12,6553.5,415,421,496
24/09/2019 12:23:16.420,138,5.0,-3276.8,-15,0.02,0.06,3.624,4,487.000,65535.000,255,0.001140,0.000080,82,65535,100,65535,1,19,-0.96,-0.89,-0.02,0.04,0.21,0.31,26.4,512,254,0,12,6553.5,415,421,496
24/09/2019 12:23:17.420,138,4.8,-3276.8,-15,0.02,0.06,3.637,6,425.000,65535.000,255,0.001060,0.000080,85,65535,100,65535,1,20,-0.97,-0.89,-0.03,0.06,0.18,0.31,26.4,512,254,0,12,6553.5,415,421,495
