Time,Vertical,Lateral,Sagittal
24/09/2019 12:42:21.421,1972,2047,2069
24/09/2019 12:42:21.431,1970,2047,2069
24/09/2019 12:42:21.441,1973,2047,2070
24/09/2019 12:42:21.451,1971,2048,2069
24/09/2019 12:42:21.461,1969,2046,2068
24/09/2019 12:42:21.471,1969,2049,2066
24/09/2019 12:42:21.481,1970,2048,2069
24/09/2019 12:42:21.491,1970,2048,2069
24/09/2019 12:42:21.501,1969,2048,2068
24/09/2019 12:42:21.511,1969,2048,2070
24/09/2019 12:42:21.521,1970,2049,2070
24/09/2019 12:42:21.531,1970,2049,2071
24/09/2019 12:42:21.541,1972,2048,2070
24/09/2019 12:42:21.551,1971,2047,2069
24/09/2019 12:42:21.561,1971,2046,2068
24/09/2019 12:42:21.571,1971,2046,2068
24/09/2019 12:42:21.581,1970,2045,2068
24/09/2019 12:42:21.591,1970,2045,2068
24/09/2019 12:42:21.601,1970,2045,2068
24/09/2019 12:42:21.611,1970,2048,2069
24/09/2019 12:42:21.621,1969,2050,2069
24/09/2019 12:42:21.631,1972,2047,2068
24/09/2019 12:42:21.641,1971,2046,2070
24/09/2019 12:42:21.651,1973,2047,2069
24/09/2019 12:42:21.661,1971,2045,2072
24/09/2019 12:42:21.671,1972,2045,2070
24/09/2019 12:42:21.681,1972,2046,2071
24/09/2019 12:42:21.691,1970,2047,2069
24/09/2019 12:42:21.701,1970,2047,2069
24/09/2019 12:42:21.711,1970,2048,2067
24/09/2019 12:42:21.721,1970,2047,2066
24/09/2019 12:42:21.731,1973,2047,2070
24/09/2019 12:42:21.741,1971,2048,2070
24/09/2019 12:42:21.751,1970,2047,2072
24/09/2019 12:42:21.761,1970,2049,2070
24/09/2019 12:42:21.771,1969,2048,2069
24/09/2019 12:42:21.781,1971,2049,2068
24/09/2019 12:42:21.791,1972,2047,2069
24/09/2019 12:42:21.801,1972,2047,2068
24/09/2019 12:42:21.811,1971,2047,2066
24/09/2019 12:42:21.821,1971,2047,2066
24/09/2019 12:42:21.831,1971,2047,2066
24/09/2019 12:42:21.841,1968,2050,2067
24/09/2019 12:42:21.851,1969,2049,2067
24/09/2019 12:42:21.861,1970,2048,2067
24/09/2019 12:42:21.871,1969,2047,2069
24/09/2019 12:42:21.881,1972,2046,2072
24/09/2019 12:42:21.891,1972,2045,2070
24/09/2019 12:42:21.901,1970,2046,2071
24/09/2019 12:42:21.911,1970,2048,2070
24/09/2019 12:42:21.921,1971,2046,2070
24/09/2019 12:42:21.931,1971,2046,2071
