Time,BreathingWaveform
24/09/2019 12:42:21.421,6610998
24/09/2019 12:42:21.461,6611321
24/09/2019 12:42:21.501,6610512
24/09/2019 12:42:21.541,6610512
24/09/2019 12:42:21.581,6610459
24/09/2019 12:42:21.621,6610459
24/09/2019 12:42:21.661,6610512
24/09/2019 12:42:21.701,6610512
24/09/2019 12:42:21.741,6610297
24/09/2019 12:42:21.781,6610081
24/09/2019 12:42:21.821,6611429
24/09/2019 12:42:21.861,6611160
24/09/2019 12:42:21.901,6610890
24/09/2019 12:42:21.941,6611106
24/09/2019 12:42:21.981,6611968
24/09/2019 12:42:22.021,6611699
24/09/2019 12:42:22.061,6612292
24/09/2019 12:42:22.101,6612561
24/09/2019 12:42:22.141,6613154
24/09/2019 12:42:22.181,6613154
24/09/2019 12:42:22.221,6614017
24/09/2019 12:42:22.261,6614287
24/09/2019 12:42:22.301,6615419
24/09/2019 12:42:22.341,6616389
24/09/2019 12:42:22.381,6616227
24/09/2019 12:42:22.421,6616874
24/09/2019 12:42:22.461,6618007
24/09/2019 12:42:22.501,6619139
24/09/2019 12:42:22.541,6620001
24/09/2019 12:42:22.581,6620163
24/09/2019 12:42:22.621,6620702
24/09/2019 12:42:22.661,6621457
24/09/2019 12:42:22.701,6621619
24/09/2019 12:42:22.741,6622104
24/09/2019 12:42:22.781,6622158
24/09/2019 12:42:22.821,6621780
24/09/2019 12:42:22.861,6620810
24/09/2019 12:42:22.901,6619732
24/09/2019 12:42:22.941,6619462
24/09/2019 12:42:22.981,6619570
24/09/2019 12:42:23.021,6618923
24/09/2019 12:42:23.061,6618061
24/09/2019 12:42:23.101,6617575
24/09/2019 12:42:23.141,6616874
24/09/2019 12:42:23.181,6616605
24/09/2019 12:42:23.221,6615958
24/09/2019 12:42:23.261,6615742
24/09/2019 12:42:23.301,6615095
24/09/2019 12:42:23.341,6615041
24/09/2019 12:42:23.381,6614933
24/09/2019 12:42:23.421,6615095
24/09/2019 12:42:23.461,6614502
24/09/2019 12:42:23.501,6614556
24/09/2019 12:42:23.541,6613532
24/09/2019 12:42:23.581,6613100
24/09/2019 12:42:23.621,6614556
24/09/2019 12:42:23.661,6614017
24/09/2019 12:42:23.701,6614071
24/09/2019 12:42:23.741,6613208
24/09/2019 12:42:23.781,6614287
24/09/2019 12:42:23.821,6613963
24/09/2019 12:42:23.861,6613855
24/09/2019 12:42:23.901,6613316
24/09/2019 12:42:23.941,6612939
24/09/2019 12:42:23.981,6612561
24/09/2019 12:42:24.021,6612292
24/09/2019 12:42:24.061,6611914
24/09/2019 12:42:24.101,6611753
24/09/2019 12:42:24.141,6612076
24/09/2019 12:42:24.181,6612507
24/09/2019 12:42:24.221,6611429
24/09/2019 12:42:24.261,6610782
24/09/2019 12:42:24.301,6610944
