Time,RtoR
24/09/2019 12:42:21.421,488
,483
,482
,484
,480
,476
,478
,476
,474
,472
,476
,474
,478
,474
,473
,475
,475
,473
,474
,471
,468
,466
,469
,472
,482
,487
,493
,492
,492
,490
,490
,486
,485
,483
,479
,473
,465
,464
,462
,466
,475
,483
,486
,491
,497
,506
,498
,497
,490
,489
,485
,480
,477
,479
,481
,486
,490
,488
,490
,483
,474
,475
,473
,475
,484
,496
,495
,497
,495
,494
,492
,490
,488
,485
,482
,484
,484
,481
,477
,479
,476
,479
,480
,486
,482
,485
,487
,485
,487
,479
,480
,472
,467
,471
,468
,479
,484
,490
,488
,484
,480
,476
,474
,469
,467
,463
,465
,467
,470
,470
,470
,471
,470
,470
,465
,460
,456
,452
,453
,449
,450
,456
,455
,459
,459
,457
,458
,459
,456
,458
,455
,459
,458
,460
,458
,461
,467
,471
,472
,473
,470
,466
,465
,463
,460
,454
,452
,446
,446
,442
,441
,436
,439
,445
,457
,468
,493
,495
,499
,496
,499
,512
,535
,580
,566
,555
,540
,531
,507
,498
,488
,484
,489
,500
,506
,511
,512
,513
,512
,507
,505
,504
,501
,499
,495
,490
,490
,487
,486
,485
,482
,479
,477
,479
,483
,486
,487
,487
,483
,483
,487
,489
,493
,490
,489
,489
,490
,484
,479
,476
,474
,471
,474
,474
,472
,469
,472
,472
,480
,488
,497
,500
,491
,496
,497
,492
,493
,487
,488
,487
,486
,487
,485
,484
,480
,474
,470
,466
,464
,469
,480
,495
,498
,492
,484
,482
,482
,480
,482
,477
,476
,472
,471
,470
,472
,478
,479
,480
,480
,478
,482
,479
,483
,480
,485
,483
,482
,484
,484
,484
,479
,476
,473
,474
,479
,479
,482
,480
,483
,482
,485
,485
,485
,482
,480
,480
,479
,485
,486
,486
,485
,483
,483
,480
,474
,476
,476
,477
,481
,485
,484
,489
,485
,484
,483
,483
,478
,479
,478
,474
,474
,469
,465
,461
,465
,469
,480
,482
,489
,485
,486
,481
,483
,479
,477
,480
,477
,479
,478
,476
,473
,468
,465
,460
,461
,465
,473
,472
,474
,473
,471
,472
,475
,483
,481
,478
,480
,481
,482
,478
,477
,476
,471
,467
,469
,464
,463
,464
,461
,463
,466
,468
,469
,469
,468
,464
,465
,465
,463
,460
,460
,455
,457
,458
,465
,464
,466
,469
,474
,476
,475
,474
,471
,469
,465
,461
,463
,464
,468
,468
,467
,462
,464
,462
,467
,473
,477
,479
,481
,485
,482
,482
,480
,478
,477
,482
,478
,478
,479
,478
,478
,480
,478
,479
,472
,466
,466
,465
,473
,480
,488
,482
,483
,481
,478
,475
,469
,467
,464
,457
,454
,451
,451
,454
,456
,456
,453
,454
,448
,448
,449
,452
,452
,452
,457
,453
,461
,477
,492
,498
,484
,477
,477
,478
,478
,480
,484
,477
,478
,473
,476
,477
,481
,479
,476
,480
,473
,477
,476
,469
,472
,465
,465
,462
,461
,456
,455
,456
,457
,457
,468
,467
,465
,466
,461
,459
,451
,451
,450
,449
,444
,447
,450
,451
,452
,451
,452
,450
,460
,465
,469
,468
,472
,473
,469
,466
,466
,461
,462
,466
,472
,491
,499
,502
,498
,493
,494
,491
,487
,488
,481
,479
,476
,473
,473
,469
,470
,470
,470
,465
,460
,464
,463
,465
,462
,466
,465
,463
,467
,470
,467
,467
,468
,463
,465
,466
,467
,467
,466
,462
,464
,466
,467
,466
,467
,459
,454
,452
,444
,440
,444
,444
,442
,440
,445
,443
,441
,441
,437
,439
,437
,435
,436
,443
,450
,461
,462
,463
,467
,474
,491
,498
,501
,493
,492
,489
,486
,479
,482
,482
,483
,480
,480
,483
,477
,473
,469
,467
,461
,462
,463
,460
,464
,463
,462
,458
,457
,453
,450
,447
,445
,452
,464
,475
,476
,486
,492
,499
,495
,496
,490
,488
,487
,480
,472
,465
,459
,454
,454
,456
,454
,457
,456
,459
,458
,458
,454
,449
,450
,454
,454
,455
,457
,455
,453
,452
,449
,446
,447
,448
,451
,457
,469
,484
,493
,496
,488
,487
,476
,478
,468
,462
,458
,450
,445
,443
,440
,451
,478
,498
,500
,497
,485
,483
,474
,470
,463
,455
,460
,465
,468
,468
,471
,468
,465
,461
,453
,450
,445
,441
,444
,445
,447
,447
,450
,466
,489
,517
,535
,525
,514
,507
,499
,492
,482
,476
,468
,464
,459
,451
,449
,445
,443
,441
,436
,436
,436
,446
,462
,481
,518
,522
,517
,518
,506
,501
,497
,488
,483
,482
,479
,485
,495
,499
,499
,494
,486
,481
,478
,469
,473
,476
,471
,469
,467
,462
,461
,456
,452
,450
,449
,451
,462
,467
,479
,480
,480
,484
,488
,485
,486
,489
,489
,488
,488
,490
,487
,485
,479
,471
,469
,472
,471
,476
,482
,483
,488
,485
,484
,477
,468
,456
,450
,447
,443
,443
,445
,454
,453
,453
,456
,457
,454
,453
,456
,455
,468
,471
,477
,468
,462
,462
,455
,451
,450
,455
,454
,453
,456
,451
,451
,444
,442
,437
,434
,448
,467
,471
,467
,465
,466
,466
,465
,459
,457
,451
,453
,457
,463
,466
,472
,475
,475
,475
,475
,471
,466
,464
,465
,465
,467
,465
,469
,464
,460
,459
,461
,466
,459
,460
,460
,457
,454
,450
,445
,435
,436
,436
,447
,451
,449
,459
,459
,461
,459
,464
,470
,469
,473
,471
,474
,476
,479
,478
,472
,471
,463
,457
,450
,443
,435
,435
,437
,449
,471
,491
,511
,506
,510
,496
,484
,480
,484
,482
,491
,493
,496
,492
,489
,477
,467
,465
,459
,456
,450
,446
,445
,437
,435
,429
,429
,426
,425
,424
,435
,450
,452
,451
,450
,450
,449
,464
,475
,492
,507
,514
,512
,510
,497
,497
,489
,482
,476
,477
,470
,466
,461
,455
,453
,447
,443
,441
,438
,435
,435
,433
,430
,434
,434
,435
,436
,439
,437
,437
,437
,436
,433
,431
,430
,429
,426
,426
,426
,428
,433
,454
,473
,489
,483
,478
,474
,474
,467
,468
,462
,459
,457
,452
,450
,452
,455
,453
