Time,BreathingWaveform
26/08/2019 10:22:42.423,0
26/08/2019 10:22:42.463,0
26/08/2019 10:22:42.503,0
26/08/2019 10:22:42.543,0
26/08/2019 10:22:42.583,0
26/08/2019 10:22:42.623,0
26/08/2019 10:22:42.663,0
26/08/2019 10:22:42.703,0
26/08/2019 10:22:42.743,0
26/08/2019 10:22:42.783,0
26/08/2019 10:22:42.823,0
26/08/2019 10:22:42.863,0
26/08/2019 10:22:42.903,0
26/08/2019 10:22:42.943,0
26/08/2019 10:22:42.983,0
26/08/2019 10:22:43.023,0
26/08/2019 10:22:43.063,0
26/08/2019 10:22:43.103,0
26/08/2019 10:22:43.143,0
26/08/2019 10:22:43.183,0
26/08/2019 10:22:43.223,0
26/08/2019 10:22:43.263,0
26/08/2019 10:22:43.303,0
26/08/2019 10:22:43.343,0
26/08/2019 10:22:43.383,0
26/08/2019 10:22:43.423,0
26/08/2019 10:22:43.463,0
26/08/2019 10:22:43.503,0
26/08/2019 10:22:43.543,0
26/08/2019 10:22:43.583,0
26/08/2019 10:22:43.623,0
26/08/2019 10:22:43.663,0
26/08/2019 10:22:43.703,0
26/08/2019 10:22:43.743,0
26/08/2019 10:22:43.783,0
26/08/2019 10:22:43.823,0
26/08/2019 10:22:43.863,0
26/08/2019 10:22:43.903,0
26/08/2019 10:22:43.943,0
26/08/2019 10:22:43.983,0
26/08/2019 10:22:44.023,0
26/08/2019 10:22:44.063,0
26/08/2019 10:22:44.103,0
26/08/2019 10:22:44.143,0
26/08/2019 10:22:44.183,0
26/08/2019 10:22:44.223,0
26/08/2019 10:22:44.263,0
26/08/2019 10:22:44.303,0
26/08/2019 10:22:44.343,0
26/08/2019 10:22:44.383,0
26/08/2019 10:22:44.423,0
26/08/2019 10:22:44.463,0
26/08/2019 10:22:44.503,0
26/08/2019 10:22:44.543,0
26/08/2019 10:22:44.583,0
26/08/2019 10:22:44.623,0
26/08/2019 10:22:44.663,0
26/08/2019 10:22:44.703,0
