Time,BreathingWaveform
06/09/2019 12:33:51.431,6301668
06/09/2019 12:33:51.471,6304128
06/09/2019 12:33:51.511,6304128
06/09/2019 12:33:51.551,6303700
06/09/2019 12:33:51.591,6303700
06/09/2019 12:33:51.631,6302684
06/09/2019 12:33:51.671,6299849
06/09/2019 12:33:51.711,6297068
06/09/2019 12:33:51.751,6294502
06/09/2019 12:33:51.791,6290865
06/09/2019 12:33:51.831,6288886
06/09/2019 12:33:51.871,6286693
06/09/2019 12:33:51.911,6285784
06/09/2019 12:33:51.951,6286640
06/09/2019 12:33:51.991,6289314
06/09/2019 12:33:52.031,6289635
06/09/2019 12:33:52.071,6289635
06/09/2019 12:33:52.111,6287442
06/09/2019 12:33:52.151,6288779
06/09/2019 12:33:52.191,6291934
06/09/2019 12:33:52.231,6295518
06/09/2019 12:33:52.271,6284661
06/09/2019 12:33:52.311,6289261
06/09/2019 12:33:52.351,6286747
06/09/2019 12:33:52.391,6289795
06/09/2019 12:33:52.431,6284982
06/09/2019 12:33:52.471,6279794
06/09/2019 12:33:52.511,6289849
06/09/2019 12:33:52.551,6286159
06/09/2019 12:33:52.591,6286533
06/09/2019 12:33:52.631,6286747
06/09/2019 12:33:52.671,6281666
06/09/2019 12:33:52.711,6281399
06/09/2019 12:33:52.751,6280115
06/09/2019 12:33:52.791,6277655
06/09/2019 12:33:52.831,6282682
06/09/2019 12:33:52.871,6281506
06/09/2019 12:33:52.911,6281613
06/09/2019 12:33:52.951,6285036
06/09/2019 12:33:52.991,6287656
06/09/2019 12:33:53.031,6287923
06/09/2019 12:33:53.071,6285249
06/09/2019 12:33:53.111,6281934
06/09/2019 12:33:53.151,6280276
06/09/2019 12:33:53.191,6278457
06/09/2019 12:33:53.231,6276960
06/09/2019 12:33:53.271,6275088
06/09/2019 12:33:53.311,6274767
06/09/2019 12:33:53.351,6274821
06/09/2019 12:33:53.391,6277335
06/09/2019 12:33:53.431,6277709
06/09/2019 12:33:53.471,6280115
06/09/2019 12:33:53.511,6279581
06/09/2019 12:33:53.551,6279741
06/09/2019 12:33:53.591,6275088
