Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
29/08/2019 07:31:52.429,65,6553.5,-3276.8,-136,0.45,0.87,4.003,67,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,0.54,1.09,-0.67,-0.18,0.16,0.63,24.8,699,255,-128,-128,6553.5,417,423,510
29/08/2019 07:31:53.429,65,6553.5,-3276.8,-148,0.30,0.55,3.984,64,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,0.67,1.10,-0.62,-0.03,-0.13,0.39,24.8,699,255,-128,-128,6553.5,416,422,509
29/08/2019 07:31:54.429,65,6553.5,-3276.8,-161,0.29,0.43,3.974,62,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,0.81,1.03,-0.22,-0.02,-0.09,0.18,24.8,699,255,-128,-128,6553.5,415,422,509
29/08/2019 07:31:55.429,65,6553.5,-3276.8,-163,0.11,0.21,3.964,60,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,0.73,1.03,-0.42,-0.09,0.01,0.18,24.8,699,255,-128,-128,6553.5,416,423,509
29/08/2019 07:31:56.429,65,6553.5,-3276.8,-159,0.23,0.42,3.954,59,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,0.44,1.14,-0.66,-0.19,-0.15,0.22,24.8,699,255,-128,-128,6553.5,416,423,509
29/08/2019 07:31:57.429,65,6553.5,-3276.8,157,0.28,0.57,3.952,58,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,0.59,1.08,-0.93,-0.02,-0.30,0.26,24.8,699,255,-128,-128,6553.5,415,423,509
29/08/2019 07:31:58.429,65,6553.5,-3276.8,161,0.28,0.56,3.952,58,0.000,65535.000,0,0.000000,0.000220,0,65535,0,65535,0,0,0.61,1.07,-0.93,0.13,-0.24,-0.01,24.8,699,255,-128,-128,6553.5,415,423,509
29/08/2019 07:31:59.429,65,6553.5,-3276.8,172,0.29,0.44,3.946,57,0.000,65535.000,0,0.000000,0.005640,0,65535,0,65535,0,0,0.81,1.03,-0.16,0.20,-0.15,0.01,24.8,699,255,-128,-128,6553.5,416,423,509
29/08/2019 07:32:00.429,65,6553.5,-3276.8,177,0.21,0.25,3.941,56,0.000,65535.000,0,0.000000,0.002600,0,65535,0,65535,0,0,0.87,1.01,0.08,0.24,-0.15,0.00,24.8,688,255,-128,-128,6553.5,415,423,509
29/08/2019 07:32:01.429,65,10.0,-3276.8,173,0.15,0.37,3.941,56,0.000,65535.000,0,0.000000,0.001120,0,65535,0,65535,3,0,0.75,1.26,-0.03,0.51,-0.48,0.06,24.8,688,255,-128,-128,6553.5,416,423,509
29/08/2019 07:32:02.429,0,10.0,-3276.8,174,0.11,0.24,3.941,56,0.000,65535.000,0,0.000800,0.000500,0,65535,0,65535,3,1,0.75,1.18,-0.07,0.31,-0.07,0.20,24.8,688,255,-128,-128,6553.5,416,424,509
29/08/2019 07:32:03.429,0,10.0,-3276.8,-175,0.11,0.33,3.941,56,0.000,65535.000,0,0.000800,0.000220,0,65535,0,65535,3,2,0.79,1.18,-0.31,0.22,-0.09,0.32,24.8,688,255,-128,-128,6553.5,416,423,509
